guardrail_id,guardrail_class,source_role_or_axis,failure_mode_to_preserve,metric_to_watch,value,violation,reason
m2466_source_admission,lineage,m2464_summary,lineage_invalid,source_admission_failure_count,0,False,M2466 requires the M2464 reset-only failure artifact as parent evidence.
m2466_r1_target_count,target_selection,m2464_reset_target_rows,lineage_invalid,r1_target_count,3,False,M2466 diagnoses exactly the three M2464 R1 stable-AES targets.
m2466_single_r1_overlay_hash,target_selection,m2464_reset_target_rows,lineage_invalid,source_overlay_hash_count,1,False,The three R1 targets must share one source overlay hash for a family-level diagnostic.
m2466_single_r1_effective_config,target_selection,m2464_effective_env_configs,lineage_invalid,source_unique_effective_config_count,1,False,The three R1 targets must share one effective env config before family-level diagnostics.
m2466_variant_count,diagnostic_design,variant_rows,lineage_invalid,variant_count,5,False,M2466 expects the baseline plus four diagnostic-only variants.
m2466_diagnostic_attempt_count,diagnostic_execution,diagnostic_rows,lineage_invalid,diagnostic_attempt_count,120,False,Every diagnostic variant must run the requested reset seed panel.
m2466_actor_contract_clear,actor_contract,diagnostic_env_configs,contract_violation,actor_contract_failure_count,0,False,All diagnostic variants must preserve the P0 human-view actor contract.
m2466_no_active_config_overwrite,execution_boundary,variant_rows,lineage_invalid,active_config_overwrite_count,0,False,M2466 must write only run-dir diagnostic configs.
m2466_no_environment_steps,execution_boundary,diagnostic_rows,contract_violation,environment_step_count,0,False,M2466 must stop after reset.
m2466_no_policy_or_rollout,execution_boundary,diagnostic_rows,contract_violation,policy_or_rollout,0,False,M2466 must not execute policy actions or rollouts.
m2466_no_repair_training_replay_promotion,execution_boundary,summary,contract_violation,repair_training_replay_promotion,0,False,"Diagnostic variants are not repair execution, training, replay, PPO, or promotion."
m2466_no_private_holdout,execution_boundary,summary,contract_violation,private_holdout_used,False,False,M2466 does not use private holdout data.
m2466_no_ranking_or_winner,claim_boundary,summary,metric_artifact,ranking_or_winner_count,0,False,M2466 must not rank diagnostic variants or select winners.
m2466_no_verdict_claims,claim_boundary,summary,metric_artifact,verdict_claim_count,0,False,"M2466 may not claim paper, self-ID, scenario-redesign, training-repair, or current-sim verdicts."
