repair_candidate_id,repair_axis,repair_source_kind,repair_source_family,source_split,recovery_corridor_profile,mitigation_metric_mode,parent_candidate_source_id,parent_task_source_id,parent_profile_name,parent_repair_source_kind,parent_selection_quota_name,parent_feasibility_tier_id,parent_source_role_semantics,parent_surface_variant,parent_normalized_surface_variant,parent_sampled_obstacle_label,parent_base_geometry_source,parent_outcome_bucket,parent_termination_reason,target_feasibility_tier_id,target_source_role_semantics,target_surface_variant,target_normalized_surface_variant,target_sampled_obstacle_label,candidate_source_id,source_v1_bounded_panel_spec_id,source_scenario_spec_id,source_role_semantics,profile_name,profile_group,speed_ref,mu,obstacle_distance,obstacle_half_width,label,threshold_score,time_to_obstacle,time_after_friction_step,friction_step_at,accepted,reject_reason,feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label,post_obstacle_track_width,base_geometry_source,representative_cell_rule
cosr_v0_0000_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_000,offtrack_anchor_relief_000,slice_anchor,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief_scenario,stable_aeb,slice_anchor,stable_aeb,18.0,0.4,58.0,0.6,aeb_feasible,3.753207407407408,3.2222222222222223,2.2222222222222223,20,True,accepted,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance
cosr_v0_0001_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_001,offtrack_anchor_relief_001,L0_current_masked,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0001_offtrack_anchor_relief,cosr_v0_0001_offtrack_anchor_relief,cosr_v0_0001_offtrack_anchor_relief_scenario,stable_aeb,L0_current_masked,stable_aeb,18.0,0.4,60.0,0.6,aeb_feasible,4.086666666666668,3.3333333333333335,2.3333333333333335,20,True,accepted,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance
cosr_v0_0002_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_002,offtrack_anchor_relief_002,L1_one_step,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0002_offtrack_anchor_relief,cosr_v0_0002_offtrack_anchor_relief,cosr_v0_0002_offtrack_anchor_relief_scenario,stable_aeb,L1_one_step,stable_aeb,18.0,0.4,62.0,0.6,aeb_feasible,4.431429629629632,3.4444444444444446,2.4444444444444446,20,True,accepted,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance
cosr_v0_0003_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_003,offtrack_anchor_relief_003,L2_window_100,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0003_offtrack_anchor_relief,cosr_v0_0003_offtrack_anchor_relief,cosr_v0_0003_offtrack_anchor_relief_scenario,stable_aeb,L2_window_100,stable_aeb,18.0,0.4,64.0,0.6,aeb_feasible,4.787496296296297,3.5555555555555554,2.5555555555555554,20,True,accepted,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance
cosr_v0_0004_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_004,offtrack_anchor_relief_004,L2_window_100_current_tiled,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0004_offtrack_anchor_relief,cosr_v0_0004_offtrack_anchor_relief,cosr_v0_0004_offtrack_anchor_relief_scenario,stable_aeb,L2_window_100_current_tiled,stable_aeb,18.0,0.4,58.0,0.5499999999999999,aeb_feasible,3.889013333333334,3.2222222222222223,2.2222222222222223,20,True,accepted,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance
cosr_v0_0005_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_005,offtrack_anchor_relief_005,L2_window_13,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0005_offtrack_anchor_relief,cosr_v0_0005_offtrack_anchor_relief,cosr_v0_0005_offtrack_anchor_relief_scenario,stable_aeb,L2_window_13,stable_aeb,18.0,0.4,60.0,0.5499999999999999,aeb_feasible,4.232000000000001,3.3333333333333335,2.3333333333333335,20,True,accepted,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance
cosr_v0_0006_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_006,offtrack_anchor_relief_006,L2_window_13_current_tiled,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0006_offtrack_anchor_relief,cosr_v0_0006_offtrack_anchor_relief,cosr_v0_0006_offtrack_anchor_relief_scenario,stable_aeb,L2_window_13_current_tiled,stable_aeb,18.0,0.4,62.0,0.5499999999999999,aeb_feasible,4.586613333333335,3.4444444444444446,2.4444444444444446,20,True,accepted,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance
cosr_v0_0007_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_007,offtrack_anchor_relief_007,L2_window_25,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0007_offtrack_anchor_relief,cosr_v0_0007_offtrack_anchor_relief,cosr_v0_0007_offtrack_anchor_relief_scenario,stable_aeb,L2_window_25,stable_aeb,18.0,0.4,64.0,0.5499999999999999,aeb_feasible,4.952853333333334,3.5555555555555554,2.5555555555555554,20,True,accepted,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance
cosr_v0_0008_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_008,offtrack_anchor_relief_008,L2_window_25_current_tiled,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0008_offtrack_anchor_relief,cosr_v0_0008_offtrack_anchor_relief,cosr_v0_0008_offtrack_anchor_relief_scenario,stable_aeb,L2_window_25_current_tiled,stable_aeb,18.0,0.4,58.0,0.5,aeb_feasible,4.032807843137256,3.2222222222222223,2.2222222222222223,20,True,accepted,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.5,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance
cosr_v0_0009_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_009,offtrack_anchor_relief_009,L2_window_50,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0009_offtrack_anchor_relief,cosr_v0_0009_offtrack_anchor_relief,cosr_v0_0009_offtrack_anchor_relief_scenario,stable_aeb,L2_window_50,stable_aeb,18.0,0.4,60.0,0.5,aeb_feasible,4.385882352941178,3.3333333333333335,2.3333333333333335,20,True,accepted,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.5,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance
