repair_axis,source_role_semantics,feasibility_tier_id,normalized_surface_variant,selected_source_count
collision_mitigation_relief,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,12
mitigation_metric_isolation,drift_required_recovery,tier_d_handling_limit_drift_required,steady_surface,1
mitigation_metric_isolation,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,7
offtrack_anchor_relief,stable_aeb,tier_c_boundary_near_miss,post_friction_step,24
offtrack_boundary_relief_extension,stable_aes_only,tier_not_applicable_offtrack_boundary_relief,relief_surface_unspecified,16
success_support_expansion,drift_required_recovery,tier_c_boundary_near_miss,post_friction_step,3
success_support_expansion,drift_required_recovery,tier_e_mitigation_only,steady_surface,2
success_support_expansion,stable_aeb,tier_c_boundary_near_miss,post_friction_step,3
success_support_expansion,stable_aeb,tier_c_boundary_near_miss,steady_surface,2
success_support_expansion,stable_aeb,tier_e_mitigation_only,post_friction_step,3
success_support_expansion,stable_aes_only,tier_b_feasible_emergency,post_friction_step,5
success_support_expansion,unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,2
