task_source_id,candidate_source_id,repair_candidate_id,repair_axis,repair_source_kind,source_role_semantics,feasibility_tier_id,parent_feasibility_tier_id,normalized_surface_variant,source_split,sampled_obstacle_label,speed_ref,mu,friction_step_enabled,friction_step_at,obstacle_distance,obstacle_half_width,post_obstacle_track_width,base_geometry_source,representative_cell_rule,diagnostic_only_no_ranking_claim,contract_violation_count,history_length_is_one,action_history_mode_full,include_privileged_params_false,wheel_observation_mode_none,obstacle_relative_velocity_mode_zero
tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,tier_c_boundary_near_miss,post_friction_step,public_debug,aeb_feasible,18.0,0.4,True,20,58.0,0.6,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,False,0,True,True,True,True,True
tqcos_exec_v0_0001_cosr_v0_0001_offtrack_anchor_relief,cosr_v0_0001_offtrack_anchor_relief,cosr_v0_0001_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,tier_c_boundary_near_miss,post_friction_step,public_debug,aeb_feasible,18.0,0.4,True,20,60.0,0.6,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,False,0,True,True,True,True,True
tqcos_exec_v0_0002_cosr_v0_0002_offtrack_anchor_relief,cosr_v0_0002_offtrack_anchor_relief,cosr_v0_0002_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,tier_c_boundary_near_miss,post_friction_step,public_debug,aeb_feasible,18.0,0.4,True,20,62.0,0.6,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,False,0,True,True,True,True,True
tqcos_exec_v0_0003_cosr_v0_0003_offtrack_anchor_relief,cosr_v0_0003_offtrack_anchor_relief,cosr_v0_0003_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,tier_c_boundary_near_miss,post_friction_step,public_debug,aeb_feasible,18.0,0.4,True,20,64.0,0.6,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,False,0,True,True,True,True,True
tqcos_exec_v0_0004_cosr_v0_0004_offtrack_anchor_relief,cosr_v0_0004_offtrack_anchor_relief,cosr_v0_0004_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,tier_c_boundary_near_miss,post_friction_step,public_debug,aeb_feasible,18.0,0.4,True,20,58.0,0.5499999999999999,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,False,0,True,True,True,True,True
tqcos_exec_v0_0005_cosr_v0_0005_offtrack_anchor_relief,cosr_v0_0005_offtrack_anchor_relief,cosr_v0_0005_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,tier_c_boundary_near_miss,post_friction_step,public_debug,aeb_feasible,18.0,0.4,True,20,60.0,0.5499999999999999,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,False,0,True,True,True,True,True
tqcos_exec_v0_0006_cosr_v0_0006_offtrack_anchor_relief,cosr_v0_0006_offtrack_anchor_relief,cosr_v0_0006_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,tier_c_boundary_near_miss,post_friction_step,public_debug,aeb_feasible,18.0,0.4,True,20,62.0,0.5499999999999999,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,False,0,True,True,True,True,True
tqcos_exec_v0_0007_cosr_v0_0007_offtrack_anchor_relief,cosr_v0_0007_offtrack_anchor_relief,cosr_v0_0007_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,tier_c_boundary_near_miss,post_friction_step,public_debug,aeb_feasible,18.0,0.4,True,20,64.0,0.5499999999999999,6.25,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,False,0,True,True,True,True,True
tqcos_exec_v0_0008_cosr_v0_0008_offtrack_anchor_relief,cosr_v0_0008_offtrack_anchor_relief,cosr_v0_0008_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,tier_c_boundary_near_miss,post_friction_step,public_debug,aeb_feasible,18.0,0.4,True,20,58.0,0.5,6.5,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,False,0,True,True,True,True,True
tqcos_exec_v0_0009_cosr_v0_0009_offtrack_anchor_relief,cosr_v0_0009_offtrack_anchor_relief,cosr_v0_0009_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,tier_c_boundary_near_miss,post_friction_step,public_debug,aeb_feasible,18.0,0.4,True,20,60.0,0.5,6.5,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,False,0,True,True,True,True,True
