workload_id,panel_source_id,panel_task_family,profile_name,source_origin,source_kind,source_edge,window_tag,environment_rollout_scheduled,training_scheduled,profile_specific_tuning
m2020-active-safety-0000::T1_reactive_active_safety::L0_current_masked,m2020-active-safety-0000,T1_reactive_active_safety,L0_current_masked,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_c_boundary_near_miss|post_friction_step|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0000::T1_reactive_active_safety::L1_one_step,m2020-active-safety-0000,T1_reactive_active_safety,L1_one_step,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_c_boundary_near_miss|post_friction_step|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0000::T1_reactive_active_safety::L2_window_13,m2020-active-safety-0000,T1_reactive_active_safety,L2_window_13,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_c_boundary_near_miss|post_friction_step|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0000::T1_reactive_active_safety::L2_window_13_current_tiled,m2020-active-safety-0000,T1_reactive_active_safety,L2_window_13_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_c_boundary_near_miss|post_friction_step|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0000::T1_reactive_active_safety::L2_window_25,m2020-active-safety-0000,T1_reactive_active_safety,L2_window_25,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_c_boundary_near_miss|post_friction_step|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0000::T1_reactive_active_safety::L2_window_25_current_tiled,m2020-active-safety-0000,T1_reactive_active_safety,L2_window_25_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_c_boundary_near_miss|post_friction_step|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0000::T1_reactive_active_safety::L2_window_50,m2020-active-safety-0000,T1_reactive_active_safety,L2_window_50,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_c_boundary_near_miss|post_friction_step|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0000::T1_reactive_active_safety::L2_window_50_current_tiled,m2020-active-safety-0000,T1_reactive_active_safety,L2_window_50_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_c_boundary_near_miss|post_friction_step|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0000::T1_reactive_active_safety::L2_window_100,m2020-active-safety-0000,T1_reactive_active_safety,L2_window_100,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_c_boundary_near_miss|post_friction_step|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0000::T1_reactive_active_safety::L2_window_100_current_tiled,m2020-active-safety-0000,T1_reactive_active_safety,L2_window_100_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_c_boundary_near_miss|post_friction_step|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0000::T1_reactive_active_safety::L3_online_gru,m2020-active-safety-0000,T1_reactive_active_safety,L3_online_gru,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_c_boundary_near_miss|post_friction_step|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0000::T1_reactive_active_safety::L3_reset_control_corrected,m2020-active-safety-0000,T1_reactive_active_safety,L3_reset_control_corrected,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_c_boundary_near_miss|post_friction_step|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0001::T1_reactive_active_safety::L0_current_masked,m2020-active-safety-0001,T1_reactive_active_safety,L0_current_masked,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_e_mitigation_only|steady_surface|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0001::T1_reactive_active_safety::L1_one_step,m2020-active-safety-0001,T1_reactive_active_safety,L1_one_step,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_e_mitigation_only|steady_surface|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0001::T1_reactive_active_safety::L2_window_13,m2020-active-safety-0001,T1_reactive_active_safety,L2_window_13,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_e_mitigation_only|steady_surface|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0001::T1_reactive_active_safety::L2_window_13_current_tiled,m2020-active-safety-0001,T1_reactive_active_safety,L2_window_13_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_e_mitigation_only|steady_surface|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0001::T1_reactive_active_safety::L2_window_25,m2020-active-safety-0001,T1_reactive_active_safety,L2_window_25,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_e_mitigation_only|steady_surface|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0001::T1_reactive_active_safety::L2_window_25_current_tiled,m2020-active-safety-0001,T1_reactive_active_safety,L2_window_25_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_e_mitigation_only|steady_surface|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0001::T1_reactive_active_safety::L2_window_50,m2020-active-safety-0001,T1_reactive_active_safety,L2_window_50,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_e_mitigation_only|steady_surface|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0001::T1_reactive_active_safety::L2_window_50_current_tiled,m2020-active-safety-0001,T1_reactive_active_safety,L2_window_50_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_e_mitigation_only|steady_surface|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0001::T1_reactive_active_safety::L2_window_100,m2020-active-safety-0001,T1_reactive_active_safety,L2_window_100,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_e_mitigation_only|steady_surface|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0001::T1_reactive_active_safety::L2_window_100_current_tiled,m2020-active-safety-0001,T1_reactive_active_safety,L2_window_100_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_e_mitigation_only|steady_surface|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0001::T1_reactive_active_safety::L3_online_gru,m2020-active-safety-0001,T1_reactive_active_safety,L3_online_gru,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_e_mitigation_only|steady_surface|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0001::T1_reactive_active_safety::L3_reset_control_corrected,m2020-active-safety-0001,T1_reactive_active_safety,L3_reset_control_corrected,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_e_mitigation_only|steady_surface|drift_required,m2020_public_diagnostic,False,False,False
m2020-active-safety-0002::T1_reactive_active_safety::L0_current_masked,m2020-active-safety-0002,T1_reactive_active_safety,L0_current_masked,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0002::T1_reactive_active_safety::L1_one_step,m2020-active-safety-0002,T1_reactive_active_safety,L1_one_step,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0002::T1_reactive_active_safety::L2_window_13,m2020-active-safety-0002,T1_reactive_active_safety,L2_window_13,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0002::T1_reactive_active_safety::L2_window_13_current_tiled,m2020-active-safety-0002,T1_reactive_active_safety,L2_window_13_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0002::T1_reactive_active_safety::L2_window_25,m2020-active-safety-0002,T1_reactive_active_safety,L2_window_25,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0002::T1_reactive_active_safety::L2_window_25_current_tiled,m2020-active-safety-0002,T1_reactive_active_safety,L2_window_25_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0002::T1_reactive_active_safety::L2_window_50,m2020-active-safety-0002,T1_reactive_active_safety,L2_window_50,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0002::T1_reactive_active_safety::L2_window_50_current_tiled,m2020-active-safety-0002,T1_reactive_active_safety,L2_window_50_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0002::T1_reactive_active_safety::L2_window_100,m2020-active-safety-0002,T1_reactive_active_safety,L2_window_100,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0002::T1_reactive_active_safety::L2_window_100_current_tiled,m2020-active-safety-0002,T1_reactive_active_safety,L2_window_100_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0002::T1_reactive_active_safety::L3_online_gru,m2020-active-safety-0002,T1_reactive_active_safety,L3_online_gru,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0002::T1_reactive_active_safety::L3_reset_control_corrected,m2020-active-safety-0002,T1_reactive_active_safety,L3_reset_control_corrected,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0003::T1_reactive_active_safety::L0_current_masked,m2020-active-safety-0003,T1_reactive_active_safety,L0_current_masked,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_e_mitigation_only|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0003::T1_reactive_active_safety::L1_one_step,m2020-active-safety-0003,T1_reactive_active_safety,L1_one_step,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_e_mitigation_only|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0003::T1_reactive_active_safety::L2_window_13,m2020-active-safety-0003,T1_reactive_active_safety,L2_window_13,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_e_mitigation_only|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0003::T1_reactive_active_safety::L2_window_13_current_tiled,m2020-active-safety-0003,T1_reactive_active_safety,L2_window_13_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_e_mitigation_only|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0003::T1_reactive_active_safety::L2_window_25,m2020-active-safety-0003,T1_reactive_active_safety,L2_window_25,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_e_mitigation_only|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0003::T1_reactive_active_safety::L2_window_25_current_tiled,m2020-active-safety-0003,T1_reactive_active_safety,L2_window_25_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_e_mitigation_only|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0003::T1_reactive_active_safety::L2_window_50,m2020-active-safety-0003,T1_reactive_active_safety,L2_window_50,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_e_mitigation_only|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0003::T1_reactive_active_safety::L2_window_50_current_tiled,m2020-active-safety-0003,T1_reactive_active_safety,L2_window_50_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_e_mitigation_only|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0003::T1_reactive_active_safety::L2_window_100,m2020-active-safety-0003,T1_reactive_active_safety,L2_window_100,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_e_mitigation_only|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0003::T1_reactive_active_safety::L2_window_100_current_tiled,m2020-active-safety-0003,T1_reactive_active_safety,L2_window_100_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_e_mitigation_only|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0003::T1_reactive_active_safety::L3_online_gru,m2020-active-safety-0003,T1_reactive_active_safety,L3_online_gru,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_e_mitigation_only|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0003::T1_reactive_active_safety::L3_reset_control_corrected,m2020-active-safety-0003,T1_reactive_active_safety,L3_reset_control_corrected,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_e_mitigation_only|post_friction_step|aeb_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0004::T1_reactive_active_safety::L0_current_masked,m2020-active-safety-0004,T1_reactive_active_safety,L0_current_masked,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aes_only|tier_b_feasible_emergency|post_friction_step|aes_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0004::T1_reactive_active_safety::L1_one_step,m2020-active-safety-0004,T1_reactive_active_safety,L1_one_step,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aes_only|tier_b_feasible_emergency|post_friction_step|aes_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0004::T1_reactive_active_safety::L2_window_13,m2020-active-safety-0004,T1_reactive_active_safety,L2_window_13,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aes_only|tier_b_feasible_emergency|post_friction_step|aes_feasible,m2020_public_diagnostic,False,False,False
m2020-active-safety-0004::T1_reactive_active_safety::L2_window_13_current_tiled,m2020-active-safety-0004,T1_reactive_active_safety,L2_window_13_current_tiled,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aes_only|tier_b_feasible_emergency|post_friction_step|aes_feasible,m2020_public_diagnostic,False,False,False
