repair_source_kind,source_role_semantics,normalized_surface_variant,episode_count,success_rate,collision_rate,clearance_margin_mean,return_mean,all_selected_metrics_finite
anchor_neighborhood,stable_aeb,post_friction_step,192,0.0,0.0,42.36284251418784,5.044226955553718,True
anchor_neighborhood,stable_aeb,steady_surface,192,0.0,0.0,42.359965422042286,4.9270012745204275,True
mitigation_isolation_check,drift_required_recovery,steady_surface,36,0.05555555555555555,0.4444444444444444,0.4653923523430676,0.08773835811137262,True
mitigation_isolation_check,stable_aeb,post_friction_step,48,0.0625,0.14583333333333334,3.199032875755009,3.092710284798988,True
mitigation_isolation_check,unavoidable_mitigation,post_friction_step,48,0.0625,0.5833333333333334,0.19009105138383997,-0.6120483914795541,True
mitigation_isolation_check,unavoidable_mitigation,steady_surface,60,0.08333333333333333,0.9166666666666666,-0.38822387743305914,-11.132256569802783,True
offtrack_boundary_relief,stable_aes_only,relief_surface_unspecified,96,0.0,0.0,15.913421447138626,5.534618085308455,True
success_stabilizer,drift_required_recovery,post_friction_step,48,0.08333333333333333,0.16666666666666666,3.536998659220968,6.084053098970439,True
success_stabilizer,drift_required_recovery,steady_surface,24,0.0,0.0,5.188134526252081,2.399037348950946,True
success_stabilizer,stable_aeb,post_friction_step,48,0.0625,0.0,33.16760941866134,6.242915715084521,True
success_stabilizer,stable_aeb,steady_surface,48,0.041666666666666664,0.0,9.101402958020108,7.890734784663098,True
success_stabilizer,stable_aes_only,post_friction_step,36,0.19444444444444445,0.0,3.7666835489971695,10.994462636120812,True
success_stabilizer,stable_aes_only,steady_surface,36,0.1111111111111111,0.0,3.9502956983625563,6.081248477458011,True
success_stabilizer,unavoidable_mitigation,post_friction_step,12,0.08333333333333333,0.6666666666666666,-0.013755625771051957,-0.8988803585777784,True
success_stabilizer,unavoidable_mitigation,steady_surface,36,0.1111111111111111,0.7777777777777778,-0.22675787789862756,-8.919238220336476,True
