profile_name,episode_count,success_rate,collision_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite
L0_current_masked,80,0.075,0.1625,20.430296239290826,5.591014710758104,21.1375,True
L1_one_step,80,0.1375,0.15,20.45573995125583,7.631325906484871,21.5375,True
L2_window_100,80,0.0,0.1375,21.799389269162724,1.3721188104945932,18.125,True
L2_window_100_current_tiled,80,0.0,0.1625,21.86077166471238,0.8948001043381788,18.0,True
L2_window_13,80,0.0,0.15,21.960762249060032,0.5472223185924702,17.925,True
L2_window_13_current_tiled,80,0.0,0.15,21.919112384292838,0.6381236163410634,17.9,True
L2_window_25,80,0.0,0.15,21.78550106001203,0.9633776141713974,18.175,True
L2_window_25_current_tiled,80,0.0,0.175,21.936990188770274,0.8505137275947637,17.85,True
L2_window_50,80,0.0,0.15,21.951740788484358,1.0980621253494722,17.9375,True
L2_window_50_current_tiled,80,0.0,0.1375,21.94088093219664,1.3292063866760113,17.8875,True
L3_online_gru,80,0.1125,0.2,20.382759059471645,9.126593074567545,20.9375,True
L3_reset_control_corrected,80,0.15,0.15,20.367217255380904,10.094732141057824,21.2375,True
