seed,policy,steps,terminated,truncated,mu,initial_mu,mass,mass_scale,inertia_scale,cg_shift,tire_stiffness_scale,brake_scale,drive_scale,steer_tau_scale,drive_tau_scale,friction_step_at,friction_step_applied,obstacle_enabled,obstacle_label,collision,obstacle_completed,min_obstacle_clearance,obstacle_collision_radius,min_clearance_margin,termination_reason,obstacle_passed_raw,completion_reason,outcome_bucket,return,mean_reward,lateral_rmse,lateral_peak,beta_abs_error_mean,beta_abs_peak,high_sideslip_fraction,speed_mean,action_rate_mean,plan_horizon,plan_action_rate_mean,plan_first_action_error_mean,dt,track_width,first_obstacle_pass_step,first_obstacle_pass_time_s,first_recovery_step,first_recovery_time_s,recovery_success,recovery_time_proxy,max_abs_beta,max_abs_yaw_rate,drift_used,controlled_drift_recovery_success,impact_speed_proxy,impact_beta_abs,impact_yaw_rate_abs,impact_severity_proxy,collision_mitigation_score,max_off_track_overshoot,time_to_first_off_track_s,off_track_severity_proxy,left_curve_steps,left_curve_lateral_rmse,left_curve_beta_abs_error_mean,left_curve_speed_mean,left_curve_reward_mean,right_curve_steps,right_curve_lateral_rmse,right_curve_beta_abs_error_mean,right_curve_speed_mean,right_curve_reward_mean,near_zero_steps,near_zero_lateral_rmse,near_zero_beta_abs_error_mean,near_zero_speed_mean,near_zero_reward_mean,workload_id,task_source_id,candidate_source_id,repair_candidate_id,repair_source_kind,selection_quota_name,source_role_semantics,parent_feasibility_tier_id,parent_surface_variant,normalized_surface_variant,source_split,base_geometry_source,representative_cell_rule,profile_name,profile_config_path,checkpoint_path,source_v1_bounded_panel_spec_id,source_scenario_spec_id,speed_ref,friction_step_enabled,obstacle_distance,obstacle_half_width,threshold_score,time_to_obstacle,time_after_friction_step,preflight_sampled_obstacle_label,eval_seed,success,task_quality_calibrated_measured_execution,environment_rollout_started,policy_action_executed,measured_rollout_started,training_started,replay_started,ppo_used,promoted,private_holdout_used,actor_input_contract_changed,profile_specific_tuning,controller_family_ranking_claim_made,paper_level_claim_made,level3_self_id_claim_made,sampled_obstacle_label
197500,checkpoint,18,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,42.12821664359135,1.5,40.62821664359135,off_track,False,off_track,off_track_noncollision_noncompletion,6.668771649490812,0.37048731386060063,2.668990744293963,5.2067291507823725,0.2113979855532766,0.5013755163211085,0.3333333333333333,17.722726771963835,0.005709077697247267,1,nan,nan,0.05,5.0,nan,nan,nan,nan,False,nan,0.5013755163211085,0.845237918416526,True,False,nan,nan,nan,nan,0.0,0.20672915078237253,0.9,0.20672915078237253,18,2.668990744293963,0.2113979855532766,17.722726771963835,0.37048731386060063,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood::L0_current_masked,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L0_current_masked,runs/m1674_controller_family_one_seed_public_pilot/configs/L0_current_masked_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L0_current_masked/seed_167400/checkpoint.pt,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood_scenario,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,197500,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
197501,checkpoint,19,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,41.30738192288483,1.5,39.80738192288483,off_track,False,off_track,off_track_noncollision_noncompletion,7.990749931032797,0.4205657858438314,2.579150091453919,5.251824424928735,0.19008353501778685,0.4721326505097358,0.2631578947368421,17.723829358190283,0.005576682277023792,1,nan,nan,0.05,5.0,nan,nan,nan,nan,False,nan,0.4721326505097358,0.8352789424757768,True,False,nan,nan,nan,nan,0.0,0.2518244249287349,0.9500000000000001,0.2518244249287349,19,2.579150091453919,0.19008353501778685,17.723829358190283,0.4205657858438314,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood::L1_one_step,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L1_one_step,runs/m1674_controller_family_one_seed_public_pilot/configs/L1_one_step_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L1_one_step/seed_167400/checkpoint.pt,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood_scenario,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,197501,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
197502,checkpoint,16,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,43.53896064065425,1.5,42.03896064065425,off_track,False,off_track,off_track_noncollision_noncompletion,1.4300497237162166,0.08937810773226354,2.8097221606195437,5.44389310707659,0.4883909776088844,0.18048121720006663,0.0,18.0850588367725,0.008930082432925701,1,nan,nan,0.05,5.0,nan,nan,nan,nan,False,nan,0.18048121720006663,0.8305799834068956,False,False,nan,nan,nan,nan,0.0,0.44389310707659035,0.8,0.44389310707659035,16,2.8097221606195437,0.4883909776088844,18.0850588367725,0.08937810773226354,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood::L2_window_100,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_100,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_100_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_100/seed_167400/checkpoint.pt,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood_scenario,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,197502,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
197503,checkpoint,17,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,42.68986881827545,1.5,41.18986881827545,off_track,False,off_track,off_track_noncollision_noncompletion,5.445778119778416,0.32033988939873037,2.669763591399188,5.317700812485203,0.3511553898091616,0.3590412864924303,0.058823529411764705,18.031442103202117,0.008676506578922272,1,nan,nan,0.05,5.0,nan,nan,nan,nan,False,nan,0.3590412864924303,0.8315780849715951,True,False,nan,nan,nan,nan,0.0,0.317700812485203,0.8500000000000001,0.317700812485203,17,2.669763591399188,0.3511553898091616,18.031442103202117,0.32033988939873037,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood::L2_window_100_current_tiled,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_100_current_tiled,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_100_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_100_current_tiled/seed_167400/checkpoint.pt,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood_scenario,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,197503,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
197504,checkpoint,15,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,44.44896129076874,1.5,42.94896129076874,off_track,False,off_track,off_track_noncollision_noncompletion,1.8372751059845598,0.12248500706563732,2.7957367349367783,5.225822858440651,0.46632646466514416,0.17543462714025995,0.0,18.084752556127007,0.008786682970821857,1,nan,nan,0.05,5.0,nan,nan,nan,nan,False,nan,0.17543462714025995,0.8306906349988316,False,False,nan,nan,nan,nan,0.0,0.22582285844065098,0.75,0.22582285844065098,15,2.7957367349367783,0.46632646466514416,18.084752556127007,0.12248500706563732,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood::L2_window_13,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_13,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_13_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_13/seed_167400/checkpoint.pt,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood_scenario,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,197504,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
197505,checkpoint,16,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,43.509508690341995,1.5,42.009508690341995,off_track,False,off_track,off_track_noncollision_noncompletion,2.9274744229086123,0.18296715143178827,2.5095205918219476,5.065991376042994,0.5601922225286295,0.12271236587389578,0.0,18.13124752162885,0.01358897052705288,1,nan,nan,0.05,5.0,nan,nan,nan,nan,False,nan,0.12271236587389578,0.8324214777401865,False,False,nan,nan,nan,nan,0.0,0.06599137604299443,0.8,0.06599137604299443,16,2.5095205918219476,0.5601922225286295,18.13124752162885,0.18296715143178827,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood::L2_window_13_current_tiled,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_13_current_tiled,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_13_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_13_current_tiled/seed_167400/checkpoint.pt,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood_scenario,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,197505,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
197506,checkpoint,17,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,42.641400794623955,1.5,41.141400794623955,off_track,False,off_track,off_track_noncollision_noncompletion,4.849736000321196,0.28527858825418795,2.379882763318949,5.149713318371607,0.45198131585080353,0.1366944237138253,0.0,18.079232014819308,0.009610043838620186,1,nan,nan,0.05,5.0,nan,nan,nan,nan,False,nan,0.1366944237138253,0.8307175852362664,False,False,nan,nan,nan,nan,0.0,0.14971331837160662,0.8500000000000001,0.14971331837160662,17,2.379882763318949,0.45198131585080353,18.079232014819308,0.28527858825418795,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood::L2_window_25,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_25,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_25_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_25/seed_167400/checkpoint.pt,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood_scenario,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,197506,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
197507,checkpoint,16,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,43.50216093071802,1.5,42.00216093071802,off_track,False,off_track,off_track_noncollision_noncompletion,6.739302879863054,0.42120642999144087,2.4719236758587306,5.01874137415296,0.2509867877780736,0.18536573796265507,0.0,18.133625539940002,0.013103535398840904,1,nan,nan,0.05,5.0,nan,nan,nan,nan,False,nan,0.18536573796265507,0.8313975629829672,False,False,nan,nan,nan,nan,0.0,0.018741374152959622,0.8,0.018741374152959622,16,2.4719236758587306,0.2509867877780736,18.133625539940002,0.42120642999144087,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood::L2_window_25_current_tiled,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_25_current_tiled,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_25_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_25_current_tiled/seed_167400/checkpoint.pt,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood_scenario,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,197507,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
197508,checkpoint,17,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,42.63945484066199,1.5,41.13945484066199,off_track,False,off_track,off_track_noncollision_noncompletion,4.484299644044536,0.26378233200261975,2.642400233560727,5.4993906046640255,0.2759293334820616,0.12237122511706783,0.0,18.082768925757847,0.00934889167547226,1,nan,nan,0.05,5.0,nan,nan,nan,nan,False,nan,0.12237122511706783,0.8316315717724581,False,False,nan,nan,nan,nan,0.0,0.4993906046640255,0.8500000000000001,0.4993906046640255,17,2.642400233560727,0.2759293334820616,18.082768925757847,0.26378233200261975,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood::L2_window_50,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_50,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_50_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50/seed_167400/checkpoint.pt,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood_scenario,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,197508,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
197509,checkpoint,16,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,43.49554427228574,1.5,41.99554427228574,off_track,False,off_track,off_track_noncollision_noncompletion,-0.47324585485361004,-0.029577865928350627,2.862209316592765,5.568482560015145,0.5846349626633007,0.1204918830583789,0.0,18.144138957062836,0.013373157009482384,1,nan,nan,0.05,5.0,nan,nan,nan,nan,False,nan,0.1204918830583789,0.8328205583256395,False,False,nan,nan,nan,nan,0.0,0.5684825600151449,0.8,0.5684825600151449,16,2.862209316592765,0.5846349626633007,18.144138957062836,-0.029577865928350627,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood::L2_window_50_current_tiled,tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_50_current_tiled,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_50_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50_current_tiled/seed_167400/checkpoint.pt,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood_scenario,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,197509,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
