profile_name,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
L0_current_masked,outcome_by_profile,no_support,36,0,4,32,33,0.0,0.1111111111111111,0.8888888888888888,0.9166666666666666,6.818580813258324,24.93329247842776,82.47222222222223,0,,0,,True,0,4,32,33,3,0
L1_one_step,outcome_by_profile,weak_support,36,4,2,30,30,0.1111111111111111,0.05555555555555555,0.8333333333333334,0.8333333333333334,10.296073641771486,26.438911611831113,84.11111111111111,1,L1_one_step,4,m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief;m2033-smoke-0027-m1680-spec-0040;m2033-smoke-0030-m1680-spec-0036;m2033-smoke-0032-m1680-spec-0038,True,4,2,30,30,2,4
L2_window_100,outcome_by_profile,no_support,36,0,0,36,36,0.0,0.0,1.0,1.0,12.257627318616558,13.23123722639805,66.0,0,,0,,True,0,0,36,36,0,0
L2_window_100_current_tiled,outcome_by_profile,no_support,36,0,0,36,36,0.0,0.0,1.0,1.0,12.089087083201923,13.211498296307928,63.27777777777778,0,,0,,True,0,0,36,36,0,0
L2_window_13,outcome_by_profile,no_support,36,0,0,36,36,0.0,0.0,1.0,1.0,11.499785207802143,13.930671795776757,65.91666666666667,0,,0,,True,0,0,36,36,0,0
L2_window_13_current_tiled,outcome_by_profile,no_support,36,0,0,36,36,0.0,0.0,1.0,1.0,10.672310457471655,16.279035748717995,62.69444444444444,0,,0,,True,0,0,36,36,0,0
L2_window_25,outcome_by_profile,no_support,36,0,0,36,36,0.0,0.0,1.0,1.0,9.910306386487147,16.050092748626916,66.19444444444444,0,,0,,True,0,0,36,36,0,0
L2_window_25_current_tiled,outcome_by_profile,no_support,36,0,0,36,36,0.0,0.0,1.0,1.0,12.579335083596492,14.861668494694433,64.91666666666667,0,,0,,True,0,0,36,36,0,0
L2_window_50,outcome_by_profile,no_support,36,0,0,36,36,0.0,0.0,1.0,1.0,11.282127052902302,14.8359788156776,64.33333333333333,0,,0,,True,0,0,36,36,0,0
L2_window_50_current_tiled,outcome_by_profile,no_support,36,0,0,36,36,0.0,0.0,1.0,1.0,13.361446284098326,15.010133920424595,64.33333333333333,0,,0,,True,0,0,36,36,0,0
L3_online_gru,outcome_by_profile,weak_support,36,8,4,24,24,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.6666666666666666,7.226319109428728,43.680099426231656,92.08333333333333,1,L3_online_gru,8,m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief;m2033-smoke-0003-m2020-active-safety-0000;m2033-smoke-0005-m1680-spec-0000;m2033-smoke-0006-m1680-spec-0005;m2033-smoke-0007-m1680-spec-0006;m2033-smoke-0008-m2029-t2-same_current_brake_authority_older_history_proxy-00;m2033-smoke-0016-m1680-spec-0006;m2033-smoke-0023-m2029-t3-warmup_yaw_authority_proxy-00,True,8,4,24,24,4,8
L3_reset_control_corrected,outcome_by_profile,weak_support,36,8,3,25,25,0.2222222222222222,0.08333333333333333,0.6944444444444444,0.6944444444444444,8.374979944862325,47.67985381523486,90.05555555555556,1,L3_reset_control_corrected,8,m2033-smoke-0004-m1680-spec-0003;m2033-smoke-0007-m1680-spec-0006;m2033-smoke-0009-m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-00;m2033-smoke-0018-m2029-t3-warmup_brake_authority_proxy-00;m2033-smoke-0022-m2029-t3-warmup_terminal_boundary_recovery_proxy-00;m2033-smoke-0023-m2029-t3-warmup_yaw_authority_proxy-00;m2033-smoke-0031-m1680-spec-0005;m2033-smoke-0034-m1680-spec-0037,True,8,3,25,25,3,8
