task_source_id,profile_name,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,L0_current_masked,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,4.667292369772601,10.15870432515106,87.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.009675086166200941,26.091448696411568,67.0,0,,0,,True,0,1,0,0,1,0
m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,L2_window_100,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,9.59987291369811,12.632808202387857,69.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,L2_window_100_current_tiled,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,13.84127071541169,8.977095956634756,63.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,L2_window_13,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,0.08252366830691749,10.470083300341415,91.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,L2_window_13_current_tiled,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,0.38767489910326125,22.920340339415276,60.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,L2_window_25,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,1.098704686152328,15.03760490304889,60.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,L2_window_25_current_tiled,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,11.127289999332953,26.50675180973454,70.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,L2_window_50,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,15.386341852237784,8.389144619610354,53.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,L2_window_50_current_tiled,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,14.566347293432885,6.517930867205793,60.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,L3_online_gru,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,5.659140946100127,61.20348195926134,89.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,9.707655994989137,33.73736090990535,93.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,L0_current_masked,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,1.0874366092780978,35.41872115629522,88.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,L1_one_step,outcome_by_source_profile,weak_support,1,1,0,0,0,1.0,0.0,0.0,0.0,0.18157001206607948,57.40888208064453,74.0,1,L1_one_step,1,m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,True,1,0,0,0,0,1
m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,L2_window_100,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,0.3297243899120872,15.295544854928146,68.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,L2_window_100_current_tiled,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,10.659418746321371,11.632259390850862,59.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,L2_window_13,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,12.800334920202154,8.474980010529894,59.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,L2_window_13_current_tiled,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,10.071766809046471,15.075789176998988,60.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,L2_window_25,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,14.581519408323507,15.696374796925396,63.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,L2_window_25_current_tiled,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,5.430531004872931,13.749295821977295,79.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,L2_window_50,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,2.9524672566903627,5.886734638457986,48.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,L2_window_50_current_tiled,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,11.943599745006276,24.516696559000227,70.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,L3_online_gru,outcome_by_source_profile,weak_support,1,1,0,0,0,1.0,0.0,0.0,0.0,1.9776003799486617,55.32212011113195,66.0,1,L3_online_gru,1,m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,True,1,0,0,0,0,1
m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.04321338971413269,26.70846986482226,56.0,0,,0,,True,0,1,0,0,1,0
m2033-smoke-0002-m2026-t1-m1983_outcome_support-cosr_v0_0064_offtrack_boundary_relief_extension,L0_current_masked,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,0.7483277749879025,8.118174291675594,95.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0002-m2026-t1-m1983_outcome_support-cosr_v0_0064_offtrack_boundary_relief_extension,L1_one_step,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,15.68502390190012,16.032567612046112,63.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0002-m2026-t1-m1983_outcome_support-cosr_v0_0064_offtrack_boundary_relief_extension,L2_window_100,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,8.72521114129274,16.346541306444852,60.0,0,,0,,True,0,0,1,1,0,0
m2033-smoke-0002-m2026-t1-m1983_outcome_support-cosr_v0_0064_offtrack_boundary_relief_extension,L2_window_100_current_tiled,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,18.482831362917633,10.35665391635532,57.0,0,,0,,True,0,0,1,1,0,0
