profile_name,generated_source_row,materialization_semantics,paper_validity_claim,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
L0_current_masked,false,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,24,0,2,22,23,0.0,0.08333333333333333,0.9166666666666666,0.9583333333333334,5.714269182289139,23.049520992393994,81.70833333333333,0,,0,,True,0,2,22,23,1,0
L0_current_masked,true,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,12,0,2,10,10,0.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,9.027204075196693,28.7008354504953,84.0,0,,0,,True,0,2,10,10,2,0
L1_one_step,false,smoke_proxy,false,outcome_by_profile_generated_proxy,weak_support,24,4,1,19,19,0.16666666666666666,0.041666666666666664,0.7916666666666666,0.7916666666666666,9.14933128452565,32.12056413122007,81.33333333333333,1,L1_one_step,4,m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief;m2033-smoke-0027-m1680-spec-0040;m2033-smoke-0030-m1680-spec-0036;m2033-smoke-0032-m1680-spec-0038,True,4,1,19,19,1,4
L1_one_step,true,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,12,0,1,11,11,0.0,0.08333333333333333,0.9166666666666666,0.9166666666666666,12.589558356263156,15.075606573053198,89.66666666666667,0,,0,,True,0,1,11,11,1,0
L2_window_100,false,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,10.81366991779253,13.664639225076234,65.79166666666667,0,,0,,True,0,0,24,24,0,0
L2_window_100,true,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,15.145542120264613,12.364433229041682,66.41666666666667,0,,0,,True,0,0,12,12,0,0
L2_window_100_current_tiled,false,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,10.64288606000902,13.603625543624183,64.0,0,,0,,True,0,0,24,24,0,0
L2_window_100_current_tiled,true,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,14.981489129587723,12.427243801675417,61.833333333333336,0,,0,,True,0,0,12,12,0,0
L2_window_13,false,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,10.89671900263979,12.820353179726013,64.875,0,,0,,True,0,0,24,24,0,0
L2_window_13,true,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,12.705917618126849,16.151309027878245,68.0,0,,0,,True,0,0,12,12,0,0
L2_window_13_current_tiled,false,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,10.532221938273102,16.499342290679,60.333333333333336,0,,0,,True,0,0,24,24,0,0
L2_window_13_current_tiled,true,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,10.95248749586876,15.83842266479599,67.41666666666667,0,,0,,True,0,0,12,12,0,0
L2_window_25,false,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,10.497156474718425,16.206801036000446,65.04166666666667,0,,0,,True,0,0,24,24,0,0
L2_window_25,true,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,8.736606210024592,15.736676173879852,68.5,0,,0,,True,0,0,12,12,0,0
L2_window_25_current_tiled,false,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,13.479487822745115,15.994137697194168,64.66666666666667,0,,0,,True,0,0,24,24,0,0
L2_window_25_current_tiled,true,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,10.779029605299241,12.596730089694967,65.41666666666667,0,,0,,True,0,0,12,12,0,0
L2_window_50,false,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,10.482367901527638,14.327339438047282,64.66666666666667,0,,0,,True,0,0,24,24,0,0
L2_window_50,true,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,12.881645355651626,15.853257570938235,63.666666666666664,0,,0,,True,0,0,12,12,0,0
L2_window_50_current_tiled,false,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,11.835452011504202,14.935142534786792,65.20833333333333,0,,0,,True,0,0,24,24,0,0
L2_window_50_current_tiled,true,smoke_proxy,false,outcome_by_profile_generated_proxy,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,16.413434829286576,15.160116691700198,62.583333333333336,0,,0,,True,0,0,12,12,0,0
L3_online_gru,false,smoke_proxy,false,outcome_by_profile_generated_proxy,weak_support,24,6,3,15,15,0.25,0.125,0.625,0.625,5.984974183589936,45.496556719704955,93.04166666666667,1,L3_online_gru,6,m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief;m2033-smoke-0003-m2020-active-safety-0000;m2033-smoke-0005-m1680-spec-0000;m2033-smoke-0006-m1680-spec-0005;m2033-smoke-0007-m1680-spec-0006;m2033-smoke-0016-m1680-spec-0006,True,6,3,15,15,3,6
L3_online_gru,true,smoke_proxy,false,outcome_by_profile_generated_proxy,weak_support,12,2,1,9,9,0.16666666666666666,0.08333333333333333,0.75,0.75,9.709008961106314,40.047184839285066,90.16666666666667,1,L3_online_gru,2,m2033-smoke-0008-m2029-t2-same_current_brake_authority_older_history_proxy-00;m2033-smoke-0023-m2029-t3-warmup_yaw_authority_proxy-00,True,2,1,9,9,1,2
L3_reset_control_corrected,false,smoke_proxy,false,outcome_by_profile_generated_proxy,weak_support,24,4,3,17,17,0.16666666666666666,0.125,0.7083333333333334,0.7083333333333334,8.323010136699192,43.304291891309525,86.29166666666667,1,L3_reset_control_corrected,4,m2033-smoke-0004-m1680-spec-0003;m2033-smoke-0007-m1680-spec-0006;m2033-smoke-0031-m1680-spec-0005;m2033-smoke-0034-m1680-spec-0037,True,4,3,17,17,3,4
L3_reset_control_corrected,true,smoke_proxy,false,outcome_by_profile_generated_proxy,weak_support,12,4,0,8,8,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,8.478919561188588,56.430977663085535,97.58333333333333,1,L3_reset_control_corrected,4,m2033-smoke-0009-m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-00;m2033-smoke-0018-m2029-t3-warmup_brake_authority_proxy-00;m2033-smoke-0022-m2029-t3-warmup_terminal_boundary_recovery_proxy-00;m2033-smoke-0023-m2029-t3-warmup_yaw_authority_proxy-00,True,4,0,8,8,0,4
