sampled_obstacle_label,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
active_diagnostic_warmup,outcome_by_sampled_label,weak_support,72,4,0,68,68,0.05555555555555555,0.0,0.9444444444444444,0.9444444444444444,11.578188344532519,22.907834850520715,72.875,2,L3_online_gru;L3_reset_control_corrected,3,m2033-smoke-0018-m2029-t3-warmup_brake_authority_proxy-00;m2033-smoke-0022-m2029-t3-warmup_terminal_boundary_recovery_proxy-00;m2033-smoke-0023-m2029-t3-warmup_yaw_authority_proxy-00,True,4,0,68,68,0,4
actuator_delay_step,outcome_by_sampled_label,weak_support,60,2,0,58,58,0.03333333333333333,0.0,0.9666666666666667,0.9666666666666667,13.032898443630394,22.046317428704135,74.35,2,L3_online_gru;L3_reset_control_corrected,2,m2033-smoke-0004-m1680-spec-0003;m2033-smoke-0005-m1680-spec-0000,True,2,0,58,58,0,2
aeb_feasible,outcome_by_sampled_label,no_support,12,0,1,11,11,0.0,0.08333333333333333,0.9166666666666666,0.9166666666666666,7.1762033543643,20.220229657425683,71.83333333333333,0,,0,,True,0,1,11,11,1,0
aes_feasible,outcome_by_sampled_label,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,11.508040952493014,19.29947699510814,66.5,0,,0,,True,0,0,12,12,0,0
capability_step_down,outcome_by_sampled_label,weak_support,24,2,0,22,22,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,12.975502023255054,23.635335557844503,78.5,2,L3_online_gru;L3_reset_control_corrected,2,m2033-smoke-0006-m1680-spec-0005;m2033-smoke-0031-m1680-spec-0005,True,2,0,22,22,0,2
capability_step_up,outcome_by_sampled_label,weak_support,36,3,0,33,33,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,11.654535871529605,25.874818810073286,74.36111111111111,2,L3_online_gru;L3_reset_control_corrected,2,m2033-smoke-0007-m1680-spec-0006;m2033-smoke-0016-m1680-spec-0006,True,3,0,33,33,0,3
curved_boundary_obstacle,outcome_by_sampled_label,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,5.709996080718649,27.414498769560037,70.16666666666667,1,L1_one_step,1,m2033-smoke-0027-m1680-spec-0040,True,1,0,11,11,0,1
drift_required,outcome_by_sampled_label,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,8.917060827965425,18.15285282910771,73.66666666666667,1,L3_online_gru,1,m2033-smoke-0003-m2020-active-safety-0000,True,1,0,11,11,0,1
late_reveal_boundary,outcome_by_sampled_label,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,7.443012902492527,21.907725759570692,68.91666666666667,1,L3_reset_control_corrected,1,m2033-smoke-0034-m1680-spec-0037,True,1,0,11,11,0,1
same_current_different_older_history,outcome_by_sampled_label,weak_support,72,2,4,66,66,0.027777777777777776,0.05555555555555555,0.9166666666666666,0.9166666666666666,12.15528554177827,19.82263077873323,74.66666666666667,2,L3_online_gru;L3_reset_control_corrected,2,m2033-smoke-0008-m2029-t2-same_current_brake_authority_older_history_proxy-00;m2033-smoke-0009-m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-00,True,2,4,66,66,4,2
t5_boundary_axis_retarget,outcome_by_sampled_label,no_support,24,0,1,23,23,0.0,0.041666666666666664,0.9583333333333334,0.9583333333333334,7.986472270144574,16.733233301727463,68.91666666666667,0,,0,,True,0,1,23,23,1,0
t5_near_boundary_warmup,outcome_by_sampled_label,weak_support,72,2,6,64,65,0.027777777777777776,0.08333333333333333,0.8888888888888888,0.9027777777777778,7.9831666062317845,20.781862502886952,67.88888888888889,1,L1_one_step,2,m2033-smoke-0030-m1680-spec-0036;m2033-smoke-0032-m1680-spec-0038,True,2,6,64,65,5,2
unavoidable,outcome_by_sampled_label,weak_support,12,2,1,9,9,0.16666666666666666,0.08333333333333333,0.75,0.75,5.9977296576628225,23.7654890385469,65.83333333333333,2,L1_one_step;L3_online_gru,1,m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,True,2,1,9,9,1,2
