workload_id,task_source_id,panel_source_id,panel_task_family,source_kind,proxy_template_family,generated_source_row,paper_validity_claim,profile_name,outcome_bucket,termination_reason,min_clearance_margin,return,steps
m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief::L1_one_step,m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,T1_reactive_active_safety,mitigation_isolation_check,t5_near_boundary_warmup,false,false,L1_one_step,success_obstacle_pass,,0.18157001206607948,57.40888208064453,74
m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief::L3_online_gru,m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,T1_reactive_active_safety,mitigation_isolation_check,t5_near_boundary_warmup,false,false,L3_online_gru,success_obstacle_pass,,1.9776003799486617,55.32212011113195,66
m2033-smoke-0003-m2020-active-safety-0000::L3_online_gru,m2033-smoke-0003-m2020-active-safety-0000,m2020-active-safety-0000,T1_reactive_active_safety,success_stabilizer,t5_near_boundary_warmup,false,false,L3_online_gru,success_obstacle_pass,,7.866740644927996,-23.825034438927943,158
m2033-smoke-0004-m1680-spec-0003::L3_reset_control_corrected,m2033-smoke-0004-m1680-spec-0003,m1680-spec-0003,T2_same_current_different_older_history,actuator_delay_proxy,t4_actuator_delay_response,false,false,L3_reset_control_corrected,success_obstacle_pass,,1.7881866298775773,79.94495332450883,92
m2033-smoke-0005-m1680-spec-0000::L3_online_gru,m2033-smoke-0005-m1680-spec-0000,m1680-spec-0000,T2_same_current_different_older_history,actuator_delay_proxy+capability_step_proxy,t4_actuator_delay_response,false,false,L3_online_gru,success_obstacle_pass,,2.1517263228823267,111.43358745596464,85
m2033-smoke-0006-m1680-spec-0005::L3_online_gru,m2033-smoke-0006-m1680-spec-0005,m1680-spec-0005,T2_same_current_different_older_history,capability_step_proxy,t4_staged_warmup_capability,false,false,L3_online_gru,success_obstacle_pass,,6.037136287268975,79.12352452678834,133
m2033-smoke-0007-m1680-spec-0006::L3_online_gru,m2033-smoke-0007-m1680-spec-0006,m1680-spec-0006,T2_same_current_different_older_history,capability_step_proxy+warmup_proxy,t4_staged_warmup_capability,false,false,L3_online_gru,success_obstacle_pass,,5.641251067649519,98.82220457092814,100
m2033-smoke-0007-m1680-spec-0006::L3_reset_control_corrected,m2033-smoke-0007-m1680-spec-0006,m1680-spec-0006,T2_same_current_different_older_history,capability_step_proxy+warmup_proxy,t4_staged_warmup_capability,false,false,L3_reset_control_corrected,success_obstacle_pass,,3.0256484417800857,103.34095386031561,95
m2033-smoke-0008-m2029-t2-same_current_brake_authority_older_history_proxy-00::L3_online_gru,m2033-smoke-0008-m2029-t2-same_current_brake_authority_older_history_proxy-00,m2029-t2-same_current_brake_authority_older_history_proxy-00,T2_same_current_different_older_history,same_current_brake_authority_older_history_proxy,t4_staged_warmup_capability,true,false,L3_online_gru,success_obstacle_pass,,0.29040469360120813,55.16641358328714,96
m2033-smoke-0009-m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-00::L3_reset_control_corrected,m2033-smoke-0009-m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-00,m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-00,T2_same_current_different_older_history,same_current_drive_brake_asymmetry_older_history_proxy,t4_staged_warmup_capability,true,false,L3_reset_control_corrected,success_obstacle_pass,,14.007911763633082,61.646867683811166,138
m2033-smoke-0016-m1680-spec-0006::L3_online_gru,m2033-smoke-0016-m1680-spec-0006,m1680-spec-0006,T3_active_diagnostic_warmup,capability_step_proxy+warmup_proxy,t4_staged_warmup_capability,false,false,L3_online_gru,success_obstacle_pass,,2.9001189432274104,64.76845678767506,98
m2033-smoke-0018-m2029-t3-warmup_brake_authority_proxy-00::L3_reset_control_corrected,m2033-smoke-0018-m2029-t3-warmup_brake_authority_proxy-00,m2029-t3-warmup_brake_authority_proxy-00,T3_active_diagnostic_warmup,warmup_brake_authority_proxy,t4_staged_warmup_capability,true,false,L3_reset_control_corrected,success_obstacle_pass,,2.2169415974864144,102.49467864996853,98
m2033-smoke-0022-m2029-t3-warmup_terminal_boundary_recovery_proxy-00::L3_reset_control_corrected,m2033-smoke-0022-m2029-t3-warmup_terminal_boundary_recovery_proxy-00,m2029-t3-warmup_terminal_boundary_recovery_proxy-00,T3_active_diagnostic_warmup,warmup_terminal_boundary_recovery_proxy,t5_boundary_axis_retarget,true,false,L3_reset_control_corrected,success_obstacle_pass,,2.5024299627973363,86.05080661493315,85
m2033-smoke-0023-m2029-t3-warmup_yaw_authority_proxy-00::L3_online_gru,m2033-smoke-0023-m2029-t3-warmup_yaw_authority_proxy-00,m2029-t3-warmup_yaw_authority_proxy-00,T3_active_diagnostic_warmup,warmup_yaw_authority_proxy,t4_actuator_delay_response,true,false,L3_online_gru,success_obstacle_pass,,2.865297449246117,64.17629894793298,94
m2033-smoke-0023-m2029-t3-warmup_yaw_authority_proxy-00::L3_reset_control_corrected,m2033-smoke-0023-m2029-t3-warmup_yaw_authority_proxy-00,m2029-t3-warmup_yaw_authority_proxy-00,T3_active_diagnostic_warmup,warmup_yaw_authority_proxy,t4_actuator_delay_response,true,false,L3_reset_control_corrected,success_obstacle_pass,,1.0964246699900118,77.53309612176524,96
m2033-smoke-0027-m1680-spec-0040::L1_one_step,m2033-smoke-0027-m1680-spec-0040,m1680-spec-0040,T4_variable_diagnostic_delay,terminal_boundary_proxy,t5_boundary_axis_retarget,false,false,L1_one_step,success_obstacle_pass,,1.5532527479541356,108.70268626429723,82
m2033-smoke-0030-m1680-spec-0036::L1_one_step,m2033-smoke-0030-m1680-spec-0036,m1680-spec-0036,T5_source_rich_extreme_dynamics,actuator_delay_proxy+terminal_boundary_proxy+warmup_proxy,t5_boundary_axis_retarget,false,false,L1_one_step,success_obstacle_pass,,0.5055212298005012,58.918514269047826,81
m2033-smoke-0031-m1680-spec-0005::L3_reset_control_corrected,m2033-smoke-0031-m1680-spec-0005,m1680-spec-0005,T5_source_rich_extreme_dynamics,capability_step_proxy,t4_staged_warmup_capability,false,false,L3_reset_control_corrected,success_obstacle_pass,,0.6012554467123032,67.52805036076744,68
