profile_name,outcome_bucket,episode_count,success_obstacle_pass_rate,collision_failure_rate,off_track_noncollision_noncompletion_rate,max_steps_noncompletion_rate,safe_noncollision_noncompletion_rate,clearance_margin_mean,clearance_margin_p10,return_mean,steps_mean,all_selected_metrics_finite,diagnostic_only_no_ranking_claim
L0_current_masked,collision_failure,20,0.0,1.0,0.0,0.0,0.0,-0.09164537008380724,-0.15415241258488754,21.842659232107103,85.2,True,True
L0_current_masked,off_track_noncollision_noncompletion,46,0.0,0.0,1.0,0.0,0.0,8.65150131597564,1.3578152051090702,20.416285807099772,101.04347826086956,True,True
L0_current_masked,success_obstacle_pass,6,1.0,0.0,0.0,0.0,0.0,2.2394205460062975,0.16813256312307112,84.39412912308887,120.5,True,True
L1_one_step,collision_failure,22,0.0,1.0,0.0,0.0,0.0,-0.07282402791478282,-0.1292196176753268,23.550730402516855,80.18181818181819,True,True
L1_one_step,off_track_noncollision_noncompletion,43,0.0,0.0,1.0,0.0,0.0,9.313720477532463,2.5866032795606064,22.15363562922766,103.4186046511628,True,True
L1_one_step,success_obstacle_pass,7,1.0,0.0,0.0,0.0,0.0,1.245784990471374,0.6350587851119437,52.18764499340009,147.28571428571428,True,True
L2_window_100,collision_failure,1,0.0,1.0,0.0,0.0,0.0,-0.11610867773152722,-0.11610867773152722,3.9990774391092323,62.0,True,True
L2_window_100,off_track_noncollision_noncompletion,71,0.0,0.0,1.0,0.0,0.0,9.199462610523799,1.5194876703230968,8.90907832576276,79.28169014084507,True,True
L2_window_100_current_tiled,off_track_noncollision_noncompletion,72,0.0,0.0,1.0,0.0,0.0,11.605246076722077,1.9968021486884233,4.419844697418888,77.04166666666667,True,True
L2_window_13,collision_failure,3,0.0,1.0,0.0,0.0,0.0,-0.037853222471963356,-0.07061386204978301,10.715850216512015,59.0,True,True
L2_window_13,off_track_noncollision_noncompletion,69,0.0,0.0,1.0,0.0,0.0,11.144432551522675,1.9851147237756952,8.953506257542893,80.71014492753623,True,True
L2_window_13_current_tiled,collision_failure,1,0.0,1.0,0.0,0.0,0.0,-0.021145900292320885,-0.021145900292320885,35.420141341814194,68.0,True,True
L2_window_13_current_tiled,off_track_noncollision_noncompletion,71,0.0,0.0,1.0,0.0,0.0,9.872120605237686,1.6125822164629908,7.107600094326106,79.38028169014085,True,True
L2_window_25,collision_failure,1,0.0,1.0,0.0,0.0,0.0,-0.07903445631371842,-0.07903445631371842,19.723166995147448,55.0,True,True
L2_window_25,off_track_noncollision_noncompletion,71,0.0,0.0,1.0,0.0,0.0,11.145485823690809,2.154204186967257,6.35302887665423,79.70422535211267,True,True
L2_window_25_current_tiled,off_track_noncollision_noncompletion,72,0.0,0.0,1.0,0.0,0.0,9.790842756915648,2.010046429699748,8.475869790095603,79.13888888888889,True,True
L2_window_50,off_track_noncollision_noncompletion,72,0.0,0.0,1.0,0.0,0.0,10.268509610922724,1.771242141918921,7.186529805210309,80.18055555555556,True,True
L2_window_50_current_tiled,off_track_noncollision_noncompletion,72,0.0,0.0,1.0,0.0,0.0,11.497925381868486,3.2903024322334176,7.712719743440321,80.20833333333333,True,True
L3_online_gru,collision_failure,4,0.0,1.0,0.0,0.0,0.0,-0.0792506851350897,-0.12853800220725958,31.509049127484822,59.75,True,True
L3_online_gru,off_track_noncollision_noncompletion,24,0.0,0.0,1.0,0.0,0.0,10.424860090106586,4.395835301215788,43.999755023911824,100.625,True,True
L3_online_gru,success_obstacle_pass,44,1.0,0.0,0.0,0.0,0.0,5.186402565336053,0.5649434373991498,88.28313314511537,106.88636363636364,True,True
L3_reset_control_corrected,collision_failure,5,0.0,1.0,0.0,0.0,0.0,-0.04192716957753597,-0.055054178028244485,32.34888460428672,71.0,True,True
L3_reset_control_corrected,off_track_noncollision_noncompletion,33,0.0,0.0,1.0,0.0,0.0,9.240112403736989,2.507705365593696,42.62255152522812,100.9090909090909,True,True
L3_reset_control_corrected,success_obstacle_pass,34,1.0,0.0,0.0,0.0,0.0,3.8999928184668087,0.7807865114458364,79.8815475238365,105.97058823529412,True,True
