surface_id,role_family,support_status,actor_observation_shape,action_shape,actor_visible_inputs,metadata_only_fields,blocked_reason,next_fixture_requirement
current_sim_autodrift_hf0,stable_avoidable,supported,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;obstacle_label;friction_step_timing;mu;mass;cg_shift;tire_brake_drive_actuator_scales;speed_ref;beta_target;path_error;heading_error;curvature;ttc_or_stopping_clearance;reward_terms;success_or_termination_labels,,reuse current-sim stable avoidable fixtures as baseline safety-control rows
current_sim_autodrift_hf0,stable_aes,limited_fixture,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;obstacle_label;friction_step_timing;mu;mass;cg_shift;tire_brake_drive_actuator_scales;speed_ref;beta_target;path_error;heading_error;curvature;ttc_or_stopping_clearance;reward_terms;success_or_termination_labels,stable-AES reset-ready support remains partial in current-sim distribution evidence,keep stable-AES rows as bounded fixtures until reset-readiness is synthesis-approved
current_sim_autodrift_hf0,drift_required_recovery,supported,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;obstacle_label;friction_step_timing;mu;mass;cg_shift;tire_brake_drive_actuator_scales;speed_ref;beta_target;path_error;heading_error;curvature;ttc_or_stopping_clearance;reward_terms;success_or_termination_labels,,map existing handling-limit current-sim tasks into drift-required recovery metadata
current_sim_autodrift_hf0,hidden_dynamics_robustness,supported,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;obstacle_label;friction_step_timing;mu;mass;cg_shift;tire_brake_drive_actuator_scales;speed_ref;beta_target;path_error;heading_error;curvature;ttc_or_stopping_clearance;reward_terms;success_or_termination_labels,,map hidden-parameter variants as diagnostics-only robustness metadata
current_sim_autodrift_hf0,unavoidable_mitigation,limited_fixture,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;obstacle_label;friction_step_timing;mu;mass;cg_shift;tire_brake_drive_actuator_scales;speed_ref;beta_target;path_error;heading_error;curvature;ttc_or_stopping_clearance;reward_terms;success_or_termination_labels,unavoidable verdict is oracle metadata and cannot be inferred by the actor,design mitigation fixtures with metadata-only feasibility labels before any pilot
source_only_four_wheel_hf0,stable_avoidable,supported,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;source_model_state;vehicle_params;fault_scales;per_wheel_forces;slip_load_like_force_details;drag_and_rolling_forces;fixture_role_labels;reward_terms;success_or_termination_labels,,reuse deterministic obstacle fixture with P0 actor extraction
source_only_four_wheel_hf0,stable_aes,limited_fixture,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;source_model_state;vehicle_params;fault_scales;per_wheel_forces;slip_load_like_force_details;drag_and_rolling_forces;fixture_role_labels;reward_terms;success_or_termination_labels,source-only four-wheel adapter has deterministic road and obstacle fixtures only,add bounded evasive-steering fixture rows without exposing feasibility labels
source_only_four_wheel_hf0,drift_required_recovery,limited_fixture,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;source_model_state;vehicle_params;fault_scales;per_wheel_forces;slip_load_like_force_details;drag_and_rolling_forces;fixture_role_labels;reward_terms;success_or_termination_labels,source-only four-wheel model exposes richer dynamics but lacks role-specific recovery fixtures,add recovery fixture families using diagnostics-only wheel force evidence
source_only_four_wheel_hf0,hidden_dynamics_robustness,supported,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;source_model_state;vehicle_params;fault_scales;per_wheel_forces;slip_load_like_force_details;drag_and_rolling_forces;fixture_role_labels;reward_terms;success_or_termination_labels,,vary fault scales and vehicle params as diagnostics-only hidden dynamics metadata
source_only_four_wheel_hf0,unavoidable_mitigation,limited_fixture,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;source_model_state;vehicle_params;fault_scales;per_wheel_forces;slip_load_like_force_details;drag_and_rolling_forces;fixture_role_labels;reward_terms;success_or_termination_labels,source-only four-wheel adapter lacks mitigation-specific scenario fixtures,add mitigation fixture rows with oracle feasibility kept out of actor input
