comparison_subject,comparison_subject_family,fixture_id,surface_id,role_family,step_index,observation_shape,action_shape,action_steer,action_throttle,action_brake,action_finite,action_within_bounds,action_saturated,backend_status,terminated_by_backend,truncated_by_backend,diagnostic_wheel_force_count,state_x,state_y,state_psi,state_vx,state_vy,state_speed,state_yaw_rate,physical_steer,physical_throttle,physical_brake,parameterized_fixture,reset_observation_digest,policy_action,diagnostic_only
m1154_policy_actor,policy_actor,hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,0,72,3,0.9717256426811218,-0.8038698434829712,-0.5361865162849426,True,True,False,running,False,False,4,0.17989098504977397,0.0018008967905749013,0.0011364139960042675,8.98933192657118,0.12022948295267258,8.99013590634997,0.09061749012948843,0.9717256426811218,0.0980650782585144,0.2319067418575287,True,be74fec0227f041e,True,True
m1154_policy_actor,policy_actor,hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,1,72,3,0.9733885526657104,-0.7768253087997437,-0.4396926462650299,True,True,False,running,False,False,4,0.3594653963832579,0.005364359721029664,0.0036434833370222247,8.968988377655492,0.1945323793866119,8.971097779265875,0.158732970762975,0.9733885526657104,0.11158734560012817,0.28015369176864624,True,be74fec0227f041e,True,True
m1154_policy_actor,policy_actor,hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,2,72,3,0.9719964861869812,-0.7666045427322388,-0.4002344012260437,True,True,False,running,False,False,4,0.5385332088927818,0.010916372979727704,0.0074271870478330925,8.94068917838809,0.26262591227983423,8.944545564440192,0.2186717890966192,0.9719964861869812,0.11669772863388062,0.29988279938697815,True,be74fec0227f041e,True,True
m1154_policy_actor,policy_actor,hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,3,72,3,0.9697629809379578,-0.7563796043395996,-0.37175384163856506,True,True,False,running,False,False,4,0.7169274196358212,0.018530239003784105,0.012331546127821644,8.905500715339192,0.32337026204702646,8.91136977783344,0.2710069498410564,0.9697629809379578,0.1218101978302002,0.31412309408187866,True,be74fec0227f041e,True,True
m1154_policy_actor,policy_actor,hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,4,72,3,0.9665429592132568,-0.7442822456359863,-0.3483327329158783,True,True,False,running,False,False,4,0.8944961188852425,0.028234902230677046,0.01821075863860466,8.864248581726832,0.37657759274251423,8.87224400036439,0.3163015920473141,0.9665429592132568,0.12785887718200684,0.32583361864089966,True,be74fec0227f041e,True,True
m1154_policy_actor,policy_actor,hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,5,72,3,0.9614484310150146,-0.7280806303024292,-0.3270149827003479,True,True,False,running,False,False,4,1.0711002377732033,0.04002912800390153,0.02492818400026386,8.81762906163699,0.422326953271604,8.827737100983747,0.354941171218743,0.9614484310150146,0.1359596848487854,0.33649250864982605,True,be74fec0227f041e,True,True
m1154_policy_actor,policy_actor,hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,6,72,3,0.9530297517776489,-0.704362690448761,-0.3076139986515045,True,True,False,running,False,False,4,1.2466226476181956,0.053894408047227275,0.032359848083620746,8.76726024372534,0.46151055168503846,8.779398850178955,0.3878143755336502,0.9530297517776489,0.1478186547756195,0.34619301557540894,True,be74fec0227f041e,True,True
m1154_policy_actor,policy_actor,hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,7,72,3,0.941342294216156,-0.678303062915802,-0.30173325538635254,True,True,False,running,False,False,4,1.4209829057164374,0.0698142476114032,0.04040473959133735,8.715273841081395,0.4957172004909725,8.729360438651863,0.41632918141969827,0.941342294216156,0.160848468542099,0.34913337230682373,True,be74fec0227f041e,True,True
m1154_policy_actor,policy_actor,hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,8,72,3,0.9280548691749573,-0.6604568958282471,-0.3066236078739166,True,True,False,running,False,False,4,1.5941346468529982,0.08778367680722249,0.048987260274748055,8.663038382745896,0.526248035508162,8.67900749024938,0.4416250936446173,0.9280548691749573,0.16977155208587646,0.3466882109642029,True,be74fec0227f041e,True,True
m1154_policy_actor,policy_actor,hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,9,72,3,0.9131155610084534,-0.6484581828117371,-0.30619990825653076,True,True,False,running,False,False,4,1.7660515360922826,0.10780723374960324,0.05805134759103679,8.611292505436433,0.5540394329538811,8.62909718959368,0.4645214352274502,0.9131155610084534,0.17577090859413147,0.3469000458717346,True,be74fec0227f041e,True,True
