surface,candidate_label,run_dir,candidate_success_drop_count,baseline_success_drop_count,gate_pass,row15_retained,first_replay_pass,skipped_reason
m267_m264,m1031_base_row16x4_s40_a0_75,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/first_replay/m1031_base_row16x4_s40_a0_75/m267_m264,16,17,False,True,False,
m183_m170,m1031_base_row16x4_s40_a0_75,,0,0,False,,False,m267_m264_first_replay_failed
m267_m264,m1031_line_row16x4_s40_a0_75,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/first_replay/m1031_line_row16x4_s40_a0_75/m267_m264,16,17,False,True,False,
m183_m170,m1031_line_row16x4_s40_a0_75,,0,0,False,,False,m267_m264_first_replay_failed
m267_m264,m1031_base_row16x4_s40_a0_6,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/first_replay/m1031_base_row16x4_s40_a0_6/m267_m264,17,17,True,True,True,
m183_m170,m1031_base_row16x4_s40_a0_6,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/first_replay/m1031_base_row16x4_s40_a0_6/m183_m170,3,17,False,,False,
m267_m264,m1031_line_row16x4_s40_a0_6,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/first_replay/m1031_line_row16x4_s40_a0_6/m267_m264,17,17,True,True,True,
m183_m170,m1031_line_row16x4_s40_a0_6,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/first_replay/m1031_line_row16x4_s40_a0_6/m183_m170,3,17,False,,False,
m267_m264,m1031_raw_row16x4_s40_a0_5,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/first_replay/m1031_raw_row16x4_s40_a0_5/m267_m264,6,17,False,False,False,
m183_m170,m1031_raw_row16x4_s40_a0_5,,0,0,False,,False,m267_m264_first_replay_failed
m267_m264,m1031_base_row16x4_s40_a0_5,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/first_replay/m1031_base_row16x4_s40_a0_5/m267_m264,17,17,True,True,True,
