batch_size,iteration_index,device,timed_path,observation_shape,action_shape,forward_time_us,per_sample_time_us,action_finite,action_within_bounds,synthetic_observation_source
1,0,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,44.521,44.521,True,True,seeded_normal_shape_only
1,1,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,113.771,113.771,True,True,seeded_normal_shape_only
1,2,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,53.071,53.071,True,True,seeded_normal_shape_only
1,3,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,47.17,47.17,True,True,seeded_normal_shape_only
1,4,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,45.44,45.44,True,True,seeded_normal_shape_only
1,5,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,44.891,44.891,True,True,seeded_normal_shape_only
1,6,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,46.12,46.12,True,True,seeded_normal_shape_only
1,7,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,45.561,45.561,True,True,seeded_normal_shape_only
1,8,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,44.51,44.51,True,True,seeded_normal_shape_only
1,9,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,44.241,44.241,True,True,seeded_normal_shape_only
1,10,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,43.0,43.0,True,True,seeded_normal_shape_only
1,11,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.431,42.431,True,True,seeded_normal_shape_only
1,12,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.52,42.52,True,True,seeded_normal_shape_only
1,13,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.12,42.12,True,True,seeded_normal_shape_only
1,14,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.61,41.61,True,True,seeded_normal_shape_only
1,15,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.67,41.67,True,True,seeded_normal_shape_only
1,16,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.52,41.52,True,True,seeded_normal_shape_only
1,17,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,93.34,93.34,True,True,seeded_normal_shape_only
1,18,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,82.031,82.031,True,True,seeded_normal_shape_only
1,19,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,47.78,47.78,True,True,seeded_normal_shape_only
1,20,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,44.241,44.241,True,True,seeded_normal_shape_only
1,21,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.98,42.98,True,True,seeded_normal_shape_only
1,22,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,43.031,43.031,True,True,seeded_normal_shape_only
1,23,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,49.24,49.24,True,True,seeded_normal_shape_only
1,24,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.52,42.52,True,True,seeded_normal_shape_only
1,25,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.88,42.88,True,True,seeded_normal_shape_only
1,26,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.76,42.76,True,True,seeded_normal_shape_only
1,27,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.141,42.141,True,True,seeded_normal_shape_only
1,28,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.33,42.33,True,True,seeded_normal_shape_only
1,29,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.901,41.901,True,True,seeded_normal_shape_only
1,30,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.84,41.84,True,True,seeded_normal_shape_only
1,31,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.211,42.211,True,True,seeded_normal_shape_only
1,32,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,54.93,54.93,True,True,seeded_normal_shape_only
1,33,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,43.661,43.661,True,True,seeded_normal_shape_only
1,34,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.26,42.26,True,True,seeded_normal_shape_only
1,35,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.451,42.451,True,True,seeded_normal_shape_only
1,36,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,44.95,44.95,True,True,seeded_normal_shape_only
1,37,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,44.381,44.381,True,True,seeded_normal_shape_only
1,38,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.18,42.18,True,True,seeded_normal_shape_only
1,39,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.98,41.98,True,True,seeded_normal_shape_only
1,40,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.961,41.961,True,True,seeded_normal_shape_only
1,41,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.01,42.01,True,True,seeded_normal_shape_only
1,42,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,92.69,92.69,True,True,seeded_normal_shape_only
1,43,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,48.47,48.47,True,True,seeded_normal_shape_only
1,44,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,43.741,43.741,True,True,seeded_normal_shape_only
1,45,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.81,42.81,True,True,seeded_normal_shape_only
1,46,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.401,42.401,True,True,seeded_normal_shape_only
1,47,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.86,42.86,True,True,seeded_normal_shape_only
1,48,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.651,42.651,True,True,seeded_normal_shape_only
1,49,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.15,42.15,True,True,seeded_normal_shape_only
1,50,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.791,41.791,True,True,seeded_normal_shape_only
1,51,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.07,42.07,True,True,seeded_normal_shape_only
1,52,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.06,42.06,True,True,seeded_normal_shape_only
1,53,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.73,41.73,True,True,seeded_normal_shape_only
1,54,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.73,41.73,True,True,seeded_normal_shape_only
1,55,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.661,41.661,True,True,seeded_normal_shape_only
1,56,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.21,42.21,True,True,seeded_normal_shape_only
1,57,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.911,41.911,True,True,seeded_normal_shape_only
1,58,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,47.56,47.56,True,True,seeded_normal_shape_only
1,59,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,44.151,44.151,True,True,seeded_normal_shape_only
1,60,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.8,42.8,True,True,seeded_normal_shape_only
1,61,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.761,41.761,True,True,seeded_normal_shape_only
1,62,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.94,41.94,True,True,seeded_normal_shape_only
1,63,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.451,41.451,True,True,seeded_normal_shape_only
1,64,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.27,41.27,True,True,seeded_normal_shape_only
1,65,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.891,41.891,True,True,seeded_normal_shape_only
1,66,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.34,41.34,True,True,seeded_normal_shape_only
1,67,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.531,41.531,True,True,seeded_normal_shape_only
1,68,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.74,41.74,True,True,seeded_normal_shape_only
1,69,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.62,41.62,True,True,seeded_normal_shape_only
1,70,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.78,41.78,True,True,seeded_normal_shape_only
1,71,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.44,41.44,True,True,seeded_normal_shape_only
1,72,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,42.071,42.071,True,True,seeded_normal_shape_only
1,73,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.72,41.72,True,True,seeded_normal_shape_only
1,74,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.891,41.891,True,True,seeded_normal_shape_only
1,75,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.76,41.76,True,True,seeded_normal_shape_only
1,76,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.731,41.731,True,True,seeded_normal_shape_only
1,77,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.72,41.72,True,True,seeded_normal_shape_only
1,78,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.641,41.641,True,True,seeded_normal_shape_only
1,79,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.76,41.76,True,True,seeded_normal_shape_only
1,80,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.791,41.791,True,True,seeded_normal_shape_only
1,81,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.67,41.67,True,True,seeded_normal_shape_only
1,82,cpu,recurrent_features_tensor_plus_actor_mean_tanh,72,3,41.701,41.701,True,True,seeded_normal_shape_only
