task_source_id,task_family,source_edge,source_family_left,source_family_right,window_tag,generation_seed,executable_source_family,executable_seed,capability_pair,geometry_key,reveal_step,decision_step,simulator_scope,proxy_fault_family,env_template_family,materialization_rule,contract_violation_count,history_length_is_one,action_history_mode_full,include_privileged_params_false,wheel_observation_mode_none,obstacle_relative_velocity_mode_zero
m1680-spec-0000,T4,actuator_delay_step|capability_step_up,capability_step_up,actuator_delay_step,reveal_plus_4,168000,capability_step_up,168000,mu_recover|mu_low,step_up_right,34,42,single_track_symmetric_proxy,True,t4_capability_step_temporal,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0001,T4,actuator_delay_step|t4_capability_step_temporal,actuator_delay_step,t4_capability_step_temporal,mapping_window_unspecified,168001,actuator_delay_step,168001,fast_steer|slow_steer,actuator_step_right,38,46,single_track_symmetric_proxy,True,t4_actuator_delay_response,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0002,T4,capability_step_down|t4_actuator_delay_response,capability_step_down,t4_actuator_delay_response,mapping_window_unspecified,168002,capability_step_down,168002,mu_nominal|mu_drop,step_down_curve,34,42,single_track_symmetric_proxy,True,t4_capability_step_temporal,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0003,T4,t4_actuator_delay_response|actuator_delay_step,t4_actuator_delay_response,actuator_delay_step,mapping_window_unspecified,168003,t4_actuator_delay_response,168003,steer_fast|steer_slow,delay_curve,38,46,single_track_symmetric_proxy,True,t4_actuator_delay_response,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0004,T4,t4_actuator_delay_response|capability_step_up,t4_actuator_delay_response,capability_step_up,mapping_window_unspecified,168004,t4_actuator_delay_response,168004,tau_fast|tau_slow,delay_left,46,54,single_track_symmetric_proxy,True,t4_actuator_delay_response,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0005,T4,t4_capability_step_temporal|capability_step_down,t4_capability_step_temporal,capability_step_down,mapping_window_unspecified,168005,t4_capability_step_temporal,168005,tire_soft|tire_stiff,temporal_left,44,52,existing_public_source,False,t4_capability_step_temporal,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0006,T4,t4_staged_warmup_capability|capability_step_up,t4_staged_warmup_capability,capability_step_up,mapping_window_unspecified,168006,t4_staged_warmup_capability,168006,low_mu|high_mu,warmup_right,40,48,existing_public_source,False,t4_staged_warmup_capability,task_family_matched_endpoint+direct_env_template,0,True,True,True,True,True
m1680-spec-0007,T4,actuator_delay_step|capability_step_up,capability_step_up,actuator_delay_step,reveal_plus_4,168007,capability_step_up,168007,brake_recover|brake_low,step_up_right,42,50,single_track_symmetric_proxy,True,t4_capability_step_temporal,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0008,T4,actuator_delay_step|t4_capability_step_temporal,actuator_delay_step,t4_capability_step_temporal,mapping_window_unspecified,168008,actuator_delay_step,168008,fast_brake|slow_brake,actuator_step_curve,46,54,single_track_symmetric_proxy,True,t4_actuator_delay_response,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
m1680-spec-0009,T4,capability_step_down|t4_actuator_delay_response,capability_step_down,t4_actuator_delay_response,mapping_window_unspecified,168009,capability_step_down,168009,brake_nominal|brake_drop,step_down_curve,42,50,single_track_symmetric_proxy,True,t4_capability_step_temporal,task_family_matched_endpoint+proxy_env_template,0,True,True,True,True,True
