task_source_id,candidate_id,candidate_set_id,branch_id,panel_task_family,source_split,source_kind,source_edge,window_tag,source_reference,task_role_semantics,obstacle_distance_band,road_width_band,curvature_band,dynamics_band,initial_speed_band,same_current_constraint,history_intervention_candidate,warmup_mode,warmup_duration_seconds,obstacle_reveal_delay_seconds,recent_window_seconds,older_history_offset_seconds,diagnostic_delay_seconds,terminal_margin_bucket,materialization_semantics,proxy_template_family,generated_source_row,paper_validity_claim,eval_seed,m2091_reset_success,exclusion_reason,contract_violation_count
m2063-osd-osd_v0_0000_t1,osd_v0_0000_t1,paper_route_outcome_supported_decisive_task_candidates_v0,paper_route_outcome_supported_decisive_task_distribution,T1_reactive_active_safety,public_debug,ordinary_reactive_stable_aes,T1_reactive_active_safety|ordinary_reactive_stable_aes|early|nominal|high|actuator_delay|nominal,m2060_t1_000,osd_v0_0000_t1,reactive_evasive_driving_current_response_allowed,early,nominal,high,actuator_delay,nominal,false,false,none,0.0,0.0,0.0,0.0,0.0,,smoke_proxy,t5_near_boundary_warmup,true,false,210100,True,source_split_not_public_gate,0
m2063-osd-osd_v0_0001_t1,osd_v0_0001_t1,paper_route_outcome_supported_decisive_task_candidates_v0,paper_route_outcome_supported_decisive_task_distribution,T1_reactive_active_safety,public_debug,late_obstacle_reactive_evasion,T1_reactive_active_safety|late_obstacle_reactive_evasion|medium|tight|straight_or_low|nominal_mu|high,m2060_t1_001,osd_v0_0001_t1,reactive_evasive_driving_current_response_allowed,medium,tight,straight_or_low,nominal_mu,high,false,false,none,0.0,0.0,0.0,0.0,0.0,,smoke_proxy,t5_near_boundary_warmup,true,false,210101,True,source_split_not_public_gate,0
m2063-osd-osd_v0_0003_t1,osd_v0_0003_t1,paper_route_outcome_supported_decisive_task_candidates_v0,paper_route_outcome_supported_decisive_task_distribution,T1_reactive_active_safety,public_debug,narrow_road_reactive_evasion,T1_reactive_active_safety|narrow_road_reactive_evasion|early|nominal|high|mixed_mu|nominal,m2060_t1_003,osd_v0_0003_t1,reactive_evasive_driving_current_response_allowed,early,nominal,high,mixed_mu,nominal,false,false,none,0.0,0.0,0.0,0.0,0.0,,smoke_proxy,t5_near_boundary_warmup,true,false,210102,True,source_split_not_public_gate,0
m2063-osd-osd_v0_0004_t1,osd_v0_0004_t1,paper_route_outcome_supported_decisive_task_candidates_v0,paper_route_outcome_supported_decisive_task_distribution,T1_reactive_active_safety,public_debug,high_speed_reactive_evasion,T1_reactive_active_safety|high_speed_reactive_evasion|medium|tight|straight_or_low|actuator_delay|high,m2060_t1_004,osd_v0_0004_t1,reactive_evasive_driving_current_response_allowed,medium,tight,straight_or_low,actuator_delay,high,false,false,none,0.0,0.0,0.0,0.0,0.0,,smoke_proxy,t5_near_boundary_warmup,true,false,210103,True,source_split_not_public_gate,0
m2063-osd-osd_v0_0005_t1,osd_v0_0005_t1,paper_route_outcome_supported_decisive_task_candidates_v0,paper_route_outcome_supported_decisive_task_distribution,T1_reactive_active_safety,public_debug,curved_road_reactive_evasion,T1_reactive_active_safety|curved_road_reactive_evasion|late|generous|moderate|nominal_mu|low,m2060_t1_005,osd_v0_0005_t1,reactive_evasive_driving_current_response_allowed,late,generous,moderate,nominal_mu,low,false,false,none,0.0,0.0,0.0,0.0,0.0,,smoke_proxy,t5_near_boundary_warmup,true,false,210104,True,source_split_not_public_gate,0
m2063-osd-osd_v0_0006_t1,osd_v0_0006_t1,paper_route_outcome_supported_decisive_task_candidates_v0,paper_route_outcome_supported_decisive_task_distribution,T1_reactive_active_safety,public_debug,ordinary_reactive_stable_aes,T1_reactive_active_safety|ordinary_reactive_stable_aes|early|nominal|high|low_mu|nominal,m2060_t1_006,osd_v0_0006_t1,reactive_evasive_driving_current_response_allowed,early,nominal,high,low_mu,nominal,false,false,none,0.0,0.0,0.0,0.0,0.0,,smoke_proxy,t5_near_boundary_warmup,true,false,210105,True,source_split_not_public_gate,0
m2063-osd-osd_v0_0007_t1,osd_v0_0007_t1,paper_route_outcome_supported_decisive_task_candidates_v0,paper_route_outcome_supported_decisive_task_distribution,T1_reactive_active_safety,public_debug,late_obstacle_reactive_evasion,T1_reactive_active_safety|late_obstacle_reactive_evasion|medium|tight|straight_or_low|mixed_mu|high,m2060_t1_007,osd_v0_0007_t1,reactive_evasive_driving_current_response_allowed,medium,tight,straight_or_low,mixed_mu,high,false,false,none,0.0,0.0,0.0,0.0,0.0,,smoke_proxy,t5_near_boundary_warmup,true,false,210106,True,source_split_not_public_gate,0
m2063-osd-osd_v0_0008_t1,osd_v0_0008_t1,paper_route_outcome_supported_decisive_task_candidates_v0,paper_route_outcome_supported_decisive_task_distribution,T1_reactive_active_safety,public_debug,low_mu_reactive_evasion,T1_reactive_active_safety|low_mu_reactive_evasion|late|generous|moderate|actuator_delay|low,m2060_t1_008,osd_v0_0008_t1,reactive_evasive_driving_current_response_allowed,late,generous,moderate,actuator_delay,low,false,false,none,0.0,0.0,0.0,0.0,0.0,,smoke_proxy,t5_near_boundary_warmup,true,false,210107,True,source_split_not_public_gate,0
m2063-osd-osd_v0_0009_t1,osd_v0_0009_t1,paper_route_outcome_supported_decisive_task_candidates_v0,paper_route_outcome_supported_decisive_task_distribution,T1_reactive_active_safety,public_debug,narrow_road_reactive_evasion,T1_reactive_active_safety|narrow_road_reactive_evasion|early|nominal|high|nominal_mu|nominal,m2060_t1_009,osd_v0_0009_t1,reactive_evasive_driving_current_response_allowed,early,nominal,high,nominal_mu,nominal,false,false,none,0.0,0.0,0.0,0.0,0.0,,smoke_proxy,t5_near_boundary_warmup,true,false,210108,True,source_split_not_public_gate,0
m2063-osd-osd_v0_0010_t1,osd_v0_0010_t1,paper_route_outcome_supported_decisive_task_candidates_v0,paper_route_outcome_supported_decisive_task_distribution,T1_reactive_active_safety,public_debug,high_speed_reactive_evasion,T1_reactive_active_safety|high_speed_reactive_evasion|medium|tight|straight_or_low|low_mu|high,m2060_t1_010,osd_v0_0010_t1,reactive_evasive_driving_current_response_allowed,medium,tight,straight_or_low,low_mu,high,false,false,none,0.0,0.0,0.0,0.0,0.0,,smoke_proxy,t5_near_boundary_warmup,true,false,210109,True,source_split_not_public_gate,0
