key,count
actuator_delay_terminal_boundary,6
delayed_obstacle_reveal_response,6
late_terminal_boundary_margin,6
long_delay_steer_lag_evidence,6
low_grip_terminal_boundary,6
medium_delay_yaw_evidence,6
mixed_dynamics_terminal_boundary,6
near_zero_clearance_margin,6
short_delay_brake_evidence,6
stale_evidence_boundary_check,6
tight_road_terminal_boundary,6
variable_delay_mixed_authority,6
warmup_brake_authority_probe,4
warmup_combined_brake_steer_probe,4
warmup_steering_lag_probe,4
warmup_terminal_recovery_probe,4
warmup_throttle_release_response,4
warmup_yaw_authority_probe,4
