key,count
early|nominal|high|actuator_delay|nominal,8
early|nominal|high|low_mu|nominal,8
early|nominal|high|mixed_mu|nominal,8
early|nominal|high|nominal_mu|nominal,8
late|generous|moderate|actuator_delay|low,8
late|generous|moderate|low_mu|low,8
late|generous|moderate|mixed_mu|low,8
late|generous|moderate|nominal_mu|low,8
medium|tight|straight_or_low|actuator_delay|high,8
medium|tight|straight_or_low|low_mu|high,8
medium|tight|straight_or_low|mixed_mu|high,8
medium|tight|straight_or_low|nominal_mu|high,8
