panel_unit_id,source_kind,comparison_support_intent,profile_label,availability_label,denominator_source_artifact,denominator_source_row_count,episode_count,success_count,collision_count,offtrack_outcome_count,success_rate,collision_rate,offtrack_outcome_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty,observed_success_support,support_absence_semantics,generated_proxy_boundary_only
panel_unit_000_actuator_delay_collision_relief,actuator_delay_collision_relief,collision_relief_probe,L0_current_masked,denominator_available_from_profile_source_kind_aggregate,runs/m2128_paper_route_outcome_supported_decisive_comparison_support_outcome_localization/outcome_by_profile_source_kind.csv,1,10,0,4,6,0.0,0.4,0.6,2.1571777424236167,24.40312908001338,98.6,True,0,4,6,6,4,0,False,no_success_support_observed_in_m2134_aggregate,True
panel_unit_000_actuator_delay_collision_relief,actuator_delay_collision_relief,collision_relief_probe,L1_one_step,denominator_available_from_profile_source_kind_aggregate,runs/m2128_paper_route_outcome_supported_decisive_comparison_support_outcome_localization/outcome_by_profile_source_kind.csv,1,10,1,3,6,0.1,0.3,0.6,4.0590126784946605,24.5905221420045,97.8,True,1,3,6,6,3,1,True,observed_success_support,True
panel_unit_000_actuator_delay_collision_relief,actuator_delay_collision_relief,collision_relief_probe,L2_window_50,denominator_available_from_profile_source_kind_aggregate,runs/m2128_paper_route_outcome_supported_decisive_comparison_support_outcome_localization/outcome_by_profile_source_kind.csv,1,10,0,0,10,0.0,0.0,1.0,11.612070537658713,6.260846554784023,81.6,True,0,0,10,10,0,0,False,profile_not_in_m2138_success_support_union,True
panel_unit_000_actuator_delay_collision_relief,actuator_delay_collision_relief,collision_relief_probe,L3_online_gru,denominator_available_from_profile_source_kind_aggregate,runs/m2128_paper_route_outcome_supported_decisive_comparison_support_outcome_localization/outcome_by_profile_source_kind.csv,1,10,3,2,5,0.3,0.2,0.5,6.528767034766898,41.34828363324167,104.7,True,3,2,5,5,2,3,True,observed_success_support,True
panel_unit_000_actuator_delay_collision_relief,actuator_delay_collision_relief,collision_relief_probe,L3_reset_control_corrected,denominator_available_from_profile_source_kind_aggregate,runs/m2128_paper_route_outcome_supported_decisive_comparison_support_outcome_localization/outcome_by_profile_source_kind.csv,1,10,3,0,7,0.3,0.0,0.7,9.96058921477137,61.84102957488274,115.7,True,3,0,7,7,0,3,True,observed_success_support,True
panel_unit_001_gru_memory_discriminative_boundary,gru_memory_discriminative_boundary,discriminative_boundary,L0_current_masked,denominator_available_from_profile_source_kind_aggregate,runs/m2128_paper_route_outcome_supported_decisive_comparison_support_outcome_localization/outcome_by_profile_source_kind.csv,1,10,0,2,8,0.0,0.2,0.8,4.127562388022723,30.675605334211497,94.3,True,0,2,8,8,2,0,False,no_success_support_observed_in_m2134_aggregate,True
panel_unit_001_gru_memory_discriminative_boundary,gru_memory_discriminative_boundary,discriminative_boundary,L1_one_step,denominator_available_from_profile_source_kind_aggregate,runs/m2128_paper_route_outcome_supported_decisive_comparison_support_outcome_localization/outcome_by_profile_source_kind.csv,1,10,1,5,4,0.1,0.5,0.4,5.210330030367002,31.19041092656392,90.3,True,1,5,4,4,5,1,True,observed_success_support,True
panel_unit_001_gru_memory_discriminative_boundary,gru_memory_discriminative_boundary,discriminative_boundary,L2_window_50,denominator_available_from_profile_source_kind_aggregate,runs/m2128_paper_route_outcome_supported_decisive_comparison_support_outcome_localization/outcome_by_profile_source_kind.csv,1,10,0,0,10,0.0,0.0,1.0,5.205772641509781,11.281356011631708,79.3,True,0,0,10,10,0,0,False,profile_not_in_m2138_success_support_union,True
panel_unit_001_gru_memory_discriminative_boundary,gru_memory_discriminative_boundary,discriminative_boundary,L3_online_gru,denominator_available_from_profile_source_kind_aggregate,runs/m2128_paper_route_outcome_supported_decisive_comparison_support_outcome_localization/outcome_by_profile_source_kind.csv,1,10,4,0,6,0.4,0.0,0.6,5.560652889211444,69.97831383949682,104.9,True,4,0,6,6,0,4,True,observed_success_support,True
panel_unit_001_gru_memory_discriminative_boundary,gru_memory_discriminative_boundary,discriminative_boundary,L3_reset_control_corrected,denominator_available_from_profile_source_kind_aggregate,runs/m2128_paper_route_outcome_supported_decisive_comparison_support_outcome_localization/outcome_by_profile_source_kind.csv,1,10,4,2,4,0.4,0.2,0.4,4.765170842639699,63.64037993642613,108.4,True,4,2,4,4,2,4,True,observed_success_support,True
