step,metric_phase,total_loss,exact_m297_loss,exact_m270_loss,hinge_m297,hinge_m270,hinge_old_key,old_key_surrogate_loss,old_key_preference_loss,old_key_action_anchor_loss,old_key_recovery_loss,old_key_recovery_preferred_loss,old_key_recovery_wrong_anchor_loss,current_family_conflict_loss,current_family_conflict_preferred_loss,current_family_conflict_rejected_loss,replay_trajectory_anchor_loss,active_boundary_loss,active_boundary_wrong_loss,active_boundary_gap_loss,active_boundary_normal_loss,active_boundary_v2_loss,active_boundary_v2_wrong_loss,active_boundary_v2_gap_loss,active_boundary_v2_normal_loss,action_anchor_loss,param_l2_to_base,param_l2_to_raw,grad_norm,learning_rate,exact_m297_delta_vs_base,exact_m270_delta_vs_base,exact_m297_no_regression,exact_m270_no_regression,exact_lexicographic_pass,positive_violation
0,start,15.331046104431152,1.189098834991455,0.6775813102722168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015330992639064789,1.5056745183983367e-08,0.0015330978203564882,5.336102276487509e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8341872251869127e-11,0.0,3e-06,0.0,0.0,True,True,True,0.0
1,post_update,15.165695190429688,1.1891764402389526,0.6776378750801086,7.750524673610926e-05,5.6464807130396366e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015156424604356289,1.0088267288210773e-07,0.0015156323788687587,5.529090230993461e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0164623037999263e-07,8.853019012322605e-12,3.290847108705641e-11,2291.79931640625,3e-06,7.76052474975586e-05,5.65648078918457e-05,False,False,False,0.0001339700553894043
2,post_update,15.013039588928223,1.1890053749084473,0.6775332093238831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015012907795608044,2.480329328591324e-07,0.001501266029663384,6.201726591825718e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.968136858631624e-07,2.8776942634367586e-11,5.026219718207159e-11,2822.196044921875,3e-06,-9.34600830078125e-05,-4.8100948333740234e-05,True,True,True,0.0
3,post_update,14.860498428344727,1.1889266967773438,0.6774874925613403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014860272407531738,4.97052440096013e-07,0.001485977554693818,7.1340828071697615e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5467308003280777e-06,6.288889548011767e-11,8.072446877616102e-11,2263.244140625,3e-06,-0.00017213821411132812,-9.381771087646484e-05,True,True,True,0.0
4,post_update,14.704002380371094,1.1888952255249023,0.6774722933769226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014703643508255482,8.42970280245936e-07,0.0014702801126986742,8.358164450328331e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.744545554378419e-06,1.1123929555267864e-10,1.2491785383872411e-10,2249.466796875,3e-06,-0.00020360946655273438,-0.00010901689529418945,True,True,True,0.0
5,post_update,14.545637130737305,1.1888933181762695,0.6774761080741882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014545109122991562,1.2853439557147794e-06,0.001454382436349988,9.891761692415457e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29425563197583e-06,1.740546595740966e-10,1.8328764894715022e-10,2235.296875,3e-06,-0.00020551681518554688,-0.00010520219802856445,True,True,True,0.0
6,post_update,14.386326789855957,1.1889115571975708,0.6774929761886597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014385589398443699,1.8246624904350028e-06,0.0014383764937520027,1.1746526979550254e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.201164524100022e-06,2.5153776284092544e-10,2.5614377285876344e-10,2220.891845703125,3e-06,-0.00018727779388427734,-8.83340835571289e-05,True,True,True,0.0
7,post_update,14.226675033569336,1.1889445781707764,0.6775195598602295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014225688762962818,2.4619018859084463e-06,0.0014223227044567466,1.3930269233242143e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470388820569497e-06,3.438849205394945e-10,3.437387596783026e-10,2206.322265625,3e-06,-0.00015425682067871094,-6.175041198730469e-05,True,True,True,0.0
8,post_update,14.067007064819336,1.1889891624450684,0.6775534749031067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01406573224812746,3.1976715035852976e-06,0.0014062535483390093,1.6448799215140752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1105993507953826e-05,4.512883955420932e-10,4.4629511197769034e-10,2191.632080078125,3e-06,-0.00010967254638671875,-2.7835369110107422e-05,True,True,True,0.0
9,post_update,13.90771484375,1.189042568206787,0.6775934100151062,0.0,1.1999743037449662e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013905966654419899,4.032575816381723e-06,0.0013901933562010527,1.930713733599987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4111995369603392e-05,5.738515773678898e-10,5.639441136295886e-10,2176.84765625,3e-06,-5.626678466796875e-05,1.2099742889404297e-05,True,False,False,1.1999742889404296e-05
10,post_update,13.75120735168457,1.1890945434570312,0.6776320338249207,0.0,5.0623551942408085e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013746669515967369,4.969136625732062e-06,0.0013741699513047934,2.2523327061207965e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.749919101712294e-05,7.12050862716751e-10,6.972493138412972e-10,2153.7919921875,3e-06,-4.291534423828125e-06,5.072355270385742e-05,True,False,False,5.062355270385742e-05
