candidate_id,intervention_condition_id,execution_scheduled,matched_history_required,ordinary_denominator_allowed,expected_trace_rows,stop_if_unresolved
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,normal_recurrent,True,False,True,80,True
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,reset_hidden_each_step,True,False,True,80,True
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,zero_previous_command_history,True,False,True,80,True
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,held_actuator_history,True,False,True,80,True
m2773_stable_avoidable_seed_264100_fresh_fault_delay_noise,normal_recurrent,True,False,True,80,True
m2773_stable_avoidable_seed_264100_fresh_fault_delay_noise,reset_hidden_each_step,True,False,True,80,True
m2773_stable_avoidable_seed_264100_fresh_fault_delay_noise,zero_previous_command_history,True,False,True,80,True
m2773_stable_avoidable_seed_264100_fresh_fault_delay_noise,held_actuator_history,True,False,True,80,True
m2773_stable_avoidable_seed_264101_fresh_nominal_or_role_default,normal_recurrent,True,False,True,80,True
m2773_stable_avoidable_seed_264101_fresh_nominal_or_role_default,reset_hidden_each_step,True,False,True,80,True
m2773_stable_avoidable_seed_264101_fresh_nominal_or_role_default,zero_previous_command_history,True,False,True,80,True
m2773_stable_avoidable_seed_264101_fresh_nominal_or_role_default,held_actuator_history,True,False,True,80,True
m2773_stable_avoidable_seed_264101_fresh_fault_delay_noise,normal_recurrent,True,False,True,80,True
m2773_stable_avoidable_seed_264101_fresh_fault_delay_noise,reset_hidden_each_step,True,False,True,80,True
m2773_stable_avoidable_seed_264101_fresh_fault_delay_noise,zero_previous_command_history,True,False,True,80,True
m2773_stable_avoidable_seed_264101_fresh_fault_delay_noise,held_actuator_history,True,False,True,80,True
m2773_stable_avoidable_seed_264102_fresh_nominal_or_role_default,normal_recurrent,True,False,True,80,True
m2773_stable_avoidable_seed_264102_fresh_nominal_or_role_default,reset_hidden_each_step,True,False,True,80,True
m2773_stable_avoidable_seed_264102_fresh_nominal_or_role_default,zero_previous_command_history,True,False,True,80,True
m2773_stable_avoidable_seed_264102_fresh_nominal_or_role_default,held_actuator_history,True,False,True,80,True
m2773_stable_avoidable_seed_264102_fresh_fault_delay_noise,normal_recurrent,True,False,True,80,True
m2773_stable_avoidable_seed_264102_fresh_fault_delay_noise,reset_hidden_each_step,True,False,True,80,True
m2773_stable_avoidable_seed_264102_fresh_fault_delay_noise,zero_previous_command_history,True,False,True,80,True
m2773_stable_avoidable_seed_264102_fresh_fault_delay_noise,held_actuator_history,True,False,True,80,True
m2773_stable_avoidable_seed_264103_fresh_nominal_or_role_default,normal_recurrent,True,False,True,80,True
m2773_stable_avoidable_seed_264103_fresh_nominal_or_role_default,reset_hidden_each_step,True,False,True,80,True
m2773_stable_avoidable_seed_264103_fresh_nominal_or_role_default,zero_previous_command_history,True,False,True,80,True
m2773_stable_avoidable_seed_264103_fresh_nominal_or_role_default,held_actuator_history,True,False,True,80,True
m2773_stable_avoidable_seed_264103_fresh_fault_delay_noise,normal_recurrent,True,False,True,80,True
m2773_stable_avoidable_seed_264103_fresh_fault_delay_noise,reset_hidden_each_step,True,False,True,80,True
m2773_stable_avoidable_seed_264103_fresh_fault_delay_noise,zero_previous_command_history,True,False,True,80,True
m2773_stable_avoidable_seed_264103_fresh_fault_delay_noise,held_actuator_history,True,False,True,80,True
m2773_stable_aes_seed_265100_fresh_nominal_or_role_default,normal_recurrent,True,False,True,80,True
m2773_stable_aes_seed_265100_fresh_nominal_or_role_default,reset_hidden_each_step,True,False,True,80,True
m2773_stable_aes_seed_265100_fresh_nominal_or_role_default,zero_previous_command_history,True,False,True,80,True
m2773_stable_aes_seed_265100_fresh_nominal_or_role_default,held_actuator_history,True,False,True,80,True
m2773_stable_aes_seed_265100_fresh_fault_delay_noise,normal_recurrent,True,False,True,80,True
m2773_stable_aes_seed_265100_fresh_fault_delay_noise,reset_hidden_each_step,True,False,True,80,True
m2773_stable_aes_seed_265100_fresh_fault_delay_noise,zero_previous_command_history,True,False,True,80,True
m2773_stable_aes_seed_265100_fresh_fault_delay_noise,held_actuator_history,True,False,True,80,True
m2773_stable_aes_seed_265101_fresh_nominal_or_role_default,normal_recurrent,True,False,True,80,True
m2773_stable_aes_seed_265101_fresh_nominal_or_role_default,reset_hidden_each_step,True,False,True,80,True
m2773_stable_aes_seed_265101_fresh_nominal_or_role_default,zero_previous_command_history,True,False,True,80,True
m2773_stable_aes_seed_265101_fresh_nominal_or_role_default,held_actuator_history,True,False,True,80,True
m2773_stable_aes_seed_265101_fresh_fault_delay_noise,normal_recurrent,True,False,True,80,True
m2773_stable_aes_seed_265101_fresh_fault_delay_noise,reset_hidden_each_step,True,False,True,80,True
m2773_stable_aes_seed_265101_fresh_fault_delay_noise,zero_previous_command_history,True,False,True,80,True
m2773_stable_aes_seed_265101_fresh_fault_delay_noise,held_actuator_history,True,False,True,80,True
m2773_stable_aes_seed_265102_fresh_nominal_or_role_default,normal_recurrent,True,False,True,80,True
m2773_stable_aes_seed_265102_fresh_nominal_or_role_default,reset_hidden_each_step,True,False,True,80,True
