distribution,env_config,seed,policy_label,checkpoint,ablation,run_dir,episodes,success_rate,termination_rate,min_clearance_margin_mean,min_clearance_margin_min,return_mean,collision_rate,obstacle_completed_rate,truncated_rate
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,none,runs/m1040_candidate_b_combined_active_set_full_public_gate/behavior_evals/behavior/seed9505_m399_base_none,80,0.8625,0.1375,1.8348857168100352,-0.14657690493062425,65.94900926373472,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m964_direction_target_a0_15,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_15.pt,none,runs/m1040_candidate_b_combined_active_set_full_public_gate/behavior_evals/behavior/seed9505_m964_direction_target_a0_15_none,80,0.8625,0.1375,1.834064900089151,-0.14728404350920332,65.96291066207293,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m964_direction_target_a0_15,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_15.pt,reset_recurrent_state,runs/m1040_candidate_b_combined_active_set_full_public_gate/behavior_evals/behavior/seed9505_m964_direction_target_a0_15_reset_recurrent_state,80,0.85,0.15,1.8331041405088506,-0.16919498851682335,64.05854788802051,0.125,0.85,0.85
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m964_direction_target_a0_15,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_15.pt,zero_all_response,runs/m1040_candidate_b_combined_active_set_full_public_gate/behavior_evals/behavior/seed9505_m964_direction_target_a0_15_zero_all_response,80,0.8,0.2,1.8518701397943793,-0.1446695412329686,61.07128435123336,0.125,0.8,0.8
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,none,runs/m1040_candidate_b_combined_active_set_full_public_gate/behavior_evals/behavior/seed9506_m399_base_none,80,0.8625,0.1375,1.8522734515297508,-0.14657690493062425,66.2265633283022,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m964_direction_target_a0_15,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_15.pt,none,runs/m1040_candidate_b_combined_active_set_full_public_gate/behavior_evals/behavior/seed9506_m964_direction_target_a0_15_none,80,0.8625,0.1375,1.8514211316093365,-0.14728404350920332,66.24090985662356,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m964_direction_target_a0_15,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_15.pt,reset_recurrent_state,runs/m1040_candidate_b_combined_active_set_full_public_gate/behavior_evals/behavior/seed9506_m964_direction_target_a0_15_reset_recurrent_state,80,0.85,0.15,1.8493406000854407,-0.16919498851682335,64.34877392558556,0.125,0.85,0.85
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m964_direction_target_a0_15,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_15.pt,zero_all_response,runs/m1040_candidate_b_combined_active_set_full_public_gate/behavior_evals/behavior/seed9506_m964_direction_target_a0_15_zero_all_response,80,0.8,0.2,1.8696529704273324,-0.1446695412329686,61.33522387594106,0.125,0.8,0.8
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103930,m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,none,runs/m1040_candidate_b_combined_active_set_full_public_gate/behavior_evals/behavior/seed103930_m399_base_none,80,0.8375,0.1625,1.7536241028017507,-0.1302456319419385,66.88280412615754,0.1625,0.8375,0.8375
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103930,m964_direction_target_a0_15,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_15.pt,none,runs/m1040_candidate_b_combined_active_set_full_public_gate/behavior_evals/behavior/seed103930_m964_direction_target_a0_15_none,80,0.8375,0.1625,1.752589866143604,-0.1309883210493188,66.87850046216026,0.1625,0.8375,0.8375
