source_artifact_id,source_path,source_exists,required,row_count_or_summary,source_role,claim_scope,blocked_interpretation
m2709_design,docs/m2709-engineering-controller-protected-runner-current-m1690-workload-fixture-support-design.md,True,True,decision_present=True,current-M1690 workload fixture support design boundary,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","protected execution result, protected mitigation preservation result, repair success, driver performance, validation readiness or result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2708_synthesis,docs/m2708-engineering-controller-protected-runner-simulator-workload-support-branch-synthesis.md,True,True,decision_present=True,parent branch synthesis route decision,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","protected execution result, protected mitigation preservation result, repair success, driver performance, validation readiness or result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2706_summary,runs/m2706_engineering_controller_protected_runner_simulator_workload_support/summary.json,True,True,status_pass=True;gate_matrix_pass=True,parent simulator/workload support status and counts,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","protected execution result, protected mitigation preservation result, repair success, driver performance, validation readiness or result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2706_support_input_source_rows,runs/m2706_engineering_controller_protected_runner_simulator_workload_support/support_input_source_rows.csv,True,True,rows=17,parent support input-source rows,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","protected execution result, protected mitigation preservation result, repair success, driver performance, validation readiness or result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2706_support_candidate_rows,runs/m2706_engineering_controller_protected_runner_simulator_workload_support/support_candidate_rows.csv,True,True,rows=12,parent support candidate rows,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","protected execution result, protected mitigation preservation result, repair success, driver performance, validation readiness or result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2706_support_blocker_rows,runs/m2706_engineering_controller_protected_runner_simulator_workload_support/support_blocker_rows.csv,True,True,rows=12,parent support blocker rows,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","protected execution result, protected mitigation preservation result, repair success, driver performance, validation readiness or result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2706_support_traceability_rows,runs/m2706_engineering_controller_protected_runner_simulator_workload_support/support_traceability_rows.csv,True,True,rows=160,parent support traceability rows,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","protected execution result, protected mitigation preservation result, repair success, driver performance, validation readiness or result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2706_actor_contract_guard_rows,runs/m2706_engineering_controller_protected_runner_simulator_workload_support/actor_contract_guard_rows.csv,True,True,rows=11,parent actor/action guard rows,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","protected execution result, protected mitigation preservation result, repair success, driver performance, validation readiness or result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2706_claim_boundary_rows,runs/m2706_engineering_controller_protected_runner_simulator_workload_support/claim_boundary_rows.csv,True,True,rows=35,parent claim boundary rows,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","protected execution result, protected mitigation preservation result, repair success, driver performance, validation readiness or result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2706_gate_matrix,runs/m2706_engineering_controller_protected_runner_simulator_workload_support/gate_matrix.csv,True,True,rows=24,parent gate matrix rows,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","protected execution result, protected mitigation preservation result, repair success, driver performance, validation readiness or result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
