training_curriculum_row_id,source_curriculum_row_id,role_family,dynamics_axis,stress_family,future_pack_priority,ordinary_candidate_count,mitigation_reference_count,training_seeds_requested,proof_seeds_requested,training_run_rows_expected,proof_holdout_rows_expected,future_training_allowed,future_execution_allowed,actor_visible_label,mitigation_reference_context_only,ranking_admissible,claim_boundary
m2782_curriculum_000,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,low_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_001,m2779_curriculum_previous_command_history_stress_drift_required_recovery_fresh_fault_delay_noise,drift_required_recovery,fresh_fault_delay_noise,previous_command_history_stress,low_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_002,m2779_curriculum_recurrent_hidden_reset_stress_drift_required_recovery_fresh_fault_delay_noise,drift_required_recovery,fresh_fault_delay_noise,recurrent_hidden_reset_stress,medium_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_003,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_nominal_or_role_default,drift_required_recovery,fresh_nominal_or_role_default,held_actuator_history_stress,medium_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_004,m2779_curriculum_previous_command_history_stress_drift_required_recovery_fresh_nominal_or_role_default,drift_required_recovery,fresh_nominal_or_role_default,previous_command_history_stress,low_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_005,m2779_curriculum_recurrent_hidden_reset_stress_drift_required_recovery_fresh_nominal_or_role_default,drift_required_recovery,fresh_nominal_or_role_default,recurrent_hidden_reset_stress,medium_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_006,m2779_curriculum_held_actuator_history_stress_stable_aes_fresh_fault_delay_noise,stable_aes,fresh_fault_delay_noise,held_actuator_history_stress,medium_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_007,m2779_curriculum_previous_command_history_stress_stable_aes_fresh_fault_delay_noise,stable_aes,fresh_fault_delay_noise,previous_command_history_stress,medium_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_008,m2779_curriculum_recurrent_hidden_reset_stress_stable_aes_fresh_fault_delay_noise,stable_aes,fresh_fault_delay_noise,recurrent_hidden_reset_stress,high_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_009,m2779_curriculum_held_actuator_history_stress_stable_aes_fresh_nominal_or_role_default,stable_aes,fresh_nominal_or_role_default,held_actuator_history_stress,medium_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_010,m2779_curriculum_previous_command_history_stress_stable_aes_fresh_nominal_or_role_default,stable_aes,fresh_nominal_or_role_default,previous_command_history_stress,medium_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_011,m2779_curriculum_recurrent_hidden_reset_stress_stable_aes_fresh_nominal_or_role_default,stable_aes,fresh_nominal_or_role_default,recurrent_hidden_reset_stress,medium_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_012,m2779_curriculum_held_actuator_history_stress_stable_avoidable_fresh_fault_delay_noise,stable_avoidable,fresh_fault_delay_noise,held_actuator_history_stress,high_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_013,m2779_curriculum_previous_command_history_stress_stable_avoidable_fresh_fault_delay_noise,stable_avoidable,fresh_fault_delay_noise,previous_command_history_stress,high_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_014,m2779_curriculum_recurrent_hidden_reset_stress_stable_avoidable_fresh_fault_delay_noise,stable_avoidable,fresh_fault_delay_noise,recurrent_hidden_reset_stress,high_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_015,m2779_curriculum_held_actuator_history_stress_stable_avoidable_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,held_actuator_history_stress,medium_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_016,m2779_curriculum_previous_command_history_stress_stable_avoidable_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,previous_command_history_stress,medium_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
m2782_curriculum_017,m2779_curriculum_recurrent_hidden_reset_stress_stable_avoidable_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,recurrent_hidden_reset_stress,medium_audit_required,4,0,3,1,3,1,True,True,False,False,False,Route A source-only belief-stress short-training continuation preflight only
