item_id,category,forbidden_signal_or_shortcut,forbidden_context,reason
actor_forbidden_mu,forbidden_actor_input,mu,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_mass,forbidden_actor_input,mass,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_inertia,forbidden_actor_input,inertia,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_cg_shift,forbidden_actor_input,cg_shift,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_tire_stiffness,forbidden_actor_input,tire_stiffness,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_brake_scale,forbidden_actor_input,brake_scale,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_drive_scale,forbidden_actor_input,drive_scale,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_actuator_tau,forbidden_actor_input,actuator_tau,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_slip,forbidden_actor_input,slip,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_tire_force,forbidden_actor_input,tire_force,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_tire_saturation_label,forbidden_actor_input,tire_saturation_label,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_controller_mode,forbidden_actor_input,controller_mode,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_scenario_role,forbidden_actor_input,scenario_role,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_speed_ref,forbidden_actor_input,speed_ref,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_beta_target,forbidden_actor_input,beta_target,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_path_error,forbidden_actor_input,path_error,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_heading_error,forbidden_actor_input,heading_error,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_path_curvature,forbidden_actor_input,path_curvature,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_ttc,forbidden_actor_input,ttc,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_required_clearance,forbidden_actor_input,required_clearance,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_oracle_stopping_distance,forbidden_actor_input,oracle_stopping_distance,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_oracle_feasibility,forbidden_actor_input,oracle_feasibility,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_aeb_aes_drift_labels,forbidden_actor_input,aeb_aes_drift_labels,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_reward_terms,forbidden_actor_input,reward_terms,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_progress_counters,forbidden_actor_input,progress_counters,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_collision_labels,forbidden_actor_input,collision_labels,actor_input,not deployable human-view input or is an oracle/teacher signal
actor_forbidden_success_labels,forbidden_actor_input,success_labels,actor_input,not deployable human-view input or is an oracle/teacher signal
outcome_forbidden_single_scalar_driver_score,forbidden_outcome_shortcut,single_scalar_driver_score,claim_or_aggregation,would convert diagnostic outcome rows into an unsupported verdict
outcome_forbidden_mixed_role_success_rate_aggregate,forbidden_outcome_shortcut,mixed_role_success_rate_aggregate,claim_or_aggregation,would convert diagnostic outcome rows into an unsupported verdict
outcome_forbidden_controller_ranking,forbidden_outcome_shortcut,controller_ranking,claim_or_aggregation,would convert diagnostic outcome rows into an unsupported verdict
outcome_forbidden_winner_selection,forbidden_outcome_shortcut,winner_selection,claim_or_aggregation,would convert diagnostic outcome rows into an unsupported verdict
outcome_forbidden_scenario_generalization_from_fixed_public_fixtures,forbidden_outcome_shortcut,scenario_generalization_from_fixed_public_fixtures,claim_or_aggregation,would convert diagnostic outcome rows into an unsupported verdict
outcome_forbidden_current_sim_benchmark_verdict_from_source_only_rows,forbidden_outcome_shortcut,current_sim_benchmark_verdict_from_source_only_rows,claim_or_aggregation,would convert diagnostic outcome rows into an unsupported verdict
outcome_forbidden_high_fidelity_validation_readiness_from_source_only_rows,forbidden_outcome_shortcut,high_fidelity_validation_readiness_from_source_only_rows,claim_or_aggregation,would convert diagnostic outcome rows into an unsupported verdict
outcome_forbidden_paper_level_claim_from_engineering_diagnostics,forbidden_outcome_shortcut,paper_level_claim_from_engineering_diagnostics,claim_or_aggregation,would convert diagnostic outcome rows into an unsupported verdict
outcome_forbidden_finite_window_vs_gru_conclusion,forbidden_outcome_shortcut,finite_window_vs_gru_conclusion,claim_or_aggregation,would convert diagnostic outcome rows into an unsupported verdict
outcome_forbidden_level3_self_identification_conclusion,forbidden_outcome_shortcut,level3_self_identification_conclusion,claim_or_aggregation,would convert diagnostic outcome rows into an unsupported verdict
outcome_forbidden_manual_rule_switch_labels_as_acceptance,forbidden_outcome_shortcut,manual_rule_switch_labels_as_acceptance,claim_or_aggregation,would convert diagnostic outcome rows into an unsupported verdict
outcome_forbidden_precomputed_avoidance_progress_labels_as_success,forbidden_outcome_shortcut,precomputed_avoidance_progress_labels_as_success,claim_or_aggregation,would convert diagnostic outcome rows into an unsupported verdict
