task_source_id,benchmark_spec_id,task_family,claim_level_target,scenario_source,source_kind,source_reference,source_index,source_seed,eval_seed_override,materialization_semantics,paper_validity_status,generated_proxy_source,profile_specific_tuning,actor_input_contract,controller_family_ranking_claim_made,finite_window_vs_gru_conclusion_made,paper_level_claim_made,level3_self_id_claim_made,metric_gap_policy,source_family_template,capability_pair,reveal_step,contract_violation_count,history_length_is_positive,action_history_mode_full,include_privileged_params_false,wheel_observation_mode_none,obstacle_relative_velocity_mode_zero,obstacle_enabled,obstacle_max_sample_attempts_at_least_200
m2151-current-sim-t1-00,current_sim_benchmark_v0_t1,T1_reactive_emergency_avoidance,Claim_A_deployable_feedback_driver,current_sim_executable_materialization_v0,reactive_avoidance,T1_reactive_emergency_avoidance:0,0,215100,215100,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_boundary_axis_retarget,reactive_current_response,24,0,True,True,True,True,True,True,True
m2151-current-sim-t1-01,current_sim_benchmark_v0_t1,T1_reactive_emergency_avoidance,Claim_A_deployable_feedback_driver,current_sim_executable_materialization_v0,reactive_avoidance,T1_reactive_emergency_avoidance:1,1,215101,215101,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_boundary_axis_retarget,reactive_current_response,28,0,True,True,True,True,True,True,True
m2151-current-sim-t1-02,current_sim_benchmark_v0_t1,T1_reactive_emergency_avoidance,Claim_A_deployable_feedback_driver,current_sim_executable_materialization_v0,reactive_avoidance,T1_reactive_emergency_avoidance:2,2,215102,215102,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_boundary_axis_retarget,reactive_current_response,32,0,True,True,True,True,True,True,True
m2151-current-sim-t1-03,current_sim_benchmark_v0_t1,T1_reactive_emergency_avoidance,Claim_A_deployable_feedback_driver,current_sim_executable_materialization_v0,reactive_avoidance,T1_reactive_emergency_avoidance:3,3,215103,215103,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_boundary_axis_retarget,reactive_current_response,36,0,True,True,True,True,True,True,True
m2151-current-sim-t1-04,current_sim_benchmark_v0_t1,T1_reactive_emergency_avoidance,Claim_A_deployable_feedback_driver,current_sim_executable_materialization_v0,reactive_avoidance,T1_reactive_emergency_avoidance:4,4,215104,215104,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_boundary_axis_retarget,reactive_current_response,24,0,True,True,True,True,True,True,True
m2151-current-sim-t1-05,current_sim_benchmark_v0_t1,T1_reactive_emergency_avoidance,Claim_A_deployable_feedback_driver,current_sim_executable_materialization_v0,reactive_avoidance,T1_reactive_emergency_avoidance:5,5,215105,215105,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_boundary_axis_retarget,reactive_current_response,28,0,True,True,True,True,True,True,True
m2151-current-sim-t1-06,current_sim_benchmark_v0_t1,T1_reactive_emergency_avoidance,Claim_A_deployable_feedback_driver,current_sim_executable_materialization_v0,reactive_avoidance,T1_reactive_emergency_avoidance:6,6,215106,215106,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_boundary_axis_retarget,reactive_current_response,32,0,True,True,True,True,True,True,True
m2151-current-sim-t1-07,current_sim_benchmark_v0_t1,T1_reactive_emergency_avoidance,Claim_A_deployable_feedback_driver,current_sim_executable_materialization_v0,reactive_avoidance,T1_reactive_emergency_avoidance:7,7,215107,215107,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t5_boundary_axis_retarget,reactive_current_response,36,0,True,True,True,True,True,True,True
m2151-current-sim-t2-00,current_sim_benchmark_v0_t2,T2_delayed_actuator_response,Claim_B_history_conditioned_output_feedback,current_sim_executable_materialization_v0,delayed_response,T2_delayed_actuator_response:0,0,215200,216100,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_actuator_delay_response,delayed_actuator_response,72,0,True,True,True,True,True,True,True
m2151-current-sim-t2-01,current_sim_benchmark_v0_t2,T2_delayed_actuator_response,Claim_B_history_conditioned_output_feedback,current_sim_executable_materialization_v0,delayed_response,T2_delayed_actuator_response:1,1,215201,216101,current_sim_executable_spec_v0,current_sim_executable_candidate_not_reset_validated,False,False,P0_human_view_no_wheel_no_oracle,False,False,False,False,preserve_explicit_deferred_gaps,t4_actuator_delay_response,delayed_actuator_response,76,0,True,True,True,True,True,True,True
