panel_task_family,axis,value,count
T1_reactive_active_safety,curvature_band,high,16
T1_reactive_active_safety,curvature_band,moderate,16
T1_reactive_active_safety,curvature_band,straight_or_low,16
T1_reactive_active_safety,dynamics_band,actuator_delay,12
T1_reactive_active_safety,dynamics_band,low_mu,12
T1_reactive_active_safety,dynamics_band,mixed_mu,12
T1_reactive_active_safety,dynamics_band,nominal_mu,12
T1_reactive_active_safety,initial_speed_band,high,16
T1_reactive_active_safety,initial_speed_band,low,16
T1_reactive_active_safety,initial_speed_band,nominal,16
T1_reactive_active_safety,obstacle_distance_band,early,16
T1_reactive_active_safety,obstacle_distance_band,late,16
T1_reactive_active_safety,obstacle_distance_band,medium,16
T1_reactive_active_safety,road_width_band,generous,16
T1_reactive_active_safety,road_width_band,nominal,16
T1_reactive_active_safety,road_width_band,tight,16
T2_same_current_different_older_history,curvature_band,high,20
T2_same_current_different_older_history,curvature_band,moderate,20
T2_same_current_different_older_history,curvature_band,straight_or_low,20
T2_same_current_different_older_history,dynamics_band,actuator_delay,15
T2_same_current_different_older_history,dynamics_band,low_mu,15
T2_same_current_different_older_history,dynamics_band,mixed_mu,15
T2_same_current_different_older_history,dynamics_band,nominal_mu,15
T2_same_current_different_older_history,initial_speed_band,high,20
T2_same_current_different_older_history,initial_speed_band,low,20
T2_same_current_different_older_history,initial_speed_band,nominal,20
T2_same_current_different_older_history,obstacle_distance_band,early,20
T2_same_current_different_older_history,obstacle_distance_band,late,20
T2_same_current_different_older_history,obstacle_distance_band,medium,20
T2_same_current_different_older_history,road_width_band,generous,20
T2_same_current_different_older_history,road_width_band,nominal,20
T2_same_current_different_older_history,road_width_band,tight,20
T3_active_diagnostic_warmup,curvature_band,high,20
T3_active_diagnostic_warmup,curvature_band,moderate,20
T3_active_diagnostic_warmup,curvature_band,straight_or_low,20
T3_active_diagnostic_warmup,dynamics_band,actuator_delay,15
T3_active_diagnostic_warmup,dynamics_band,low_mu,15
T3_active_diagnostic_warmup,dynamics_band,mixed_mu,15
T3_active_diagnostic_warmup,dynamics_band,nominal_mu,15
T3_active_diagnostic_warmup,initial_speed_band,high,20
T3_active_diagnostic_warmup,initial_speed_band,low,20
T3_active_diagnostic_warmup,initial_speed_band,nominal,20
T3_active_diagnostic_warmup,obstacle_distance_band,early,20
T3_active_diagnostic_warmup,obstacle_distance_band,late,20
T3_active_diagnostic_warmup,obstacle_distance_band,medium,20
T3_active_diagnostic_warmup,road_width_band,generous,20
T3_active_diagnostic_warmup,road_width_band,nominal,20
T3_active_diagnostic_warmup,road_width_band,tight,20
T4_variable_diagnostic_delay,curvature_band,high,12
T4_variable_diagnostic_delay,curvature_band,moderate,12
T4_variable_diagnostic_delay,curvature_band,straight_or_low,12
T4_variable_diagnostic_delay,dynamics_band,actuator_delay,9
T4_variable_diagnostic_delay,dynamics_band,low_mu,9
T4_variable_diagnostic_delay,dynamics_band,mixed_mu,9
T4_variable_diagnostic_delay,dynamics_band,nominal_mu,9
T4_variable_diagnostic_delay,initial_speed_band,high,12
T4_variable_diagnostic_delay,initial_speed_band,low,12
T4_variable_diagnostic_delay,initial_speed_band,nominal,12
T4_variable_diagnostic_delay,obstacle_distance_band,early,12
T4_variable_diagnostic_delay,obstacle_distance_band,late,12
T4_variable_diagnostic_delay,obstacle_distance_band,medium,12
T4_variable_diagnostic_delay,road_width_band,generous,12
T4_variable_diagnostic_delay,road_width_band,nominal,12
T4_variable_diagnostic_delay,road_width_band,tight,12
T5_terminal_boundary_near_constraint,curvature_band,high,12
T5_terminal_boundary_near_constraint,curvature_band,moderate,12
T5_terminal_boundary_near_constraint,curvature_band,straight_or_low,12
T5_terminal_boundary_near_constraint,dynamics_band,actuator_delay,9
T5_terminal_boundary_near_constraint,dynamics_band,low_mu,9
T5_terminal_boundary_near_constraint,dynamics_band,mixed_mu,9
T5_terminal_boundary_near_constraint,dynamics_band,nominal_mu,9
T5_terminal_boundary_near_constraint,initial_speed_band,high,12
T5_terminal_boundary_near_constraint,initial_speed_band,low,12
T5_terminal_boundary_near_constraint,initial_speed_band,nominal,12
T5_terminal_boundary_near_constraint,obstacle_distance_band,early,12
T5_terminal_boundary_near_constraint,obstacle_distance_band,late,12
T5_terminal_boundary_near_constraint,obstacle_distance_band,medium,12
T5_terminal_boundary_near_constraint,road_width_band,generous,12
T5_terminal_boundary_near_constraint,road_width_band,nominal,12
T5_terminal_boundary_near_constraint,road_width_band,tight,12
