measurement_episode_id,fresh_panel_row_id,panel_family,axis_id,axis_family,scenario_family,fresh_scenario_distribution,fresh_seed,m3080_reference_measurement_episode_id,m3080_reference_eval_seed,m3080_reference_outcome_bucket,source_denominator_reused,fixed_denominator_row_reused,measurement_admission_after_m3083,baseline_measurement_row_id,source_episode_index,executable_workload_id,workload_contract_id,source_resolution_id,profile_binding_id,executable_source_spec_id,task_source_id,base_profile_name,direct_action_profile_name,binding_role,task_family,source_edge,window_tag,strata,eval_seed,policy,steps,terminated,truncated,success,collision,obstacle_completed,termination_reason,outcome_bucket,min_obstacle_clearance,obstacle_collision_radius,min_clearance_margin,high_sideslip_fraction,beta_abs_error_mean,lateral_rmse,action_rate_mean,max_off_track_overshoot,time_to_first_off_track_s,off_track_severity_proxy,recoverability_window_success_available,recoverability_window_success,return,speed_mean,candidate_output_semantics,runtime_base_policy_required,direct_action_step_count,raw_action_abs_max,raw_action_l2_mean,action_clip_fraction,final_action_abs_max,baseline_success,baseline_collision,baseline_min_clearance_margin,baseline_high_sideslip_fraction,baseline_lateral_rmse,baseline_action_rate_mean,baseline_return,success_delta_vs_baseline,collision_delta_vs_baseline,clearance_margin_delta_vs_baseline,high_sideslip_fraction_delta_vs_baseline,lateral_rmse_delta_vs_baseline,action_rate_delta_vs_baseline,return_delta_vs_baseline,environment_reset_run,environment_step_run,policy_action_run,policy_rollout_run,validation_run,training_run,replay_run,ppo_run,ranking_run,winner_selected,checkpoint_mutated,checkpoint_promoted,actor_input_contract_changed,hidden_oracle_actor_input_required,target_labels_actor_visible,target_provenance_actor_visible,source_labels_actor_visible,route_labels_actor_visible,outcome_labels_actor_visible,success_progress_labels_actor_visible,verdict_labels_actor_visible,ttc_actor_input_required,success_rate_verdict_claim_made,driver_performance_claim_made,repair_success_claim_made,validation_result_claim_made,paper_claim_made,finite_window_vs_gru_claim_made,current_sim_verdict_claim_made,high_fidelity_validation_claim_made,full_ideal_driver_completion_claim_made,level3_self_id_claim_made,measurement_only_no_verdict,claim_boundary
m3084-measurement-episode-0001,m3082-fresh-panel-0001,m3082_fresh_robustness_panel,collision_lateral_intrusion,collision_preservation,fresh_obstacle_lateral_intrusion,fresh_obstacle_lateral_offsets_and_reveal_timing,True,m3080-measurement-episode-0001,301500,success_obstacle_pass,False,False,True,m3080-measurement-episode-0001,1,m3012-executable-workload-0003,m3009-workload-contract-0003,m3009-source-resolution-0002,m3009-profile-binding-0001,m3012-executable-source-spec-0002,m3006-src-0001,route_a_candidate_m2655_mitigation_preserving,route_a_candidate_m2655_mitigation_preserving+m3078_deterministic_safety_reflex_fresh_collision_lateral_intrusion,candidate,T5,curved_boundary_obstacle|capability_step_down_variant,decision_minus_40,active_safety_driver_v1;T5;candidate;collision_lateral_intrusion;fresh_obstacle_lateral_offsets_and_reveal_timing;t5_boundary_axis_retarget,401500,m3078_deterministic_safety_reflex_fresh,105,False,True,True,False,True,,success_obstacle_pass,15.84554639369201,1.7279899953097342,14.117556398382275,0.0,0.3586685884154342,1.1515645417911269,0.026786336675286293,0.0,,0.0,False,False,83.1441006932995,8.614171135972768,direct_action_clipped,False,105,1.0,1.071393216223944,0.0,1.0,True,False,20.296686757143856,0.0,1.8918321180102506,0.013254091143608093,78.642250895919,0.0,0.0,-6.179130358761581,0.0,-0.7402675762191238,0.0135322455316782,4.501849797380501,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-measurement-episode-0002,m3082-fresh-panel-0002,m3082_fresh_robustness_panel,collision_lateral_intrusion,collision_preservation,fresh_obstacle_lateral_intrusion,fresh_obstacle_lateral_offsets_and_reveal_timing,True,m3080-measurement-episode-0002,301501,speed_too_low_noncollision_noncompletion,False,False,True,m3080-measurement-episode-0002,2,m3012-executable-workload-0004,m3009-workload-contract-0004,m3009-source-resolution-0002,m3009-profile-binding-0002,m3012-executable-source-spec-0002,m3006-src-0001,route_a_parent_l3_online_gru,route_a_parent_l3_online_gru+m3078_deterministic_safety_reflex_fresh_collision_lateral_intrusion,parent,T5,curved_boundary_obstacle|capability_step_down_variant,decision_minus_40,active_safety_driver_v1;T5;parent;collision_lateral_intrusion;fresh_obstacle_lateral_offsets_and_reveal_timing;t5_boundary_axis_retarget,401501,m3078_deterministic_safety_reflex_fresh,78,False,True,True,False,True,,success_obstacle_pass,6.552354521539743,2.0007553031241843,4.551599218415559,0.0,0.4627329656554814,0.7220929257375512,0.029271621257066727,0.0,,0.0,False,False,69.14898193423171,8.829444990883927,direct_action_clipped,False,78,1.0,1.0833949935741913,0.0,1.0,False,False,28.02406065522729,0.10493827160493827,1.0667621438765422,0.0321514867246151,73.5288659724002,1.0,0.0,-23.472461436811734,-0.10493827160493827,-0.344669218138991,-0.0028798654675483704,-4.379884038168484,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-measurement-episode-0003,m3082-fresh-panel-0003,m3082_fresh_robustness_panel,collision_lateral_intrusion,collision_preservation,fresh_obstacle_lateral_intrusion,fresh_obstacle_lateral_offsets_and_reveal_timing,True,m3080-measurement-episode-0003,301502,success_obstacle_pass,False,False,True,m3080-measurement-episode-0003,3,m3012-executable-workload-0007,m3009-workload-contract-0007,m3009-source-resolution-0004,m3009-profile-binding-0001,m3012-executable-source-spec-0004,m3006-src-0003,route_a_candidate_m2655_mitigation_preserving,route_a_candidate_m2655_mitigation_preserving+m3078_deterministic_safety_reflex_fresh_collision_lateral_intrusion,candidate,T5,brake_fade_or_loss_proxy|boundary_axis_variant,decision_minus_28,active_safety_driver_v1;T5;candidate;collision_lateral_intrusion;fresh_obstacle_lateral_offsets_and_reveal_timing;t5_near_boundary_warmup,401510,m3078_deterministic_safety_reflex_fresh,95,False,True,True,False,True,,success_obstacle_pass,13.267804147847063,1.7493158320757254,11.518488315771338,0.0,0.47947185076726134,0.88893945038983,0.04239403456449509,0.0,,0.0,False,False,74.96209359346776,9.231539803483944,direct_action_clipped,False,95,1.0,1.0987055075796026,0.0,1.0,True,False,14.208429260635159,0.0,1.4796300658981032,0.02007572539150715,65.03375430001762,0.0,0.0,-2.689940944863821,0.0,-0.5906906155082732,0.022318309172987938,9.928339293450136,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-measurement-episode-0004,m3082-fresh-panel-0004,m3082_fresh_robustness_panel,collision_lateral_intrusion,collision_preservation,fresh_obstacle_lateral_intrusion,fresh_obstacle_lateral_offsets_and_reveal_timing,True,m3080-measurement-episode-0004,301503,success_obstacle_pass,False,False,True,m3080-measurement-episode-0004,4,m3012-executable-workload-0008,m3009-workload-contract-0008,m3009-source-resolution-0004,m3009-profile-binding-0002,m3012-executable-source-spec-0004,m3006-src-0003,route_a_parent_l3_online_gru,route_a_parent_l3_online_gru+m3078_deterministic_safety_reflex_fresh_collision_lateral_intrusion,parent,T5,brake_fade_or_loss_proxy|boundary_axis_variant,decision_minus_28,active_safety_driver_v1;T5;parent;collision_lateral_intrusion;fresh_obstacle_lateral_offsets_and_reveal_timing;t5_near_boundary_warmup,401511,m3078_deterministic_safety_reflex_fresh,161,True,False,False,False,False,speed_too_low,speed_too_low_noncollision_noncompletion,6.712531994412541,1.814655928013147,4.8978760663993945,0.7453416149068323,0.780472321513206,0.6953845140498184,0.04643573611974716,0.0,,0.0,False,False,-85.65587959676368,4.077096696794109,direct_action_clipped,False,161,1.0,1.1589676648933696,0.0,1.0,True,False,18.50180233787784,0.0,1.4509449712104228,0.01140759326517582,75.04360628873364,-1.0,0.0,-13.603926271478446,0.7453416149068323,-0.7555604571606044,0.03502814285457134,-160.69948588549732,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-measurement-episode-0005,m3082-fresh-panel-0005,m3082_fresh_robustness_panel,collision_lateral_intrusion,collision_preservation,fresh_obstacle_lateral_intrusion,fresh_obstacle_lateral_offsets_and_reveal_timing,True,m3080-measurement-episode-0005,301504,speed_too_low_noncollision_noncompletion,False,False,True,m3080-measurement-episode-0005,5,m3012-executable-workload-0011,m3009-workload-contract-0011,m3009-source-resolution-0006,m3009-profile-binding-0001,m3012-executable-source-spec-0006,m3006-src-0005,route_a_candidate_m2655_mitigation_preserving,route_a_candidate_m2655_mitigation_preserving+m3078_deterministic_safety_reflex_fresh_collision_lateral_intrusion,candidate,T5,t5_near_boundary_warmup|curved_boundary_obstacle_variant,decision_minus_36,active_safety_driver_v1;T5;candidate;collision_lateral_intrusion;fresh_obstacle_lateral_offsets_and_reveal_timing;t5_near_boundary_warmup,401520,m3078_deterministic_safety_reflex_fresh,76,False,True,True,False,True,,success_obstacle_pass,6.763700964153611,1.725272935483941,5.038428028669671,0.0,0.4864044075947533,0.6573693105613038,0.0343773253262043,0.0,,0.0,False,False,66.62985307653071,9.351218168183674,direct_action_clipped,False,76,1.0,1.0996073390308179,0.0,1.0,False,False,15.885653261348914,0.0,1.9874022559560989,0.010979214683175087,21.540173160249864,1.0,0.0,-10.847225232679243,0.0,-1.330032945394795,0.023398110643029213,45.08967991628084,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-measurement-episode-0006,m3082-fresh-panel-0006,m3082_fresh_robustness_panel,collision_lateral_intrusion,collision_preservation,fresh_obstacle_lateral_intrusion,fresh_obstacle_lateral_offsets_and_reveal_timing,True,m3080-measurement-episode-0006,301505,success_obstacle_pass,False,False,True,m3080-measurement-episode-0006,6,m3012-executable-workload-0012,m3009-workload-contract-0012,m3009-source-resolution-0006,m3009-profile-binding-0002,m3012-executable-source-spec-0006,m3006-src-0005,route_a_parent_l3_online_gru,route_a_parent_l3_online_gru+m3078_deterministic_safety_reflex_fresh_collision_lateral_intrusion,parent,T5,t5_near_boundary_warmup|curved_boundary_obstacle_variant,decision_minus_36,active_safety_driver_v1;T5;parent;collision_lateral_intrusion;fresh_obstacle_lateral_offsets_and_reveal_timing;t5_near_boundary_warmup,401521,m3078_deterministic_safety_reflex_fresh,161,True,False,False,False,False,speed_too_low,speed_too_low_noncollision_noncompletion,17.345467602307323,1.924223323001689,15.421244279305634,0.0,0.2718579566188273,1.4782205656659955,0.03020496293902397,0.0,,0.0,False,False,39.81166123571742,5.558268298687177,direct_action_clipped,False,161,1.0,1.0640808454951884,0.0,1.0,True,False,13.139502225640612,0.0,1.685897913408106,0.023500550538301468,69.25374131245725,-1.0,0.0,2.281742053665022,0.0,-0.20767734774211055,0.006704412400722504,-29.442080076739828,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-measurement-episode-0007,m3082-fresh-panel-0007,m3082_fresh_robustness_panel,collision_lateral_intrusion,collision_preservation,fresh_obstacle_lateral_intrusion,fresh_obstacle_lateral_offsets_and_reveal_timing,True,m3080-measurement-episode-0007,301506,off_track_noncollision_noncompletion,False,False,True,m3080-measurement-episode-0007,7,m3012-executable-workload-0015,m3009-workload-contract-0015,m3009-source-resolution-0008,m3009-profile-binding-0001,m3012-executable-source-spec-0008,m3006-src-0007,route_a_candidate_m2655_mitigation_preserving,route_a_candidate_m2655_mitigation_preserving+m3078_deterministic_safety_reflex_fresh_collision_lateral_intrusion,candidate,T5,t5_high_speed_close_obstacle|boundary_retarget_variant,reveal_plus_6,active_safety_driver_v1;T5;candidate;collision_lateral_intrusion;fresh_obstacle_lateral_offsets_and_reveal_timing;t5_high_speed_close_obstacle,401530,m3078_deterministic_safety_reflex_fresh,30,True,False,False,True,False,obstacle_collision,collision_failure,2.0297632787827764,2.1481494302468245,-0.11838615146404807,0.0,0.23590715026630332,0.6611992796393453,0.06353688985109329,0.0,,0.0,False,False,10.640602314956876,17.178415515502873,direct_action_clipped,False,30,1.0,1.1919069012006125,0.0,1.0,False,False,8.801340218185194,0.5272727272727272,2.091335390077762,0.030892264097929,-127.31973123128293,0.0,1.0,-8.919726369649242,-0.5272727272727272,-1.4301361104384167,0.03264462575316429,137.9603335462398,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-measurement-episode-0008,m3082-fresh-panel-0008,m3082_fresh_robustness_panel,collision_lateral_intrusion,collision_preservation,fresh_obstacle_lateral_intrusion,fresh_obstacle_lateral_offsets_and_reveal_timing,True,m3080-measurement-episode-0008,301507,speed_too_low_noncollision_noncompletion,False,False,True,m3080-measurement-episode-0008,8,m3012-executable-workload-0016,m3009-workload-contract-0016,m3009-source-resolution-0008,m3009-profile-binding-0002,m3012-executable-source-spec-0008,m3006-src-0007,route_a_parent_l3_online_gru,route_a_parent_l3_online_gru+m3078_deterministic_safety_reflex_fresh_collision_lateral_intrusion,parent,T5,t5_high_speed_close_obstacle|boundary_retarget_variant,reveal_plus_6,active_safety_driver_v1;T5;parent;collision_lateral_intrusion;fresh_obstacle_lateral_offsets_and_reveal_timing;t5_high_speed_close_obstacle,401531,m3078_deterministic_safety_reflex_fresh,75,False,True,True,False,True,,success_obstacle_pass,7.180432198791387,2.019411121984637,5.161021076806749,0.0,0.2923870969241239,1.790838997525686,0.01677710749208927,0.0,,0.0,False,False,55.25755555069974,12.256993782099158,direct_action_clipped,False,75,1.0,1.1352514012654622,0.0,1.0,False,False,3.478330119825529,0.6461538461538462,0.81836880669956,0.0703062117099762,-7.179098507948773,1.0,0.0,1.68269095698122,-0.6461538461538462,0.972470190826126,-0.053529104217886925,62.436654058648514,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-measurement-episode-0009,m3082-fresh-panel-0009,m3082_fresh_robustness_panel,collision_lateral_intrusion,collision_preservation,fresh_obstacle_lateral_intrusion,fresh_obstacle_lateral_offsets_and_reveal_timing,True,m3080-measurement-episode-0009,301508,success_obstacle_pass,False,False,True,m3080-measurement-episode-0009,9,m3012-executable-workload-0019,m3009-workload-contract-0019,m3009-source-resolution-0010,m3009-profile-binding-0001,m3012-executable-source-spec-0010,m3006-src-0009,route_a_candidate_m2655_mitigation_preserving,route_a_candidate_m2655_mitigation_preserving+m3078_deterministic_safety_reflex_fresh_collision_lateral_intrusion,candidate,T5,ood_mass_shift_proxy|late_reveal_boundary,decision_minus_44,active_safety_driver_v1;T5;candidate;collision_lateral_intrusion;fresh_obstacle_lateral_offsets_and_reveal_timing;t5_high_speed_close_obstacle,401540,m3078_deterministic_safety_reflex_fresh,50,False,True,True,False,True,,success_obstacle_pass,2.4728607770239597,2.2293709151783014,0.24348986184565824,0.0,0.5153809063078437,1.2214873050641515,0.0635756328701973,0.0,,0.0,False,False,44.303784950889906,13.141235021347557,direct_action_clipped,False,50,1.0,1.3356693506240844,0.0,1.0,True,False,8.078056468858003,0.0,1.232543799913485,0.030379189178347588,74.13392875873461,0.0,0.0,-7.834566607012345,0.0,-0.011056494849333465,0.03319644369184971,-29.830143807844706,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
m3084-measurement-episode-0010,m3082-fresh-panel-0010,m3082_fresh_robustness_panel,collision_lateral_intrusion,collision_preservation,fresh_obstacle_lateral_intrusion,fresh_obstacle_lateral_offsets_and_reveal_timing,True,m3080-measurement-episode-0010,301509,speed_too_low_noncollision_noncompletion,False,False,True,m3080-measurement-episode-0010,10,m3012-executable-workload-0020,m3009-workload-contract-0020,m3009-source-resolution-0010,m3009-profile-binding-0002,m3012-executable-source-spec-0010,m3006-src-0009,route_a_parent_l3_online_gru,route_a_parent_l3_online_gru+m3078_deterministic_safety_reflex_fresh_collision_lateral_intrusion,parent,T5,ood_mass_shift_proxy|late_reveal_boundary,decision_minus_44,active_safety_driver_v1;T5;parent;collision_lateral_intrusion;fresh_obstacle_lateral_offsets_and_reveal_timing;t5_high_speed_close_obstacle,401541,m3078_deterministic_safety_reflex_fresh,38,True,False,False,True,False,obstacle_collision,collision_failure,1.4212044742942098,1.6974383866499765,-0.27623391235576666,0.6578947368421053,0.2901417620879542,1.7304546266481897,0.03117871843278408,0.0,,0.0,False,False,12.050498978551833,16.851451018982797,direct_action_clipped,False,38,1.0,1.3098901039675663,0.0,1.0,False,False,26.5876779507852,0.0,1.932204681907839,0.015316156670451164,-16.591115961513125,0.0,1.0,-26.863911863140967,0.6578947368421053,-0.20175005525964917,0.015862561762332916,28.641614940064958,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M3084 Active Safety Driver v1 actor-visible deterministic direct-action safety-reflex fresh robustness measurement preflight only; fresh current-sim measurement rows and metric tables may be recorded for the M3078 deterministic direct-action safety-reflex candidate on the M3082 fresh panel. The candidate is executed as final_action = actor_visible_safety_reflex_action(obs72). No runtime base policy, hidden oracle, TTC, target, provenance, source, route, outcome, progress, or verdict actor input is used. No validation result, driver-performance verdict, current-sim verdict, ranking, winner selection, checkpoint promotion, checkpoint mutation, repair success, high-fidelity validation, paper evidence, finite-window-vs-GRU, full ideal driver, or self-ID claim is made"
