profile_name,normalized_surface_variant,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
L0_current_masked,post_friction_step,outcome_by_profile_normalized_surface,candidate_support,36,5,4,27,27,0.1388888888888889,0.1111111111111111,0.75,0.75,22.40931577501288,8.456003811728799,23.416666666666668,True,5,4,27,27,4,5
L0_current_masked,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,15.249306342108802,7.29257180734715,18.25,True,0,0,8,8,0,0
L0_current_masked,steady_surface,outcome_by_profile_normalized_surface,weak_support,36,1,9,26,26,0.027777777777777776,0.25,0.7222222222222222,0.7222222222222222,19.602607791831442,2.347901810545398,19.5,True,1,9,26,26,9,1
L1_one_step,post_friction_step,outcome_by_profile_normalized_surface,comparison_ready_candidate_without_profile_diversity_check,36,6,5,25,25,0.16666666666666666,0.1388888888888889,0.6944444444444444,0.6944444444444444,22.492944712884906,8.887186009894009,23.694444444444443,True,6,5,25,25,5,6
L1_one_step,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,14.989338762322582,8.405146630999527,18.625,True,0,0,8,8,0,0
L1_one_step,steady_surface,outcome_by_profile_normalized_surface,comparison_ready_candidate_without_profile_diversity_check,36,5,7,24,24,0.1388888888888889,0.19444444444444445,0.6666666666666666,0.6666666666666666,19.63329100938969,6.203505642072475,20.02777777777778,True,5,7,24,24,7,5
L2_window_100,post_friction_step,outcome_by_profile_normalized_surface,no_support,36,0,3,33,34,0.0,0.08333333333333333,0.9166666666666666,0.9444444444444444,24.14421639802005,2.5639801358165935,19.416666666666668,True,0,3,33,34,2,0
L2_window_100,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,15.960913505295713,4.847705331048295,16.875,True,0,0,8,8,0,0
L2_window_100,steady_surface,outcome_by_profile_normalized_surface,no_support,36,0,8,28,32,0.0,0.2222222222222222,0.7777777777777778,0.8888888888888888,20.75200119894252,-0.5920950749504522,17.11111111111111,True,0,8,28,32,4,0
L2_window_100_current_tiled,post_friction_step,outcome_by_profile_normalized_surface,no_support,36,0,5,31,35,0.0,0.1388888888888889,0.8611111111111112,0.9722222222222222,23.949930771183645,1.7453065758450381,19.583333333333332,True,0,5,31,35,1,0
L2_window_100_current_tiled,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,16.347516353071093,3.6342641181834834,16.375,True,0,0,8,8,0,0
L2_window_100_current_tiled,steady_surface,outcome_by_profile_normalized_surface,no_support,36,0,8,28,32,0.0,0.2222222222222222,0.7777777777777778,0.8888888888888888,20.996780405272517,-0.5644761480231926,16.77777777777778,True,0,8,28,32,4,0
L2_window_13,post_friction_step,outcome_by_profile_normalized_surface,no_support,36,0,2,34,35,0.0,0.05555555555555555,0.9444444444444444,0.9722222222222222,24.215301591508368,2.7571978206533476,19.305555555555557,True,0,2,34,35,1,0
L2_window_13,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,16.505397976421925,4.315548265637756,16.25,True,0,0,8,8,0,0
L2_window_13,steady_surface,outcome_by_profile_normalized_surface,no_support,36,0,10,26,31,0.0,0.2777777777777778,0.7222222222222222,0.8611111111111112,20.918526078309046,-2.5001589494784704,16.916666666666668,True,0,10,26,31,5,0
