repair_source_kind,source_role_semantics,normalized_surface_variant,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
anchor_neighborhood,stable_aeb,post_friction_step,outcome_by_source_kind_role_surface,no_support,192,0,0,192,192,0.0,0.0,1.0,1.0,42.36284251418784,5.044226955553718,16.911458333333332,True,0,0,192,192,0,0
anchor_neighborhood,stable_aeb,steady_surface,outcome_by_source_kind_role_surface,no_support,192,0,0,192,192,0.0,0.0,1.0,1.0,42.359965422042286,4.927001274520427,16.90625,True,0,0,192,192,0,0
mitigation_isolation_check,drift_required_recovery,steady_surface,outcome_by_source_kind_role_surface,weak_support,36,2,16,18,24,0.05555555555555555,0.4444444444444444,0.5,0.6666666666666666,0.4653923523430676,0.08773835811137255,23.25,True,2,16,18,24,10,2
mitigation_isolation_check,stable_aeb,post_friction_step,outcome_by_source_kind_role_surface,weak_support,48,3,7,38,38,0.0625,0.14583333333333334,0.7916666666666666,0.7916666666666666,3.1990328757550093,3.092710284798988,22.1875,True,3,7,38,38,7,3
mitigation_isolation_check,unavoidable_mitigation,post_friction_step,outcome_by_source_kind_role_surface,weak_support,48,3,28,17,26,0.0625,0.5833333333333334,0.3541666666666667,0.5416666666666666,0.19009105138383997,-0.6120483914795539,24.020833333333332,True,3,28,17,26,19,3
mitigation_isolation_check,unavoidable_mitigation,steady_surface,outcome_by_source_kind_role_surface,candidate_support,60,5,55,0,15,0.08333333333333333,0.9166666666666666,0.0,0.25,-0.3882238774330592,-11.13225656980278,14.45,True,5,55,0,15,40,5
offtrack_boundary_relief,stable_aes_only,relief_surface_unspecified,outcome_by_source_kind_role_surface,no_support,96,0,0,96,96,0.0,0.0,1.0,1.0,15.913421447138626,5.534618085308455,17.03125,True,0,0,96,96,0,0
success_stabilizer,drift_required_recovery,post_friction_step,outcome_by_source_kind_role_surface,weak_support,48,4,8,36,38,0.08333333333333333,0.16666666666666666,0.75,0.7916666666666666,3.536998659220968,6.084053098970439,24.354166666666668,True,4,8,36,38,6,4
success_stabilizer,drift_required_recovery,steady_surface,outcome_by_source_kind_role_surface,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,5.188134526252081,2.399037348950946,16.791666666666668,True,0,0,24,24,0,0
success_stabilizer,stable_aeb,post_friction_step,outcome_by_source_kind_role_surface,weak_support,48,3,0,45,45,0.0625,0.0,0.9375,0.9375,33.16760941866134,6.242915715084521,23.416666666666668,True,3,0,45,45,0,3
success_stabilizer,stable_aeb,steady_surface,outcome_by_source_kind_role_surface,weak_support,48,2,0,46,46,0.041666666666666664,0.0,0.9583333333333334,0.9583333333333334,9.101402958020108,7.890734784663098,24.145833333333332,True,2,0,46,46,0,2
success_stabilizer,stable_aes_only,post_friction_step,outcome_by_source_kind_role_surface,weak_support,36,7,0,29,29,0.19444444444444445,0.0,0.8055555555555556,0.8055555555555556,3.7666835489971695,10.994462636120812,24.36111111111111,True,7,0,29,29,0,7
success_stabilizer,stable_aes_only,steady_surface,outcome_by_source_kind_role_surface,weak_support,36,4,0,32,32,0.1111111111111111,0.0,0.8888888888888888,0.8888888888888888,3.9502956983625555,6.081248477458011,19.444444444444443,True,4,0,32,32,0,4
success_stabilizer,unavoidable_mitigation,post_friction_step,outcome_by_source_kind_role_surface,weak_support,12,1,8,3,4,0.08333333333333333,0.6666666666666666,0.25,0.3333333333333333,-0.013755625771051957,-0.8988803585777781,23.666666666666668,True,1,8,3,4,7,1
success_stabilizer,unavoidable_mitigation,steady_surface,outcome_by_source_kind_role_surface,weak_support,36,4,28,4,12,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.3333333333333333,-0.22675787789862756,-8.919238220336476,14.61111111111111,True,4,28,4,12,20,4
