pair_id,role_family,dynamics_axis,stress_family,seed_index,seed,source_execution_row_id,candidate_execution_row_id,source_checkpoint,candidate_checkpoint,source_checkpoint_hash,candidate_checkpoint_hash,source_steps_executed,candidate_steps_executed,candidate_minus_source_minimum_obstacle_clearance_m,candidate_minus_source_minimum_road_margin_m,candidate_minus_source_final_road_margin_m,candidate_minus_source_final_speed_mps,candidate_minus_source_max_abs_yaw_rate,candidate_minus_source_max_abs_y,candidate_minus_source_throttle_brake_conflict_proxy,candidate_minus_source_mean_throttle,candidate_minus_source_mean_brake,candidate_minus_source_mean_action_l1,candidate_minus_source_command_response_proxy,mean_action_delta_l1,paired_row_complete,finite_delta,diagnostic_only,ranking_admissible,winner_selected,success_rate_verdict_computed,claim_scope,forbidden_interpretation
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266100,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,0,266100,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266100_source,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266100_candidate,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m2782_engineering_controller_route_a_source_only_belief_stress_short_training_continuation_preflight/checkpoints/m2782_belief_stress_short_training_candidate.pt,e6ecf4bc3f273ea8f7bd4149c068708a86c0969a982cac602635339639938b87,96944838f1075e6ce6d463f336056f1d81799d7ac69d419ca3a9644582cc0ae8,80,80,-0.0008335666333039171,0.002083437953230849,0.002083437953230849,-0.0013218467820022006,0.0,-0.0020779272061157705,0.0,0.0,0.0,0.00028955861926083237,0.0005739459623690379,0.0002895476917425717,True,True,True,False,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266101,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,1,266101,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266101_source,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266101_candidate,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m2782_engineering_controller_route_a_source_only_belief_stress_short_training_continuation_preflight/checkpoints/m2782_belief_stress_short_training_candidate.pt,e6ecf4bc3f273ea8f7bd4149c068708a86c0969a982cac602635339639938b87,96944838f1075e6ce6d463f336056f1d81799d7ac69d419ca3a9644582cc0ae8,80,80,-0.0024732030188818754,0.002799292376616691,0.002799292376616691,-0.002487694333920043,-0.0007392002985947554,-0.002793530146424139,0.0,0.0,0.0,0.0003302335739135964,0.0013311228090842064,0.0003302291035652087,True,True,True,False,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266102,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,2,266102,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266102_source,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266102_candidate,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m2782_engineering_controller_route_a_source_only_belief_stress_short_training_continuation_preflight/checkpoints/m2782_belief_stress_short_training_candidate.pt,e6ecf4bc3f273ea8f7bd4149c068708a86c0969a982cac602635339639938b87,96944838f1075e6ce6d463f336056f1d81799d7ac69d419ca3a9644582cc0ae8,80,80,-0.0013425728663585268,0.003249139146772606,0.003249139146772606,-0.003082440720457491,-0.00031698941828683935,-0.0032558234739727965,0.0,0.0,0.0,0.0003761976957320501,0.001969604639315392,0.00037620092431704205,True,True,True,False,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266103,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,3,266103,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266103_source,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266103_candidate,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m2782_engineering_controller_route_a_source_only_belief_stress_short_training_continuation_preflight/checkpoints/m2782_belief_stress_short_training_candidate.pt,e6ecf4bc3f273ea8f7bd4149c068708a86c0969a982cac602635339639938b87,96944838f1075e6ce6d463f336056f1d81799d7ac69d419ca3a9644582cc0ae8,80,80,-0.0014981458575991091,0.0025709286681303567,0.0025709286681303567,-0.0023698853544877885,-0.00020167314197250263,-0.0025686264276516546,0.0,0.0,0.0,0.0002871192991733551,0.0014663337488638462,0.00028711631894110895,True,True,True,False,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266100,drift_required_recovery,fresh_fault_delay_noise,previous_command_history_stress,0,266100,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266100_source,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266100_candidate,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m2782_engineering_controller_route_a_source_only_belief_stress_short_training_continuation_preflight/checkpoints/m2782_belief_stress_short_training_candidate.pt,e6ecf4bc3f273ea8f7bd4149c068708a86c0969a982cac602635339639938b87,96944838f1075e6ce6d463f336056f1d81799d7ac69d419ca3a9644582cc0ae8,80,80,-0.0008623153928271066,0.0021866864603676817,0.0021866864603676817,-0.001409296711734065,0.0,-0.0021808342652240853,0.0,0.0,0.0,0.0003035038709641169,0.0006148898202713582,0.0003034989039103486,True,True,True,False,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266101,drift_required_recovery,fresh_fault_delay_noise,previous_command_history_stress,1,266101,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266101_source,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266101_candidate,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m2782_engineering_controller_route_a_source_only_belief_stress_short_training_continuation_preflight/checkpoints/m2782_belief_stress_short_training_candidate.pt,e6ecf4bc3f273ea8f7bd4149c068708a86c0969a982cac602635339639938b87,96944838f1075e6ce6d463f336056f1d81799d7ac69d419ca3a9644582cc0ae8,80,80,-0.0024192305769750178,0.002849010646562178,0.002849010646562178,-0.002536526997549249,-0.0007436840916368315,-0.002843107505562159,0.0,0.0,0.0,0.00033949092030516326,0.0013622252583749273,0.0003394899268944762,True,True,True,False,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266102,drift_required_recovery,fresh_fault_delay_noise,previous_command_history_stress,2,266102,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266102_source,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266102_candidate,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m2782_engineering_controller_route_a_source_only_belief_stress_short_training_continuation_preflight/checkpoints/m2782_belief_stress_short_training_candidate.pt,e6ecf4bc3f273ea8f7bd4149c068708a86c0969a982cac602635339639938b87,96944838f1075e6ce6d463f336056f1d81799d7ac69d419ca3a9644582cc0ae8,80,80,-0.0012794408592631257,0.00331306948402732,0.00331306948402732,-0.0031213027088101697,-0.00028036734827419085,-0.0033198269576715234,0.0,0.0,0.0,0.0003811955451965554,0.0019976605304803385,0.0003811888396740108,True,True,True,False,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266103,drift_required_recovery,fresh_fault_delay_noise,previous_command_history_stress,3,266103,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266103_source,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266103_candidate,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m2782_engineering_controller_route_a_source_only_belief_stress_short_training_continuation_preflight/checkpoints/m2782_belief_stress_short_training_candidate.pt,e6ecf4bc3f273ea8f7bd4149c068708a86c0969a982cac602635339639938b87,96944838f1075e6ce6d463f336056f1d81799d7ac69d419ca3a9644582cc0ae8,80,80,-0.001489979019170029,0.002671212343706042,0.002671212343706042,-0.002425206084151199,-0.0001401911394528499,-0.0026687771933544546,0.0,0.0,0.0,0.0002948269248008728,0.0015045342162380848,0.00029482493797935067,True,True,True,False,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_recurrent_hidden_reset_stress_seed_266100,drift_required_recovery,fresh_fault_delay_noise,recurrent_hidden_reset_stress,0,266100,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_recurrent_hidden_reset_stress_seed_266100_source,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_recurrent_hidden_reset_stress_seed_266100_candidate,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m2782_engineering_controller_route_a_source_only_belief_stress_short_training_continuation_preflight/checkpoints/m2782_belief_stress_short_training_candidate.pt,e6ecf4bc3f273ea8f7bd4149c068708a86c0969a982cac602635339639938b87,96944838f1075e6ce6d463f336056f1d81799d7ac69d419ca3a9644582cc0ae8,80,80,-0.0008623153928271066,0.0021866864603676817,0.0021866864603676817,-0.001409296711734065,0.0,-0.0021808342652240853,0.0,0.0,0.0,0.0003035038709641169,0.0006148898202713582,0.0003034989039103486,True,True,True,False,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_recurrent_hidden_reset_stress_seed_266101,drift_required_recovery,fresh_fault_delay_noise,recurrent_hidden_reset_stress,1,266101,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_recurrent_hidden_reset_stress_seed_266101_source,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_recurrent_hidden_reset_stress_seed_266101_candidate,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m2782_engineering_controller_route_a_source_only_belief_stress_short_training_continuation_preflight/checkpoints/m2782_belief_stress_short_training_candidate.pt,e6ecf4bc3f273ea8f7bd4149c068708a86c0969a982cac602635339639938b87,96944838f1075e6ce6d463f336056f1d81799d7ac69d419ca3a9644582cc0ae8,80,80,-0.0024192305769750178,0.002849010646562178,0.002849010646562178,-0.002536526997549249,-0.0007436840916368315,-0.002843107505562159,0.0,0.0,0.0,0.00033949092030516326,0.0013622252583749273,0.0003394899268944762,True,True,True,False,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
