pair_id,execution_row_id,checkpoint_subject,checkpoint_path,checkpoint_hash,model_state_hash,role_family,dynamics_axis,stress_family,seed_index,seed,source_curriculum_row_id,fixture_id,stress_preparation,warmup_step_count,horizon_steps,steps_executed,observation_shape,action_shape,reset_run,policy_action_run,backend_step_run,closed_loop_rollout_run,finite_observation,finite_action,action_within_bounds,backend_terminated,backend_truncated,backend_status,minimum_obstacle_clearance_m,minimum_road_margin_m,final_road_margin_m,collision_diagnostic,road_departure_diagnostic,final_speed_mps,max_abs_yaw_rate,max_abs_y,mean_throttle,mean_brake,throttle_brake_conflict_proxy,max_abs_steer,mean_abs_steer,mean_action_l1,command_response_proxy,actor_visible_label,hidden_or_oracle_actor_inputs_required,ordinary_denominator_allowed,mitigation_reference,diagnostic_only,ranking_admissible,winner_selected,claim_scope,forbidden_interpretation
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266100,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266100_source,source,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,e6ecf4bc3f273ea8f7bd4149c068708a86c0969a982cac602635339639938b87,de902e8fe83a0904c8c59fcf1ef60e264e1cfaf9524ef1934e629a594da8379c,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,0,266100,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_fault_delay_noise,one_warmup_step_held_actuator_history,1,80,80,72,3,True,True,True,True,True,True,True,False,False,running,5.045871976431642,-0.7821222673866348,-0.7821222673866348,False,True,2.2068882186733227,0.4005045176133665,3.166981874311705,0.0,1.0,0.0,0.9763874411582947,0.9324505157768727,0.9774835005402565,5.190395975088815,False,False,True,False,True,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266100,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266100_candidate,candidate,runs/m2782_engineering_controller_route_a_source_only_belief_stress_short_training_continuation_preflight/checkpoints/m2782_belief_stress_short_training_candidate.pt,96944838f1075e6ce6d463f336056f1d81799d7ac69d419ca3a9644582cc0ae8,38cdca17cf4c3936adb0f545be8714ffe431f8574625419455d2acb4b5d3eeae,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,0,266100,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_fault_delay_noise,one_warmup_step_held_actuator_history,1,80,80,72,3,True,True,True,True,True,True,True,False,False,running,5.045038409798338,-0.780038829433404,-0.780038829433404,False,True,2.2055663718913205,0.4005045176133665,3.1649039471055893,0.0,1.0,0.0,0.9766775369644165,0.9333191588521004,0.9777730591595173,5.190969921051184,False,False,True,False,True,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266101,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266101_source,source,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,e6ecf4bc3f273ea8f7bd4149c068708a86c0969a982cac602635339639938b87,de902e8fe83a0904c8c59fcf1ef60e264e1cfaf9524ef1934e629a594da8379c,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,1,266101,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266101_axis_fault_delay_noise,one_warmup_step_held_actuator_history,1,80,80,72,3,True,True,True,True,True,True,True,False,False,running,2.6893006999284066,-1.8973223028146506,-1.8973223028146506,False,True,3.8412680696425,0.5996079492666309,4.506798749881543,0.0,1.0,0.0,0.976457953453064,0.9143517009913922,0.9714505612850189,4.23627526310668,False,False,True,False,True,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266101,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266101_candidate,candidate,runs/m2782_engineering_controller_route_a_source_only_belief_stress_short_training_continuation_preflight/checkpoints/m2782_belief_stress_short_training_candidate.pt,96944838f1075e6ce6d463f336056f1d81799d7ac69d419ca3a9644582cc0ae8,38cdca17cf4c3936adb0f545be8714ffe431f8574625419455d2acb4b5d3eeae,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,1,266101,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266101_axis_fault_delay_noise,one_warmup_step_held_actuator_history,1,80,80,72,3,True,True,True,True,True,True,True,False,False,running,2.6868274969095247,-1.894523010438034,-1.894523010438034,False,True,3.83878037530858,0.5988687489680361,4.504005219735119,0.0,1.0,0.0,0.9767471551895142,0.9153423883020878,0.9717807948589325,4.237606385915764,False,False,True,False,True,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266102,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266102_source,source,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,e6ecf4bc3f273ea8f7bd4149c068708a86c0969a982cac602635339639938b87,de902e8fe83a0904c8c59fcf1ef60e264e1cfaf9524ef1934e629a594da8379c,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,2,266102,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266102_axis_fault_delay_noise,one_warmup_step_held_actuator_history,1,80,80,72,3,True,True,True,True,True,True,True,False,False,running,3.532446479496652,-1.7732591207183654,-1.7732591207183654,False,True,2.181384840263097,0.6384224382703808,4.270792211781716,0.0,1.0,0.0,0.9764140844345093,0.8961157977581025,0.965371934324503,5.3970695470112435,False,False,True,False,True,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266102,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266102_candidate,candidate,runs/m2782_engineering_controller_route_a_source_only_belief_stress_short_training_continuation_preflight/checkpoints/m2782_belief_stress_short_training_candidate.pt,96944838f1075e6ce6d463f336056f1d81799d7ac69d419ca3a9644582cc0ae8,38cdca17cf4c3936adb0f545be8714ffe431f8574625419455d2acb4b5d3eeae,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,2,266102,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266102_axis_fault_delay_noise,one_warmup_step_held_actuator_history,1,80,80,72,3,True,True,True,True,True,True,True,False,False,running,3.5311039066302934,-1.7700099815715928,-1.7700099815715928,False,True,2.1783023995426394,0.638105448852094,4.267536388307743,0.0,1.0,0.0,0.9767038226127625,0.8972444005310536,0.965748132020235,5.399039151650559,False,False,True,False,True,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266103,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266103_source,source,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,e6ecf4bc3f273ea8f7bd4149c068708a86c0969a982cac602635339639938b87,de902e8fe83a0904c8c59fcf1ef60e264e1cfaf9524ef1934e629a594da8379c,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,3,266103,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266103_axis_fault_delay_noise,one_warmup_step_held_actuator_history,1,80,80,72,3,True,True,True,True,True,True,True,False,False,running,3.1311511565246812,-1.3459454906568715,-1.3459454906568715,False,True,2.7264460453466968,0.5363001669160415,3.858983252172049,0.0,1.0,0.0,0.9765017628669739,0.9197949320077896,0.9732649765908719,4.945927679573195,False,False,True,False,True,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266103,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266103_candidate,candidate,runs/m2782_engineering_controller_route_a_source_only_belief_stress_short_training_continuation_preflight/checkpoints/m2782_belief_stress_short_training_candidate.pt,96944838f1075e6ce6d463f336056f1d81799d7ac69d419ca3a9644582cc0ae8,38cdca17cf4c3936adb0f545be8714ffe431f8574625419455d2acb4b5d3eeae,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,3,266103,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266103_axis_fault_delay_noise,one_warmup_step_held_actuator_history,1,80,80,72,3,True,True,True,True,True,True,True,False,False,running,3.129653010667082,-1.3433745619887412,-1.3433745619887412,False,True,2.724076159992209,0.536098493774069,3.856414625744397,0.0,1.0,0.0,0.9767904281616211,0.9206562809646129,0.9735520958900452,4.947394013322059,False,False,True,False,True,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266100,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266100_source,source,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,e6ecf4bc3f273ea8f7bd4149c068708a86c0969a982cac602635339639938b87,de902e8fe83a0904c8c59fcf1ef60e264e1cfaf9524ef1934e629a594da8379c,drift_required_recovery,fresh_fault_delay_noise,previous_command_history_stress,0,266100,m2779_curriculum_previous_command_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_fault_delay_noise,zero_previous_command_history,0,80,80,72,3,True,True,True,True,True,True,True,False,False,running,5.282833861241711,-0.8140558516340799,-0.8140558516340799,False,True,2.2032869687595897,0.4251705506392599,3.193907919846677,0.0,1.0,0.0,0.9762359857559204,0.9281694859266281,0.9760564908385276,5.141569153118857,False,False,True,False,True,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266100,m2784_pair_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266100_candidate,candidate,runs/m2782_engineering_controller_route_a_source_only_belief_stress_short_training_continuation_preflight/checkpoints/m2782_belief_stress_short_training_candidate.pt,96944838f1075e6ce6d463f336056f1d81799d7ac69d419ca3a9644582cc0ae8,38cdca17cf4c3936adb0f545be8714ffe431f8574625419455d2acb4b5d3eeae,drift_required_recovery,fresh_fault_delay_noise,previous_command_history_stress,0,266100,m2779_curriculum_previous_command_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_fault_delay_noise,zero_previous_command_history,0,80,80,72,3,True,True,True,True,True,True,True,False,False,running,5.281971545848884,-0.8118691651737122,-0.8118691651737122,False,True,2.2018776720478557,0.4251705506392599,3.191727085581453,0.0,1.0,0.0,0.9765278697013855,0.9290799826383591,0.9763599947094918,5.142184042939128,False,False,True,False,True,False,False,Route A source-only paired closed-loop delta diagnostic preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
