slice_kind,slice_id,profile_name,task_source_id,task_family,episode_count,profile_count,spec_count,success_count,collision_count,offtrack_outcome_count,speed_too_low_count,termination_offtrack_count,success_rate,collision_rate,offtrack_outcome_rate,termination_offtrack_rate,dominant_outcome,dominance_share,hidden_dynamics_bucket_present,outcome_dominance_blocked,task_quality_blocked,interpretable_for_history_comparison,reason,claim_boundary
profile,profile_name=L0_current_masked,L0_current_masked,,,72,1,72,2,8,62,0,63,0.027777777777777776,0.1111111111111111,0.8611111111111112,0.875,off_track_noncollision_noncompletion,0.8611111111111112,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=0.8611; offtrack task-quality blocker active; hidden_dynamics_bucket missing,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
profile,profile_name=L1_one_step,L1_one_step,,,72,1,72,0,15,56,1,56,0.0,0.20833333333333334,0.7777777777777778,0.7777777777777778,off_track_noncollision_noncompletion,0.7777777777777778,False,False,True,False,offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
profile,profile_name=L2_window_100,L2_window_100,,,72,1,72,0,1,71,0,71,0.0,0.013888888888888888,0.9861111111111112,0.9861111111111112,off_track_noncollision_noncompletion,0.9861111111111112,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=0.9861; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
profile,profile_name=L2_window_100_current_tiled,L2_window_100_current_tiled,,,72,1,72,0,1,71,0,71,0.0,0.013888888888888888,0.9861111111111112,0.9861111111111112,off_track_noncollision_noncompletion,0.9861111111111112,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=0.9861; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
profile,profile_name=L2_window_13,L2_window_13,,,72,1,72,0,0,72,0,72,0.0,0.0,1.0,1.0,off_track_noncollision_noncompletion,1.0,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=1.0000; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
profile,profile_name=L2_window_13_current_tiled,L2_window_13_current_tiled,,,72,1,72,0,0,72,0,72,0.0,0.0,1.0,1.0,off_track_noncollision_noncompletion,1.0,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=1.0000; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
profile,profile_name=L2_window_25,L2_window_25,,,72,1,72,0,1,71,0,71,0.0,0.013888888888888888,0.9861111111111112,0.9861111111111112,off_track_noncollision_noncompletion,0.9861111111111112,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=0.9861; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
profile,profile_name=L2_window_25_current_tiled,L2_window_25_current_tiled,,,72,1,72,0,2,70,0,70,0.0,0.027777777777777776,0.9722222222222222,0.9722222222222222,off_track_noncollision_noncompletion,0.9722222222222222,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=0.9722; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
profile,profile_name=L2_window_50,L2_window_50,,,72,1,72,0,1,71,0,71,0.0,0.013888888888888888,0.9861111111111112,0.9861111111111112,off_track_noncollision_noncompletion,0.9861111111111112,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=0.9861; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
profile,profile_name=L2_window_50_current_tiled,L2_window_50_current_tiled,,,72,1,72,0,0,72,0,72,0.0,0.0,1.0,1.0,off_track_noncollision_noncompletion,1.0,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=1.0000; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
