task_source_id,episode_count,success_rate,collision_rate,clearance_margin_mean,clearance_margin_p10,return_mean,steps_mean,control_smoothness,spin_or_unstable_rate,failure_rate,all_selected_metrics_finite,recovery_success_rate,recovery_time_proxy_mean,controlled_drift_recovery_success_rate,drift_used_rate,impact_severity_proxy_mean,collision_mitigation_score_mean,max_off_track_overshoot_mean,off_track_severity_proxy_mean,task_family,source_family
m1680-spec-0000,12,0.16666666666666666,0.0,12.813088192585973,1.5686716613583003,26.457101466495697,74.33333333333333,0.002509833653069412,0.0,0.0,True,0.08333333333333333,0.0,0.08333333333333333,0.0,,0.0,0.07425872830802553,0.07425872830802553,T4,capability_step_up
m1680-spec-0002,12,0.0,0.0,13.485193664160123,6.393069046283074,17.757935693206445,74.25,0.00247439601419804,0.0,0.0,True,0.0,,0.0,0.16666666666666666,,0.0,0.09049971820822833,0.09049971820822833,T4,capability_step_down
m1680-spec-0011,12,0.0,0.0,14.266394757669397,4.3328401295452785,18.82985473883841,72.16666666666667,0.002559579093940556,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.07837635388023549,0.07837635388023549,T4,t4_actuator_delay_response
m1680-spec-0012,12,0.08333333333333333,0.08333333333333333,10.523043965222449,0.7696273814764647,21.679617420258353,73.75,0.0024415419466095045,0.0,0.0,True,0.0,,0.0,0.0,11.592567608015077,0.9660473006679231,0.0389830597208262,0.0389830597208262,T4,t4_capability_step_temporal
m1680-spec-0013,12,0.0,0.0,13.953610072746613,2.4788032064693017,23.923737743219476,77.33333333333333,0.002515205313102342,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.06838069583735547,0.06838069583735547,T4,t4_staged_warmup_capability
m1680-spec-0016,12,0.0,0.0,13.870008340757941,6.420062212838318,19.54615671910329,76.5,0.002424593510416647,0.0,0.0,True,0.0,,0.0,0.08333333333333333,,0.0,0.04679640868940579,0.04679640868940579,T4,capability_step_down
m1680-spec-0018,12,0.0,0.0,15.003768168552385,6.202908755144105,21.018005255818917,75.66666666666667,0.0026039503961025425,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.07883528031658098,0.07883528031658098,T4,t4_actuator_delay_response
m1680-spec-0026,12,0.0,0.0,14.672088698771553,7.7947539683973295,17.219599332412347,79.41666666666667,0.0022622676575944447,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.05893479274362375,0.05893479274362375,T4,t4_capability_step_temporal
m1680-spec-0027,12,0.0,0.08333333333333333,15.81988324952252,8.299078808417006,25.508316777430352,85.75,0.0023573933673712113,0.0,0.0,True,0.0,,0.0,0.08333333333333333,6.611538239118029,0.5509615199265024,0.08139077938871726,0.08139077938871726,T4,t4_staged_warmup_capability
m1680-spec-0028,12,0.0,0.0,17.040801242239464,4.91158074122149,12.21983857747174,77.5,0.002573572385396498,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.07050998952270504,0.07050998952270504,T4,capability_step_up
m1680-spec-0041,12,0.08333333333333333,0.0,10.226557956163541,3.7252558529149944,27.679760398488412,73.33333333333333,0.0025058167326884964,0.0,0.0,True,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,,0.0,0.0689514172965368,0.0689514172965368,T5,drive_loss_proxy
m1680-spec-0049,12,0.08333333333333333,0.0,6.157878965316197,0.9528407063421509,22.835476191279124,69.66666666666667,0.002624407682257394,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.060247168260594286,0.060247168260594286,T5,drive_loss_proxy
m1680-spec-0051,12,0.08333333333333333,0.0,6.948124149009023,0.6548539479789581,16.388108672522854,69.58333333333333,0.0026780326976828897,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.07530462642926554,0.07530462642926554,T5,t5_near_boundary_warmup
m1680-spec-0052,12,0.0,0.0,6.501907263244728,1.048704630780334,17.401073975199676,65.75,0.0027287818763094642,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.08906813018502113,0.08906813018502113,T5,t5_near_boundary_warmup
m1680-spec-0059,12,0.0,0.08333333333333333,9.999317925037815,2.7157327502496207,17.595376328497995,73.08333333333333,0.002212365458641822,0.0,0.0,True,0.0,,0.0,0.0,8.315710800351326,0.6929759000292771,0.0726324724532148,0.0726324724532148,T5,t5_boundary_axis_retarget
m1680-spec-0064,12,0.16666666666666666,0.0,8.412859869518476,0.824460543121881,26.560444170123407,66.75,0.0027531723074692613,0.0,0.0,True,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,,0.0,0.05598750029312516,0.05598750029312516,T5,t5_near_boundary_warmup
m1680-spec-0066,12,0.16666666666666666,0.0,7.283775000192102,0.9749373861565871,23.343004976007524,68.41666666666667,0.00263852569332812,0.0,0.0,True,0.08333333333333333,0.0,0.08333333333333333,0.0,,0.0,0.05738506600272301,0.05738506600272301,T5,t5_near_boundary_warmup
m1680-spec-0068,12,0.08333333333333333,0.0,7.17953792869933,0.6102468620750088,23.393651957067647,69.83333333333333,0.0024911913642426953,0.0,0.0,True,0.0,,0.0,0.08333333333333333,,0.0,0.07833598493560068,0.07833598493560068,T5,t5_boundary_axis_retarget
