profile_name,episode_count,success_rate,collision_rate,clearance_margin_mean,clearance_margin_p10,return_mean,steps_mean,control_smoothness,spin_or_unstable_rate,failure_rate,all_selected_metrics_finite,recovery_success_rate,recovery_time_proxy_mean,controlled_drift_recovery_success_rate,drift_used_rate,impact_severity_proxy_mean,collision_mitigation_score_mean,max_off_track_overshoot_mean,off_track_severity_proxy_mean
L0_current_masked,72,0.027777777777777776,0.1111111111111111,9.073471107521916,0.01759347913701686,24.601394580650364,86.30555555555556,0.0016271235063969572,0.013888888888888888,0.0,True,0.0,,0.0,0.027777777777777776,8.040674397896664,0.8934082664329629,0.050243349656052545,0.050243349656052545
L1_one_step,72,0.0,0.20833333333333334,7.695805922948712,-0.06763041333136477,24.325177069922972,84.45833333333333,0.0017061596000631754,0.0,0.0,True,0.0,,0.0,0.0,9.877022371609915,2.0577129940853984,0.044072350094097455,0.044072350094097455
L2_window_100,72,0.0,0.013888888888888888,12.893575621206827,4.313045817853873,12.374836288756915,64.18055555555556,0.0028605473182526315,0.0,0.0,True,0.0,,0.0,0.027777777777777776,11.016840862516718,0.15301167864606552,0.07920232390429642,0.07920232390429642
L2_window_100_current_tiled,72,0.0,0.013888888888888888,11.327928085233683,2.4450557504702632,15.052136310714104,63.333333333333336,0.0033612495430538226,0.0,0.0,True,0.0,,0.0,0.06944444444444445,10.796237930558682,0.14994774903553726,0.07733651060301014,0.07733651060301014
L2_window_13,72,0.0,0.0,14.278326636051291,3.6075669826485357,12.914303883760825,64.20833333333333,0.0028576559206056926,0.0,0.0,True,0.0,,0.0,0.013888888888888888,,0.0,0.07512383265020528,0.07512383265020528
L2_window_13_current_tiled,72,0.0,0.0,11.918938902618097,2.7782000641874793,15.109040660249526,63.55555555555556,0.003324071013291056,0.0,0.0,True,0.0,,0.0,0.027777777777777776,,0.0,0.08008090284547596,0.08008090284547596
L2_window_25,72,0.0,0.013888888888888888,11.745515694338357,1.936216263848606,13.54830555560913,64.08333333333333,0.002855165619015073,0.0,0.0,True,0.0,,0.0,0.027777777777777776,11.1796544190955,0.15527297804299306,0.08049473626072753,0.08049473626072753
L2_window_25_current_tiled,72,0.0,0.027777777777777776,12.197780946742453,2.511321198597546,14.96150347982375,63.236111111111114,0.0033687851682770997,0.0,0.0,True,0.0,,0.0,0.027777777777777776,9.785120939941482,0.2718089149983745,0.06942155072532191,0.06942155072532191
L2_window_50,72,0.0,0.013888888888888888,12.287024125101146,2.222441563465361,14.254816698315855,64.33333333333333,0.0028871525428257883,0.0,0.0,True,0.0,,0.0,0.041666666666666664,8.282402682918523,0.11503337059609059,0.08147453826337817,0.08147453826337817
L2_window_50_current_tiled,72,0.0,0.0,11.101247484789868,2.559789603653244,14.321635250247466,65.38888888888889,0.003307716898335558,0.0,0.0,True,0.0,,0.0,0.08333333333333333,,0.0,0.0784335717229418,0.0784335717229418
L3_online_gru,72,0.19444444444444445,0.05555555555555555,6.995386889319503,0.7666395053030157,49.69029831200321,90.75,0.0013536142853101613,0.0,0.0,True,0.06944444444444445,0.0,0.06944444444444445,0.09722222222222222,11.92678479260477,0.6625991551447095,0.03979747014401304,0.03979747014401304
L3_reset_control_corrected,72,0.2638888888888889,0.027777777777777776,7.551164401036271,0.7233878708705318,47.94759509119743,91.375,0.0008231017572042118,0.0,0.0,True,0.08333333333333333,0.0,0.08333333333333333,0.05555555555555555,11.944277920182628,0.33178549778285077,0.043349853150342704,0.043349853150342704
