task_source_id,episode_count,success_rate,collision_rate,clearance_margin_mean,clearance_margin_p10,return_mean,steps_mean,control_smoothness,spin_or_unstable_rate,failure_rate,all_selected_metrics_finite,recovery_success_rate,recovery_time_proxy_mean,controlled_drift_recovery_success_rate,drift_used_rate,impact_severity_proxy_mean,collision_mitigation_score_mean,max_off_track_overshoot_mean,off_track_severity_proxy_mean,task_family,source_family
m1680-spec-0000,12,0.08333333333333333,0.0,9.20068816761047,2.0623793001803827,22.912074316903485,78.33333333333333,0.0023048817771874988,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.04018714277535107,0.04018714277535107,T4,capability_step_up
m1680-spec-0001,12,0.0,0.0,12.278947857559388,5.302416579345309,20.914738329116243,76.58333333333333,0.0022635715043482683,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.0567276638017414,0.0567276638017414,T4,actuator_delay_step
m1680-spec-0002,12,0.08333333333333333,0.0,13.368672981889175,5.397841644010235,32.18237900313632,82.33333333333333,0.002516902871623946,0.0,0.0,True,0.0,,0.0,0.16666666666666666,,0.0,0.05328439152646336,0.05328439152646336,T4,capability_step_down
m1680-spec-0003,12,0.0,0.0,18.823484126487102,12.66431697496489,23.377137600925987,73.75,0.002570903544741062,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.0847546167712719,0.0847546167712719,T4,t4_actuator_delay_response
m1680-spec-0004,12,0.0,0.0,14.16684677719175,4.334879769706227,18.811816775383814,74.5,0.0024257535551441833,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.060005213726627225,0.060005213726627225,T4,t4_actuator_delay_response
m1680-spec-0005,12,0.0,0.0,12.446583157647568,3.2088296315784652,14.731117290212053,73.58333333333333,0.002318447717698291,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.07673688576070219,0.07673688576070219,T4,t4_capability_step_temporal
m1680-spec-0006,12,0.0,0.0,17.194896356908906,6.536922834514856,23.145612076955445,78.58333333333333,0.0024993593542603776,0.0,0.0,True,0.0,,0.0,0.16666666666666666,,0.0,0.07181047454567135,0.07181047454567135,T4,t4_staged_warmup_capability
m1680-spec-0007,12,0.0,0.0,16.050386234538568,8.30224154530731,21.108758553469382,77.66666666666667,0.0024545404933936275,0.0,0.0,True,0.0,,0.0,0.08333333333333333,,0.0,0.07109221203770133,0.07109221203770133,T4,capability_step_up
m1680-spec-0008,12,0.0,0.08333333333333333,14.463350869531794,4.706502085321155,14.887484533418094,72.91666666666667,0.00237867154161601,0.0,0.0,True,0.0,,0.0,0.0,12.743585374530984,1.061965447877582,0.0714953829978473,0.0714953829978473,T4,actuator_delay_step
m1680-spec-0009,12,0.0,0.08333333333333333,15.006554173100051,7.062906932131249,25.826544581071847,72.58333333333333,0.002611113760697966,0.0,0.0,True,0.0,,0.0,0.08333333333333333,11.51835071701147,0.9598625597509559,0.07212863774829674,0.07212863774829674,T4,capability_step_down
m1680-spec-0010,12,0.0,0.08333333333333333,11.49707594005771,3.1438077858038063,23.301796560014196,75.08333333333333,0.002394206734606996,0.0,0.0,True,0.0,,0.0,0.0,6.53900271964345,0.5449168933036208,0.06857593865181144,0.06857593865181144,T4,t4_actuator_delay_response
m1680-spec-0011,12,0.08333333333333333,0.0,13.278912209178385,4.2413576253105925,25.19864195371049,73.91666666666667,0.0024284396931761876,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.07695197384344461,0.07695197384344461,T4,t4_actuator_delay_response
m1680-spec-0012,12,0.0,0.08333333333333333,11.175996046465897,2.423867495805744,25.663415098452408,74.66666666666667,0.0025494187963583195,0.0,0.0,True,0.0,,0.0,0.16666666666666666,8.417810565005526,0.7014842137504606,0.053329462351909385,0.053329462351909385,T4,t4_capability_step_temporal
m1680-spec-0013,12,0.08333333333333333,0.0,14.226044904528722,4.1845994213689925,22.158066267649215,72.33333333333333,0.0025923093538343287,0.0,0.0,True,0.08333333333333333,0.0,0.08333333333333333,0.0,,0.0,0.06595699801538935,0.06595699801538935,T4,t4_staged_warmup_capability
m1680-spec-0014,12,0.0,0.0,15.630048671597494,6.463222172779827,16.631036665827015,75.75,0.0026643021459070346,0.0,0.0,True,0.0,,0.0,0.25,,0.0,0.0636352844585349,0.0636352844585349,T4,capability_step_up
