policy,initial_mu_bucket,episodes,return_mean,success_rate,termination_rate,lateral_rmse_mean,lateral_peak_mean,beta_abs_error_mean,beta_abs_peak_mean,high_sideslip_fraction_mean,speed_mean,action_rate_mean,collision_rate,obstacle_completion_rate,min_obstacle_clearance_mean,plan_horizon_mean,plan_action_rate_mean,mu_min,mu_max,obstacle_collision_radius_mean,min_clearance_margin_mean,min_clearance_margin_min
heuristic,low,34,56.89499585627432,0.35294117647058826,0.6470588235294118,0.624000341901986,1.2655164960291732,0.16518143123174842,0.036730673620521605,0.0,13.488464970939877,0.007485656091696857,0.6470588235294118,0.35294117647058826,1.9796065420229563,1.0,,0.3080938175562572,1.1395938985083103,1.6675000600209435,0.3121064820020127,-0.27208163635123017
heuristic,medium,46,27.742539389238164,0.1956521739130435,0.8043478260869565,0.473595022192441,0.7844242468511119,0.16997019190210874,0.03319443978047164,0.0,13.775619616045239,0.00842652728770981,0.8043478260869565,0.1956521739130435,1.7394723710428066,1.0,,0.30950102375816546,1.1379160532600887,1.7140131686702034,0.025459202372603018,-0.30970103790938364
m290x64_a500,low,34,77.01859936180223,0.9705882352941176,0.029411764705882353,1.362175829410531,3.053844353362621,0.16917773849061843,0.1074292109815927,0.021088420132859848,11.724395114975643,0.019100793541463858,0.029411764705882353,0.9705882352941176,4.384270866754785,1.0,,0.3080938175562572,1.1395938985083103,1.6675000600209435,2.7167708067338423,-0.042528704432458486
m290x64_a500,medium,46,57.76628273641386,0.782608695652174,0.21739130434782608,0.8738655845846545,1.8913976821181244,0.1533818488395449,0.07239231412063762,0.001976284584980237,12.602445361092046,0.023214237116601154,0.21739130434782608,0.782608695652174,2.8991832824612813,1.0,,0.30950102375816546,1.1379160532600887,1.7140131686702034,1.1851701137910777,-0.1469953521403926
m298pref_a020,low,34,77.00560708563455,0.9705882352941176,0.029411764705882353,1.36178326279059,3.052752471010105,0.16917572968074907,0.10744606549593934,0.021088420132859848,11.726638401723497,0.01912766066379845,0.029411764705882353,0.9705882352941176,4.383865727120276,1.0,,0.3080938175562572,1.1395938985083103,1.6675000600209435,2.7163656670993324,-0.042680447805624855
m298pref_a020,medium,46,57.77516521093189,0.782608695652174,0.21739130434782608,0.8739958995025066,1.8917494687326657,0.1533680913766001,0.0725026676647468,0.001976284584980237,12.604041409285168,0.023249092552325,0.21739130434782608,0.782608695652174,2.898965184058066,1.0,,0.30950102375816546,1.1379160532600887,1.7140131686702034,1.184952015387863,-0.14766060024390537
m298pref_a020_reset,low,34,73.15086108364696,0.9117647058823529,0.08823529411764706,1.4678765550712305,3.2751594269446573,0.1518904891434786,0.055806586383441034,0.0,11.481598634733478,0.010002509944195695,0.029411764705882353,0.9117647058823529,4.412031282111928,1.0,,0.3080938175562572,1.1395938985083103,1.6675000600209435,2.744531222090985,-0.002918831386456322
m298pref_a020_reset,medium,46,57.33747129929115,0.8043478260869565,0.1956521739130435,0.8897848255873136,1.910166901645894,0.15744425582736216,0.04896339049623343,0.0,12.265738428559686,0.010665682670862778,0.1956521739130435,0.8043478260869565,2.8759972202252384,1.0,,0.30950102375816546,1.1379160532600887,1.7140131686702034,1.161984051555035,-0.16880435074841538
m298pref_a020_zero_all,low,34,66.69044669333027,0.7941176470588235,0.20588235294117646,1.5470794009068731,3.443890823890381,0.1642469328599731,0.11887237238005177,0.017494929006085194,11.099657253440697,0.010854705860016538,0.029411764705882353,0.7941176470588235,4.414029021443098,1.0,,0.3080938175562572,1.1395938985083103,1.6675000600209435,2.746528961422154,-0.05418662669472418
m298pref_a020_zero_all,medium,46,56.836468878754815,0.8043478260869565,0.1956521739130435,0.9427469129514566,2.02444571952761,0.15374088337836708,0.06546902414071074,0.0,11.993001340854113,0.0120666798548368,0.1956521739130435,0.8043478260869565,2.9073589968199527,1.0,,0.30950102375816546,1.1379160532600887,1.7140131686702034,1.1933458281497489,-0.1433830590576204
random,low,34,40.458729260028576,0.20588235294117646,0.7941176470588235,1.161070158573058,2.458947390106645,0.16108780916871474,0.07231463655768246,0.012802768166089966,13.14964807954687,1.3178821626831503,0.7647058823529411,0.20588235294117646,1.8164326113347569,1.0,,0.3080938175562572,1.1395938985083103,1.6675000600209435,0.14893255131381333,-0.2727275762018371
random,medium,46,21.519086438379123,0.17391304347826086,0.8260869565217391,0.8365891173492842,1.6604105178196167,0.16637865516850114,0.03947471527363876,0.0,13.619454793104518,1.3070609336313994,0.8043478260869565,0.17391304347826086,1.7131595101736268,1.0,,0.30950102375816546,1.1379160532600887,1.7140131686702034,-0.0008536584965768049,-0.25230976817079376
