fixture_id,surface_id,role_family,step_index,observation_shape,action_shape,action_steer,action_throttle,action_brake,action_finite,action_within_bounds,backend_status,terminated_by_backend,truncated_by_backend,diagnostic_wheel_force_count,policy_action
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,0,72,3,0.9720993638038635,-0.8128403425216675,-0.5082072019577026,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,1,72,3,0.9725109934806824,-0.7887297868728638,-0.3892112374305725,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,2,72,3,0.9712647199630737,-0.7776270508766174,-0.34247976541519165,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,3,72,3,0.9692965745925903,-0.7671313881874084,-0.31505563855171204,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,4,72,3,0.9664425253868103,-0.7563393712043762,-0.2963850200176239,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,5,72,3,0.9619770050048828,-0.7435413002967834,-0.281789630651474,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,6,72,3,0.9547871351242065,-0.7260578274726868,-0.2703242301940918,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,7,72,3,0.9453619122505188,-0.707627534866333,-0.27204135060310364,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,8,72,3,0.9353610277175903,-0.6950646042823792,-0.2848547697067261,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,9,72,3,0.9245312213897705,-0.6864675283432007,-0.292677104473114,True,True,running,False,False,4,True
