candidate_label,source_label,alpha,checkpoint,combined_anchor_total_loss,combined_anchor_m267_loss,combined_anchor_m183_row16_loss
m1031_raw_row16x4_s40_a0_05,raw_row16x4_s40,0.05,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_05.pt,6.08300115345628e-06,2.800427500915248e-05,6.026829169059056e-07
m1031_raw_row16x4_s40_a0_1,raw_row16x4_s40,0.1,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_1.pt,8.03985858510714e-06,3.0556260753655806e-05,2.4107580429699738e-06
m1031_raw_row16x4_s40_a0_15,raw_row16x4_s40,0.15,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_15.pt,1.1206881026737392e-05,3.433621895965189e-05,5.424546088761417e-06
m1031_raw_row16x4_s40_a0_2,raw_row16x4_s40,0.2,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_2.pt,1.558388066769112e-05,3.9344140532193705e-05,9.643816156312823e-06
m1031_raw_row16x4_s40_a0_25,raw_row16x4_s40,0.25,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_25.pt,2.117103576892987e-05,4.558004002319649e-05,1.5068784705363214e-05
m1031_raw_row16x4_s40_a0_3,raw_row16x4_s40,0.3,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_3.pt,2.7968906579189934e-05,5.3044634114485234e-05,2.1699972421629354e-05
m1031_raw_row16x4_s40_a0_35,raw_row16x4_s40,0.35,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_35.pt,3.597701288526878e-05,6.173762085381895e-05,2.953685907414183e-05
m1031_raw_row16x4_s40_a0_4,raw_row16x4_s40,0.4,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_4.pt,4.519582580542192e-05,7.165905117290094e-05,3.858001946355216e-05
m1031_raw_row16x4_s40_a0_45,raw_row16x4_s40,0.45,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_45.pt,5.562487058341503e-05,8.280864858534187e-05,4.882892608293332e-05
m1031_raw_row16x4_s40_a0_5,raw_row16x4_s40,0.5,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_5.pt,6.726462015649304e-05,9.51865004026331e-05,6.028415373293683e-05
m1031_raw_row16x4_s40_a0_6,raw_row16x4_s40,0.6,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_6.pt,9.417656110599637e-05,0.00012362842971924692,8.681360486662015e-05
m1031_raw_row16x4_s40_a0_75,raw_row16x4_s40,0.75,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_75.pt,0.0001436263119103387,0.00017550669144839048,0.00013565621338784695
m1031_raw_row16x4_s40_a1,raw_row16x4_s40,1.0,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a1.pt,0.00025026057846844196,0.0002865424030460417,0.0002411901077721268
m1031_base_row16x4_s40_a0_05,base_row16x4_s40,0.05,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_05.pt,5.50329650650383e-06,2.7086169211543165e-05,1.0757835866570531e-07
m1031_base_row16x4_s40_a0_1,base_row16x4_s40,0.1,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_1.pt,5.8863060985459015e-06,2.7710122594726272e-05,4.3035169028371456e-07
m1031_base_row16x4_s40_a0_15,base_row16x4_s40,0.15,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_15.pt,6.48501600153395e-06,2.855222555808723e-05,9.682130439614411e-07
m1031_base_row16x4_s40_a0_2,base_row16x4_s40,0.2,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_2.pt,7.299695425899699e-06,2.96129201160511e-05,1.7213897081092e-06
m1031_base_row16x4_s40_a0_25,base_row16x4_s40,0.25,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_25.pt,8.329932825290598e-06,3.0891278584022075e-05,2.6895961582340533e-06
m1031_base_row16x4_s40_a0_3,base_row16x4_s40,0.3,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_3.pt,9.576206139172427e-06,3.2388143154093996e-05,3.873221430694684e-06
m1031_base_row16x4_s40_a0_35,base_row16x4_s40,0.35,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_35.pt,1.1037906915589701e-05,3.4102777135558426e-05,5.271689587971196e-06
m1031_base_row16x4_s40_a0_4,base_row16x4_s40,0.4,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_4.pt,1.271576911676675e-05,3.603641744120978e-05,6.885607945150696e-06
m1031_base_row16x4_s40_a0_45,base_row16x4_s40,0.45,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_45.pt,1.4608832316298503e-05,3.81868303520605e-05,8.71433257998433e-06
m1031_base_row16x4_s40_a0_5,base_row16x4_s40,0.5,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_5.pt,1.6717929611331783e-05,4.0556387830292806e-05,1.0758315511338878e-05
m1031_base_row16x4_s40_a0_6,base_row16x4_s40,0.6,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_6.pt,2.1583258785540238e-05,4.594955680659041e-05,1.5491683370782994e-05
m1031_base_row16x4_s40_a0_75,base_row16x4_s40,0.75,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_75.pt,3.0500052162096836e-05,5.567632251768373e-05,2.4205981389968656e-05
m1031_base_row16x4_s40_a1,base_row16x4_s40,1.0,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a1.pt,4.967568747815676e-05,7.625001308042556e-05,4.303210516809486e-05
m1031_line_row16x4_s40_a0_05,line_row16x4_s40,0.05,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_line_row16x4_s40_a0_05.pt,5.50329650650383e-06,2.7086169211543165e-05,1.0757835866570531e-07
m1031_line_row16x4_s40_a0_1,line_row16x4_s40,0.1,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_line_row16x4_s40_a0_1.pt,5.8863060985459015e-06,2.7710122594726272e-05,4.3035169028371456e-07
m1031_line_row16x4_s40_a0_15,line_row16x4_s40,0.15,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_line_row16x4_s40_a0_15.pt,6.48501600153395e-06,2.855222555808723e-05,9.682130439614411e-07
m1031_line_row16x4_s40_a0_2,line_row16x4_s40,0.2,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_line_row16x4_s40_a0_2.pt,7.299695425899699e-06,2.96129201160511e-05,1.7213897081092e-06
m1031_line_row16x4_s40_a0_25,line_row16x4_s40,0.25,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_line_row16x4_s40_a0_25.pt,8.329932825290598e-06,3.0891278584022075e-05,2.6895961582340533e-06
m1031_line_row16x4_s40_a0_3,line_row16x4_s40,0.3,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_line_row16x4_s40_a0_3.pt,9.576206139172427e-06,3.2388143154093996e-05,3.873221430694684e-06
