source_spec_id,panel_task_family,source_kind,source_origin,source_edge,window_tag,source_role_semantics,parent_feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label,source_reference,same_current_constraint,recent_window_seconds,older_history_offset_seconds,warmup_mode,warmup_duration_seconds,obstacle_reveal_delay_seconds,labels_enter_actor_input,profile_specific_tuning,controller_family_ranking_claim_made,paper_level_claim_made,level3_self_id_claim_made
m2029-t2-same_current_brake_authority_older_history_proxy-00,T2_same_current_different_older_history,same_current_brake_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_brake_authority_older_history_proxy|k0p25|older1p5,m2029_same_current_k0p25_older1p5,same_current_different_older_history,T2_generated,same_current_brake_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_brake_authority_older_history_proxy-00,matched_current_response_previous_command_and_recent_window,0.25,1.5,,,,False,False,False,False,False
m2029-t2-same_current_brake_authority_older_history_proxy-01,T2_same_current_different_older_history,same_current_brake_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_brake_authority_older_history_proxy|k0p5|older1p5,m2029_same_current_k0p5_older1p5,same_current_different_older_history,T2_generated,same_current_brake_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_brake_authority_older_history_proxy-01,matched_current_response_previous_command_and_recent_window,0.5,1.5,,,,False,False,False,False,False
m2029-t2-same_current_brake_authority_older_history_proxy-02,T2_same_current_different_older_history,same_current_brake_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_brake_authority_older_history_proxy|k1p0|older1p5,m2029_same_current_k1p0_older1p5,same_current_different_older_history,T2_generated,same_current_brake_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_brake_authority_older_history_proxy-02,matched_current_response_previous_command_and_recent_window,1.0,1.5,,,,False,False,False,False,False
m2029-t2-same_current_brake_authority_older_history_proxy-03,T2_same_current_different_older_history,same_current_brake_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_brake_authority_older_history_proxy|k0p25|older2p0,m2029_same_current_k0p25_older2p0,same_current_different_older_history,T2_generated,same_current_brake_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_brake_authority_older_history_proxy-03,matched_current_response_previous_command_and_recent_window,0.25,2.0,,,,False,False,False,False,False
m2029-t2-same_current_brake_authority_older_history_proxy-04,T2_same_current_different_older_history,same_current_brake_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_brake_authority_older_history_proxy|k0p5|older2p0,m2029_same_current_k0p5_older2p0,same_current_different_older_history,T2_generated,same_current_brake_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_brake_authority_older_history_proxy-04,matched_current_response_previous_command_and_recent_window,0.5,2.0,,,,False,False,False,False,False
m2029-t2-same_current_brake_authority_older_history_proxy-05,T2_same_current_different_older_history,same_current_brake_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_brake_authority_older_history_proxy|k1p0|older3p0,m2029_same_current_k1p0_older3p0,same_current_different_older_history,T2_generated,same_current_brake_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_brake_authority_older_history_proxy-05,matched_current_response_previous_command_and_recent_window,1.0,3.0,,,,False,False,False,False,False
m2029-t2-same_current_yaw_authority_older_history_proxy-00,T2_same_current_different_older_history,same_current_yaw_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_yaw_authority_older_history_proxy|k0p25|older1p5,m2029_same_current_k0p25_older1p5,same_current_different_older_history,T2_generated,same_current_yaw_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_yaw_authority_older_history_proxy-00,matched_current_response_previous_command_and_recent_window,0.25,1.5,,,,False,False,False,False,False
m2029-t2-same_current_yaw_authority_older_history_proxy-01,T2_same_current_different_older_history,same_current_yaw_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_yaw_authority_older_history_proxy|k0p5|older1p5,m2029_same_current_k0p5_older1p5,same_current_different_older_history,T2_generated,same_current_yaw_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_yaw_authority_older_history_proxy-01,matched_current_response_previous_command_and_recent_window,0.5,1.5,,,,False,False,False,False,False
m2029-t2-same_current_yaw_authority_older_history_proxy-02,T2_same_current_different_older_history,same_current_yaw_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_yaw_authority_older_history_proxy|k1p0|older1p5,m2029_same_current_k1p0_older1p5,same_current_different_older_history,T2_generated,same_current_yaw_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_yaw_authority_older_history_proxy-02,matched_current_response_previous_command_and_recent_window,1.0,1.5,,,,False,False,False,False,False
m2029-t2-same_current_yaw_authority_older_history_proxy-03,T2_same_current_different_older_history,same_current_yaw_authority_older_history_proxy,m2029_t2_t3_source_generation_preflight,same_current|same_current_yaw_authority_older_history_proxy|k0p25|older2p0,m2029_same_current_k0p25_older2p0,same_current_different_older_history,T2_generated,same_current_yaw_authority_older_history_proxy,same_current_different_older_history,m2029-t2-same_current_yaw_authority_older_history_proxy-03,matched_current_response_previous_command_and_recent_window,0.25,2.0,,,,False,False,False,False,False
