guard_id,contract_item,expected,observed,pass,actor_visible,source_artifact,failure_if_false
observation_shape_72,observation_shape,72,72,True,True,docs/m2831-engineering-controller-route-c-hf0-source-only-interface-evidence-handoff-design.md,shape mismatch would invalidate P0 actor handoff
action_shape_3,action_shape,3,3,True,True,docs/m2831-engineering-controller-route-c-hf0-source-only-interface-evidence-handoff-design.md,shape mismatch would mutate deployed action contract
ActorView_only_extraction,actor_visible_extractor,ActorView only,ActorView only,True,True,docs/m2831-engineering-controller-route-c-hf0-source-only-interface-evidence-handoff-design.md,non-ActorView extraction would violate HF0 boundary
no_hidden_oracle_actor_input,hidden_oracle_actor_input_detected,False,False,True,False,docs/m2831-engineering-controller-route-c-hf0-source-only-interface-evidence-handoff-design.md,hidden/oracle actor input would invalidate handoff
no_fixture_labels_actor_visible,fixture_labels_actor_visible,False,False,True,False,docs/m2831-engineering-controller-route-c-hf0-source-only-interface-evidence-handoff-design.md,fixture labels must stay diagnostic-only
no_scenario_labels_actor_visible,scenario_labels_actor_visible,False,False,True,False,docs/m2831-engineering-controller-route-c-hf0-source-only-interface-evidence-handoff-design.md,scenario labels must stay diagnostic-only
no_feasibility_classes_actor_visible,feasibility_classes_actor_visible,False,False,True,False,docs/m2831-engineering-controller-route-c-hf0-source-only-interface-evidence-handoff-design.md,feasibility classes must stay diagnostic-only
no_diagnostics_actor_visible,diagnostics_actor_visible,False,False,True,False,docs/m2831-engineering-controller-route-c-hf0-source-only-interface-evidence-handoff-design.md,diagnostics must stay outside actor input
no_reward_terms_actor_visible,reward_terms_actor_visible,False,False,True,False,docs/m2831-engineering-controller-route-c-hf0-source-only-interface-evidence-handoff-design.md,reward terms must stay outside actor input
no_success_progress_verdict_labels_actor_visible,success_progress_verdict_labels_actor_visible,False,False,True,False,docs/m2831-engineering-controller-route-c-hf0-source-only-interface-evidence-handoff-design.md,success/progress/verdict labels must stay outside actor input
physical_scenario_differences_only_through_deployable_observations,deployable_observation_boundary,True,True,True,True,docs/m2831-engineering-controller-route-c-hf0-source-only-interface-evidence-handoff-design.md,source-only differences must enter only as ordinary deployable observations
