panel_task_family,source_kind,count
T1_reactive_active_safety,anchor_neighborhood,1
T1_reactive_active_safety,mitigation_isolation_check,1
T1_reactive_active_safety,offtrack_boundary_relief,1
T1_reactive_active_safety,success_stabilizer,1
T2_same_current_different_older_history,actuator_delay_proxy,1
T2_same_current_different_older_history,actuator_delay_proxy+capability_step_proxy,1
T2_same_current_different_older_history,capability_step_proxy,1
T2_same_current_different_older_history,capability_step_proxy+warmup_proxy,1
T2_same_current_different_older_history,same_current_brake_authority_older_history_proxy,1
T2_same_current_different_older_history,same_current_drive_brake_asymmetry_older_history_proxy,1
T2_same_current_different_older_history,same_current_mixed_authority_older_history_proxy,1
T2_same_current_different_older_history,same_current_rear_lateral_authority_older_history_proxy,1
T2_same_current_different_older_history,same_current_steer_lag_older_history_proxy,1
T2_same_current_different_older_history,same_current_yaw_authority_older_history_proxy,1
T3_active_diagnostic_warmup,actuator_delay_proxy+terminal_boundary_proxy+warmup_proxy,1
T3_active_diagnostic_warmup,capability_step_proxy+terminal_boundary_proxy+warmup_proxy,1
T3_active_diagnostic_warmup,capability_step_proxy+warmup_proxy,1
T3_active_diagnostic_warmup,terminal_boundary_proxy+warmup_proxy,1
T3_active_diagnostic_warmup,warmup_brake_authority_proxy,1
T3_active_diagnostic_warmup,warmup_mixed_authority_proxy,1
T3_active_diagnostic_warmup,warmup_rear_lateral_authority_proxy,1
T3_active_diagnostic_warmup,warmup_steer_lag_proxy,1
T3_active_diagnostic_warmup,warmup_terminal_boundary_recovery_proxy,1
T3_active_diagnostic_warmup,warmup_yaw_authority_proxy,1
T4_variable_diagnostic_delay,actuator_delay_proxy+capability_step_proxy,1
T4_variable_diagnostic_delay,actuator_delay_proxy+terminal_boundary_proxy+warmup_proxy,1
T4_variable_diagnostic_delay,capability_step_proxy+terminal_boundary_proxy+warmup_proxy,1
T4_variable_diagnostic_delay,terminal_boundary_proxy,1
T5_source_rich_extreme_dynamics,actuator_delay_proxy,1
T5_source_rich_extreme_dynamics,actuator_delay_proxy+capability_step_proxy,1
T5_source_rich_extreme_dynamics,actuator_delay_proxy+terminal_boundary_proxy+warmup_proxy,1
T5_source_rich_extreme_dynamics,capability_step_proxy,1
T5_source_rich_extreme_dynamics,capability_step_proxy+terminal_boundary_proxy+warmup_proxy,1
T5_source_rich_extreme_dynamics,capability_step_proxy+warmup_proxy,1
T5_source_rich_extreme_dynamics,terminal_boundary_proxy,1
T5_source_rich_extreme_dynamics,terminal_boundary_proxy+warmup_proxy,1
