workload_id,task_source_id,candidate_id,panel_task_family,source_split,profile_name,profile_config_path,checkpoint_path,source_kind,source_edge,window_tag,materialization_semantics,paper_validity_claim,environment_rollout_scheduled,training_scheduled,profile_specific_tuning,controller_family_ranking_claim_made,finite_window_vs_gru_conclusion_made,paper_level_claim_made,level3_self_id_claim_made
m2063-osd-osd_v0_0000_t1::L0_current_masked,m2063-osd-osd_v0_0000_t1,osd_v0_0000_t1,T1_reactive_active_safety,public_debug,L0_current_masked,runs/m1674_controller_family_one_seed_public_pilot/configs/L0_current_masked_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L0_current_masked/seed_167400/checkpoint.pt,ordinary_reactive_stable_aes,T1_reactive_active_safety|ordinary_reactive_stable_aes|early|nominal|high|actuator_delay|nominal,m2060_t1_000,smoke_proxy,False,False,False,False,False,False,False,False
m2063-osd-osd_v0_0000_t1::L1_one_step,m2063-osd-osd_v0_0000_t1,osd_v0_0000_t1,T1_reactive_active_safety,public_debug,L1_one_step,runs/m1674_controller_family_one_seed_public_pilot/configs/L1_one_step_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L1_one_step/seed_167400/checkpoint.pt,ordinary_reactive_stable_aes,T1_reactive_active_safety|ordinary_reactive_stable_aes|early|nominal|high|actuator_delay|nominal,m2060_t1_000,smoke_proxy,False,False,False,False,False,False,False,False
m2063-osd-osd_v0_0000_t1::L2_window_50,m2063-osd-osd_v0_0000_t1,osd_v0_0000_t1,T1_reactive_active_safety,public_debug,L2_window_50,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_50_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50/seed_167400/checkpoint.pt,ordinary_reactive_stable_aes,T1_reactive_active_safety|ordinary_reactive_stable_aes|early|nominal|high|actuator_delay|nominal,m2060_t1_000,smoke_proxy,False,False,False,False,False,False,False,False
m2063-osd-osd_v0_0000_t1::L3_online_gru,m2063-osd-osd_v0_0000_t1,osd_v0_0000_t1,T1_reactive_active_safety,public_debug,L3_online_gru,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,ordinary_reactive_stable_aes,T1_reactive_active_safety|ordinary_reactive_stable_aes|early|nominal|high|actuator_delay|nominal,m2060_t1_000,smoke_proxy,False,False,False,False,False,False,False,False
m2063-osd-osd_v0_0000_t1::L3_reset_control_corrected,m2063-osd-osd_v0_0000_t1,osd_v0_0000_t1,T1_reactive_active_safety,public_debug,L3_reset_control_corrected,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_reset_control_corrected_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_reset_control_corrected/seed_167400/checkpoint.pt,ordinary_reactive_stable_aes,T1_reactive_active_safety|ordinary_reactive_stable_aes|early|nominal|high|actuator_delay|nominal,m2060_t1_000,smoke_proxy,False,False,False,False,False,False,False,False
m2063-osd-osd_v0_0001_t1::L0_current_masked,m2063-osd-osd_v0_0001_t1,osd_v0_0001_t1,T1_reactive_active_safety,public_debug,L0_current_masked,runs/m1674_controller_family_one_seed_public_pilot/configs/L0_current_masked_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L0_current_masked/seed_167400/checkpoint.pt,late_obstacle_reactive_evasion,T1_reactive_active_safety|late_obstacle_reactive_evasion|medium|tight|straight_or_low|nominal_mu|high,m2060_t1_001,smoke_proxy,False,False,False,False,False,False,False,False
m2063-osd-osd_v0_0001_t1::L1_one_step,m2063-osd-osd_v0_0001_t1,osd_v0_0001_t1,T1_reactive_active_safety,public_debug,L1_one_step,runs/m1674_controller_family_one_seed_public_pilot/configs/L1_one_step_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L1_one_step/seed_167400/checkpoint.pt,late_obstacle_reactive_evasion,T1_reactive_active_safety|late_obstacle_reactive_evasion|medium|tight|straight_or_low|nominal_mu|high,m2060_t1_001,smoke_proxy,False,False,False,False,False,False,False,False
m2063-osd-osd_v0_0001_t1::L2_window_50,m2063-osd-osd_v0_0001_t1,osd_v0_0001_t1,T1_reactive_active_safety,public_debug,L2_window_50,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_50_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50/seed_167400/checkpoint.pt,late_obstacle_reactive_evasion,T1_reactive_active_safety|late_obstacle_reactive_evasion|medium|tight|straight_or_low|nominal_mu|high,m2060_t1_001,smoke_proxy,False,False,False,False,False,False,False,False
m2063-osd-osd_v0_0001_t1::L3_online_gru,m2063-osd-osd_v0_0001_t1,osd_v0_0001_t1,T1_reactive_active_safety,public_debug,L3_online_gru,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,late_obstacle_reactive_evasion,T1_reactive_active_safety|late_obstacle_reactive_evasion|medium|tight|straight_or_low|nominal_mu|high,m2060_t1_001,smoke_proxy,False,False,False,False,False,False,False,False
m2063-osd-osd_v0_0001_t1::L3_reset_control_corrected,m2063-osd-osd_v0_0001_t1,osd_v0_0001_t1,T1_reactive_active_safety,public_debug,L3_reset_control_corrected,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_reset_control_corrected_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_reset_control_corrected/seed_167400/checkpoint.pt,late_obstacle_reactive_evasion,T1_reactive_active_safety|late_obstacle_reactive_evasion|medium|tight|straight_or_low|nominal_mu|high,m2060_t1_001,smoke_proxy,False,False,False,False,False,False,False,False
m2063-osd-osd_v0_0002_t1::L0_current_masked,m2063-osd-osd_v0_0002_t1,osd_v0_0002_t1,T1_reactive_active_safety,public_debug,L0_current_masked,runs/m1674_controller_family_one_seed_public_pilot/configs/L0_current_masked_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L0_current_masked/seed_167400/checkpoint.pt,low_mu_reactive_evasion,T1_reactive_active_safety|low_mu_reactive_evasion|late|generous|moderate|low_mu|low,m2060_t1_002,smoke_proxy,False,False,False,False,False,False,False,False
