task_source_id,candidate_source_id,repair_candidate_id,repair_source_kind,selection_quota_name,source_role_semantics,parent_feasibility_tier_id,parent_surface_variant,normalized_surface_variant,source_split,speed_ref,mu,friction_step_enabled,friction_step_at,obstacle_distance,obstacle_half_width,sampled_obstacle_label,threshold_score,representative_cell_rule,contract_violation_count,history_length_is_one,action_history_mode_full,include_privileged_params_false,wheel_observation_mode_none,obstacle_relative_velocity_mode_zero
tqcm_exec_v0_0000_otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,18.0,0.4,True,20,58.0,0.6,aeb_feasible,3.753207407407408,stable_aeb_max_threshold_then_farther_distance,0,True,True,True,True,True
tqcm_exec_v0_0001_otsr_v0_0001_anchor_neighborhood,otsr_v0_0001_anchor_neighborhood,otsr_v0_0001_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,18.0,0.4,True,20,58.0,0.5,aeb_feasible,4.032807843137256,stable_aeb_max_threshold_then_farther_distance,0,True,True,True,True,True
tqcm_exec_v0_0002_otsr_v0_0002_anchor_neighborhood,otsr_v0_0002_anchor_neighborhood,otsr_v0_0002_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,18.0,0.4,True,20,58.0,0.6,aeb_feasible,3.753207407407408,stable_aeb_max_threshold_then_farther_distance,0,True,True,True,True,True
tqcm_exec_v0_0003_otsr_v0_0003_anchor_neighborhood,otsr_v0_0003_anchor_neighborhood,otsr_v0_0003_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,18.0,0.4,True,20,58.0,0.5,aeb_feasible,4.032807843137256,stable_aeb_max_threshold_then_farther_distance,0,True,True,True,True,True
tqcm_exec_v0_0004_otsr_v0_0004_anchor_neighborhood,otsr_v0_0004_anchor_neighborhood,otsr_v0_0004_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,18.0,0.4,True,20,58.0,0.6,aeb_feasible,3.753207407407408,stable_aeb_max_threshold_then_farther_distance,0,True,True,True,True,True
tqcm_exec_v0_0005_otsr_v0_0005_anchor_neighborhood,otsr_v0_0005_anchor_neighborhood,otsr_v0_0005_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,18.0,0.4,True,20,58.0,0.5,aeb_feasible,4.032807843137256,stable_aeb_max_threshold_then_farther_distance,0,True,True,True,True,True
tqcm_exec_v0_0006_otsr_v0_0006_anchor_neighborhood,otsr_v0_0006_anchor_neighborhood,otsr_v0_0006_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,18.0,0.4,True,20,58.0,0.6,aeb_feasible,3.753207407407408,stable_aeb_max_threshold_then_farther_distance,0,True,True,True,True,True
tqcm_exec_v0_0007_otsr_v0_0007_anchor_neighborhood,otsr_v0_0007_anchor_neighborhood,otsr_v0_0007_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,18.0,0.4,True,20,58.0,0.5,aeb_feasible,4.032807843137256,stable_aeb_max_threshold_then_farther_distance,0,True,True,True,True,True
tqcm_exec_v0_0008_otsr_v0_0008_anchor_neighborhood,otsr_v0_0008_anchor_neighborhood,otsr_v0_0008_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,18.0,0.4,True,20,60.0,0.6,aeb_feasible,4.086666666666668,stable_aeb_max_threshold_then_farther_distance,0,True,True,True,True,True
tqcm_exec_v0_0009_otsr_v0_0009_anchor_neighborhood,otsr_v0_0009_anchor_neighborhood,otsr_v0_0009_anchor_neighborhood,anchor_neighborhood,anchor_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,public_debug,18.0,0.4,True,20,60.0,0.5,aeb_feasible,4.385882352941178,stable_aeb_max_threshold_then_farther_distance,0,True,True,True,True,True
