profile_name,episode_count,success_rate,collision_rate,clearance_margin_mean,clearance_margin_p10,return_mean,steps_mean,control_smoothness,spin_or_unstable_rate,failure_rate,all_selected_metrics_finite
L0_current_masked,72,0.027777777777777776,0.1388888888888889,8.011813203346884,-0.037152477659257936,23.793583872195263,86.72222222222223,0.0015961623107109012,0.0,0.0,True
L1_one_step,72,0.013888888888888888,0.18055555555555555,8.888893789591119,-0.04236593178875713,24.96758769097744,85.81944444444444,0.0016684275582924278,0.0,0.0,True
L2_window_100,72,0.0,0.027777777777777776,11.130980527960483,2.02162508351075,13.021136930492057,63.81944444444444,0.0028112277472650427,0.0,0.0,True
L2_window_100_current_tiled,72,0.0,0.0,11.558490604209418,2.5056364920798933,13.923076289558407,63.75,0.0033541062601014143,0.0,0.0,True
L2_window_13,72,0.0,0.013888888888888888,11.250761280041587,2.115468482818152,14.309771492022415,65.69444444444444,0.0027807771063332134,0.0,0.0,True
L2_window_13_current_tiled,72,0.0,0.0,12.848303280759199,2.772612082540586,12.869325969679233,63.888888888888886,0.0033579246535535073,0.0,0.0,True
L2_window_25,72,0.0,0.0,11.8847954734454,1.961914014714181,13.681543558465314,65.08333333333333,0.0028222859610751686,0.0,0.0,True
L2_window_25_current_tiled,72,0.0,0.0,12.411887844618454,2.952449406269436,13.503403134684184,63.583333333333336,0.0033707217500907266,0.0,0.0,True
L2_window_50,72,0.0,0.0,12.286197160219963,3.116957546886233,13.278894633275943,65.11111111111111,0.0027827659376069075,0.0,0.0,True
L2_window_50_current_tiled,72,0.0,0.0,11.551271533203515,4.116030274706325,13.410391296946381,64.84722222222223,0.0033132099164908547,0.0,0.0,True
L3_online_gru,72,0.16666666666666666,0.09722222222222222,7.4967843922469815,0.6538281953882121,43.819689368525815,87.90277777777777,0.00139247534227454,0.041666666666666664,0.0,True
L3_reset_control_corrected,72,0.2361111111111111,0.06944444444444445,7.625623216110196,0.7539080429288255,47.319375217952015,91.06944444444444,0.0008301664315189959,0.013888888888888888,0.0,True
