metric_name,m2516_support_status,m2516_missing_row_count,m2518_support_status,m2518_supported_row_count,m2518_missing_row_count,filled_by_m2518,remaining_unsupported,gap_delta_reason,claim_boundary
observation_shape,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
action_shape,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
actor_contract_id,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
actor_input_leak_flags,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
action_finite,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
action_within_bounds,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
episode_started,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
episode_completed,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
terminal_status,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
step_count,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
reset_status,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
backend_status,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
collision_event,unsupported_by_existing_source_artifacts,12,filled_by_m2518_event_instrumentation,12,0,True,False,derived from existing fixture geometry and telemetry as evaluator-side diagnostics,diagnostic instrumentation only; not a behavior verdict
obstacle_passed_event,unsupported_by_existing_source_artifacts,12,filled_by_m2518_event_instrumentation,12,0,True,False,derived from existing fixture geometry and telemetry as evaluator-side diagnostics,diagnostic instrumentation only; not a behavior verdict
road_departure_event,unsupported_by_existing_source_artifacts,12,filled_by_m2518_event_instrumentation,12,0,True,False,derived from existing fixture geometry and telemetry as evaluator-side diagnostics,diagnostic instrumentation only; not a behavior verdict
minimum_obstacle_clearance_m,unsupported_by_existing_source_artifacts,12,filled_by_m2518_event_instrumentation,12,0,True,False,derived from existing fixture geometry and telemetry as evaluator-side diagnostics,diagnostic instrumentation only; not a behavior verdict
minimum_road_margin_m,unsupported_by_existing_source_artifacts,12,filled_by_m2518_event_instrumentation,12,0,True,False,derived from existing fixture geometry and telemetry as evaluator-side diagnostics,diagnostic instrumentation only; not a behavior verdict
final_road_margin_m,unsupported_by_existing_source_artifacts,12,filled_by_m2518_event_instrumentation,12,0,True,False,derived from existing fixture geometry and telemetry as evaluator-side diagnostics,diagnostic instrumentation only; not a behavior verdict
maximum_abs_lateral_velocity,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
maximum_abs_yaw_rate,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
maximum_abs_lateral_position,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
final_abs_lateral_velocity,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
final_abs_yaw_rate,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
recovery_time_proxy_s,unsupported_by_existing_source_artifacts,12,filled_by_m2518_event_instrumentation,12,0,True,False,derived from existing fixture geometry and telemetry as evaluator-side diagnostics,diagnostic instrumentation only; not a behavior verdict
steering_saturation_fraction,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
throttle_saturation_fraction,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
brake_saturation_fraction,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
command_delta_l1_mean,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
simultaneous_throttle_brake_fraction,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
collision_speed_proxy,unsupported_by_existing_source_artifacts,12,filled_by_m2518_event_instrumentation,12,0,True,False,derived from existing fixture geometry and telemetry as evaluator-side diagnostics,diagnostic instrumentation only; not a behavior verdict
impact_angle_proxy,unsupported_by_existing_source_artifacts,12,filled_by_m2518_event_instrumentation,12,0,True,False,derived from existing fixture geometry and telemetry as evaluator-side diagnostics,diagnostic instrumentation only; not a behavior verdict
severity_proxy,unsupported_by_existing_source_artifacts,12,filled_by_m2518_event_instrumentation,12,0,True,False,derived from existing fixture geometry and telemetry as evaluator-side diagnostics,diagnostic instrumentation only; not a behavior verdict
mitigation_delta_against_reference,unsupported_by_existing_source_artifacts,12,still_unsupported_after_m2518,0,12,False,True,requires seed lineage or pre-registered mitigation reference semantics; not inferred in diagnostic instrumentation,diagnostic instrumentation only; not a behavior verdict
evidence_layer,supported_by_existing_source_artifacts,0,unchanged_from_m2516,12,0,False,False,not an M2516 unsupported outcome gap targeted by this instrumentation,diagnostic instrumentation only; not a behavior verdict
