atlas_cell_id,role_family,candidate_group,parameter_bin,hidden_dynamics_bucket,sampled_obstacle_label_scope,source_candidate_ids,source_candidate_count,split_scope,effective_env_config_path,actor_contract_guardrail_pass,matches_fixed_m2464_r1_overlay,diagnostic_only,repair_candidate,ranking_admissible,winner_selected,promoted,cell_description
stable_avoidable_nominal_center,R0_stable_avoidable,stable_feasibility_support,stable_center_reaction_distance,nominal,aeb_feasible,m2455_stable_feasibility_support_001|m2455_stable_feasibility_support_002|m2455_stable_feasibility_support_003,3,public_debug,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_avoidable_nominal_center.json,True,False,True,False,False,False,False,R0 nominal stable avoidable support away from the fixed R1 rows.
stable_avoidable_lateral_span,R0_stable_avoidable,stable_feasibility_support,stable_lateral_offset_span,mixed,aeb_feasible,m2455_stable_feasibility_support_001|m2455_stable_feasibility_support_002|m2455_stable_feasibility_support_003,3,public_debug,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_avoidable_lateral_span.json,True,False,True,False,False,False,False,R0 lateral-offset support bin.
stable_avoidable_low_mu,R0_stable_avoidable,stable_feasibility_support,stable_low_mu_long_distance,low_mu,aeb_feasible,m2455_stable_feasibility_support_001|m2455_stable_feasibility_support_002|m2455_stable_feasibility_support_003,3,public_debug,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_avoidable_low_mu.json,True,False,True,False,False,False,False,R0 low-mu support bin with longer reaction distance.
stable_aes_broad_threshold_free,R1_aeb_infeasible_stable_aes,stable_aes_support,aes_broad_threshold_free,mixed,aes_feasible,m2455_stable_aes_support_001|m2455_stable_aes_support_002|m2455_stable_aes_support_003,3,public_debug,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_aes_broad_threshold_free.json,True,False,True,False,False,False,False,"R1 broad support bin, not the M2464 fixed overlay."
stable_aes_threshold_band,R1_aeb_infeasible_stable_aes,stable_aes_support,aes_threshold_band_0p6,mixed,aes_feasible,m2455_stable_aes_support_001|m2455_stable_aes_support_002|m2455_stable_aes_support_003,3,public_debug,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_aes_threshold_band.json,True,False,True,False,False,False,False,R1 threshold-band atlas bin broader than the fixed M2464 R1 overlay.
stable_aes_low_mu_near,R1_aeb_infeasible_stable_aes,stable_aes_support,aes_low_mu_near,low_mu,aes_feasible,m2455_stable_aes_support_001|m2455_stable_aes_support_002|m2455_stable_aes_support_003,3,public_debug,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_aes_low_mu_near.json,True,False,True,False,False,False,False,R1 low-mu near-field support bin.
drift_required_nominal,R2_handling_limit_drift_capable_avoidance,handling_limit_guardrail,drift_required_nominal,nominal,drift_required,m2455_handling_limit_guardrail_001|m2455_handling_limit_guardrail_002|m2455_handling_limit_guardrail_003|m2455_handling_limit_guardrail_004|m2455_handling_limit_guardrail_005,5,public_debug_or_gate,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/drift_required_nominal.json,True,False,True,False,False,False,False,Drift-required handling-limit support bin.
drift_required_late_boundary,R3_recovery_after_limit,handling_limit_guardrail,drift_required_late_boundary,mixed,drift_required,m2455_handling_limit_guardrail_001|m2455_handling_limit_guardrail_002|m2455_handling_limit_guardrail_003|m2455_handling_limit_guardrail_004|m2455_handling_limit_guardrail_005,5,public_debug_or_gate,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/drift_required_late_boundary.json,True,False,True,False,False,False,False,Late handling-limit boundary support bin.
drift_required_low_mu,R5_hidden_dynamics_robustness,handling_limit_guardrail,drift_required_low_mu,low_mu,drift_required,m2455_handling_limit_guardrail_001|m2455_handling_limit_guardrail_002|m2455_handling_limit_guardrail_003|m2455_handling_limit_guardrail_004|m2455_handling_limit_guardrail_005,5,public_debug_or_gate,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/drift_required_low_mu.json,True,False,True,False,False,False,False,Low-mu drift-required support bin.
unavoidable_close,R4_unavoidable_mitigation,mitigation_guardrail,unavoidable_close,mixed,unavoidable,m2455_mitigation_guardrail_001|m2455_mitigation_guardrail_002|m2455_mitigation_guardrail_003,3,public_debug,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/unavoidable_close.json,True,False,True,False,False,False,False,Unavoidable close-range mitigation support bin.
unavoidable_high_speed,R4_unavoidable_mitigation,mitigation_guardrail,unavoidable_high_speed,mixed,unavoidable,m2455_mitigation_guardrail_001|m2455_mitigation_guardrail_002|m2455_mitigation_guardrail_003,3,public_debug,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/unavoidable_high_speed.json,True,False,True,False,False,False,False,Unavoidable high-speed mitigation support bin.
unavoidable_low_mu,R4_unavoidable_mitigation,mitigation_guardrail,unavoidable_low_mu,low_mu,unavoidable,m2455_mitigation_guardrail_001|m2455_mitigation_guardrail_002|m2455_mitigation_guardrail_003,3,public_debug,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/unavoidable_low_mu.json,True,False,True,False,False,False,False,Low-mu unavoidable mitigation support bin.
hidden_nominal_neighbor,R5_hidden_dynamics_robustness,hidden_dynamics_guardrail,all_labels_nominal_neighbor,nominal_neighbor,all_labels,m2455_hidden_dynamics_guardrail_001|m2455_hidden_dynamics_guardrail_002|m2455_hidden_dynamics_guardrail_003|m2455_hidden_dynamics_guardrail_004|m2455_hidden_dynamics_guardrail_005|m2455_hidden_dynamics_guardrail_006|m2455_hidden_dynamics_guardrail_007|m2455_hidden_dynamics_guardrail_008|m2455_hidden_dynamics_guardrail_009,9,public_debug_or_gate,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/hidden_nominal_neighbor.json,True,False,True,False,False,False,False,Nominal all-label support baseline for hidden-dynamics guardrail bins.
hidden_weak_brake,R5_hidden_dynamics_robustness,hidden_dynamics_guardrail,all_labels_weak_brake,weak_brake,all_labels,m2455_hidden_dynamics_guardrail_001|m2455_hidden_dynamics_guardrail_002|m2455_hidden_dynamics_guardrail_003|m2455_hidden_dynamics_guardrail_004|m2455_hidden_dynamics_guardrail_005|m2455_hidden_dynamics_guardrail_006|m2455_hidden_dynamics_guardrail_007|m2455_hidden_dynamics_guardrail_008|m2455_hidden_dynamics_guardrail_009,9,public_debug_or_gate,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/hidden_weak_brake.json,True,False,True,False,False,False,False,Weak-brake all-label sampler support bin.
