row_id,physical_pair_key,target,left_seed,right_seed,left_step,right_step,relocated_obstacle_body_x,relocated_obstacle_body_y,relocated_obstacle_half_width,base_wrong_history_terminal_reason,normal_margin,wrong_history_margin,weight
0,9530:9:9550:12,future_braking_deceleration,9530,9550,9,12,13.035129890320324,-0.084747730025799,0.718743125319654,collision,0.010678250342607498,-0.0023207387421280146,0.024373412132263184
1,9530:9:9550:12,future_braking_deceleration,9530,9550,9,12,13.035129890320324,-0.084747730025799,0.723743125319654,collision,0.00567393796518445,-0.007302660029381514,0.02492563985288143
2,9542:9:9561:15,future_braking_deceleration,9542,9561,9,15,7.399434266176442,-0.7749406479834593,1.5586934769802945,collision,0.010447396896779537,-0.0023116949014365673,0.024054812267422676
3,9542:9:9561:15,future_braking_deceleration,9542,9561,9,15,7.399434266176442,-0.7749406479834593,1.5636934769802942,collision,0.0054490710608661175,-0.00729502085596323,0.02461155503988266
4,9530:12:9550:15,future_braking_deceleration,9530,9550,12,15,12.189159799725708,-0.3418213511693446,0.718743125319654,collision,0.010793348774313927,-0.001356094959191978,0.022766200825572014
5,9530:12:9550:15,future_braking_deceleration,9530,9550,12,15,12.189159799725708,-0.3418213511693446,0.723743125319654,collision,0.005793227814137936,-0.0063357120379805565,0.023281853646039963
6,9530:15:9550:18,future_braking_deceleration,9530,9550,15,18,11.340646726199644,-0.5755074733886971,0.718743125319654,collision,0.010836337693035603,-9.334248170489445e-05,0.3274986147880554
7,9530:15:9550:18,future_braking_deceleration,9530,9550,15,18,11.340646726199644,-0.5755074733886971,0.723743125319654,collision,0.005838739685714245,-0.0050724647007882595,0.020931771025061607
8,9530:18:9550:21,future_braking_deceleration,9530,9550,18,21,10.490038943910228,-0.7843047983379909,0.723743125319654,collision,0.005829513072967529,-0.0037776934914290905,0.018424546346068382
9,9530:15:9550:15,future_braking_deceleration,9530,9550,15,15,11.340646726199644,-0.5755074733886971,0.723743125319654,collision,0.005838739685714245,-0.0019553042948246002,0.014921647496521473
10,9530:12:9550:12,future_braking_deceleration,9530,9550,12,12,12.189159799725708,-0.3418213511693446,0.723743125319654,collision,0.005793227814137936,-0.0017914570635184646,0.014513424597680569
11,9537:24:9561:24,future_braking_deceleration,9537,9561,24,24,7.85619832943624,-1.4748321988733524,2.045493110079187,collision,0.006991843692958355,-0.0004996122443117201,0.05691061168909073
12,9530:18:9550:18,future_braking_deceleration,9530,9550,18,18,10.490038943910228,-0.7843047983379909,0.723743125319654,collision,0.005829513072967529,-0.0016153615433722734,0.014258801005780697
13,9530:9:9550:9,future_braking_deceleration,9530,9550,9,9,13.035129890320324,-0.084747730025799,0.723743125319654,collision,0.00567393796518445,-0.0010594320483505726,0.012880828231573105
14,9542:3:9549:3,future_yaw_response,9542,9549,3,3,8.756009360240677,-0.3649138453437217,1.5636934769802942,collision,0.002905151341110468,-0.0036217356100678444,0.01278961542993784
15,9530:21:9550:21,future_braking_deceleration,9530,9550,21,21,9.63811144960755,-0.9702626886222284,0.723743125319654,collision,0.005786416586488485,-0.00034007703652605414,0.13812963664531708
16,9530:6:9550:6,future_braking_deceleration,9530,9550,6,6,13.87837608131614,0.1906672852848592,0.723743125319654,collision,0.005454008933156729,-0.000626074499450624,0.07447792589664459
