repair_smoke_row_id,source_row_id,candidate_config_id,candidate_config_hash,protected_group,row_role,failure_surface,scenario_role,seed,subject_id,fixture_id,seed_panel_id,source_artifact,source_only_backend_step_run,policy_action_run,open_loop_action_rollout_run,repair_training_started,checkpoint_path,actor_contract_id,observation_shape,action_shape,actor_encoder,action_horizon,actor_input_leak_flags,hidden_or_oracle_actor_inputs_required,controller_mode_used,mu_enter_actor_input,minimum_road_margin_m,current_minimum_road_margin_m,road_margin_delta_m,road_departure_event,current_road_departure_event,road_departure_delta,collision_event,current_collision_event,collision_regressed,minimum_obstacle_clearance_m,current_minimum_obstacle_clearance_m,severity_proxy,current_severity_proxy,severity_delta,simultaneous_throttle_brake_fraction,current_simultaneous_throttle_brake_fraction,command_conflict_delta,candidate_road_boundary_penalty,candidate_mitigation_penalty,candidate_command_conflict_penalty,candidate_total_penalty,protected_row_matched,repair_smoke_status,diagnostic_only_no_ranking_claim,success_rate_field_emitted,ranking_or_winner_field_emitted,claim_scope,forbidden_interpretation,source_checkpoint_path,repaired_checkpoint_path,repair_execution_started,repaired_checkpoint_written
m2532-engineering-controller-failure-surface-guarded-repair-execution-preflight_coast_open_loop_drift_required_recovery_seed_253300,m2523_coast_open_loop_drift_required_recovery_seed_253300,m2528_failure_surface_intervention_candidate_v0,dc72620e8cd608982ab1445dda034536fd1bb1a029eabd794cd3dcbf6b501dd0,reference_coast_open_loop,reference_context,reference_context,drift_required_recovery,253300,coast_open_loop,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253300,m2523_drift_required_recovery_seed_253300,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,True,,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,none,False,False,False,1.557212490657008,1.557212490657008,0.0,False,False,0,True,True,False,-1.6950798941885745,-1.6950798941885745,16.526609536676414,16.526609536676414,0.0,0.0,0.0,0.0,0.0,8.263304768338207,0.0,8.263304768338207,True,post_repair_source_only_behavior_measured,True,False,False,guarded source-only repair execution preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",runs/m1154_row15_promoted_unsafe_margin_projection_probe/checkpoints/alpha_0_05.pt,runs/m2532_engineering_controller_failure_surface_guarded_repair_execution/checkpoints/m2532_guarded_actor_head_repair.pt,True,True
m2532-engineering-controller-failure-surface-guarded-repair-execution-preflight_coast_open_loop_drift_required_recovery_seed_253301,m2523_coast_open_loop_drift_required_recovery_seed_253301,m2528_failure_surface_intervention_candidate_v0,dc72620e8cd608982ab1445dda034536fd1bb1a029eabd794cd3dcbf6b501dd0,reference_coast_open_loop,reference_context,reference_context,drift_required_recovery,253301,coast_open_loop,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253301,m2523_drift_required_recovery_seed_253301,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,True,,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,none,False,False,False,1.189416310187638,1.189416310187638,0.0,False,False,0,True,True,False,-0.9050021109234326,-0.9050021109234326,8.610119003674807,8.610119003674807,0.0,0.0,0.0,0.0,0.0,4.305059501837404,0.0,4.305059501837404,True,post_repair_source_only_behavior_measured,True,False,False,guarded source-only repair execution preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",runs/m1154_row15_promoted_unsafe_margin_projection_probe/checkpoints/alpha_0_05.pt,runs/m2532_engineering_controller_failure_surface_guarded_repair_execution/checkpoints/m2532_guarded_actor_head_repair.pt,True,True
m2532-engineering-controller-failure-surface-guarded-repair-execution-preflight_coast_open_loop_drift_required_recovery_seed_253302,m2523_coast_open_loop_drift_required_recovery_seed_253302,m2528_failure_surface_intervention_candidate_v0,dc72620e8cd608982ab1445dda034536fd1bb1a029eabd794cd3dcbf6b501dd0,reference_coast_open_loop,reference_context,reference_context,drift_required_recovery,253302,coast_open_loop,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253302,m2523_drift_required_recovery_seed_253302,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,True,,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,none,False,False,False,1.4701224833566486,1.4701224833566486,0.0,False,False,0,True,True,False,-0.4432836508468645,-0.4432836508468645,4.299920118692541,4.299920118692541,0.0,0.0,0.0,0.0,0.0,2.1499600593462707,0.0,2.1499600593462707,True,post_repair_source_only_behavior_measured,True,False,False,guarded source-only repair execution preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",runs/m1154_row15_promoted_unsafe_margin_projection_probe/checkpoints/alpha_0_05.pt,runs/m2532_engineering_controller_failure_surface_guarded_repair_execution/checkpoints/m2532_guarded_actor_head_repair.pt,True,True
m2532-engineering-controller-failure-surface-guarded-repair-execution-preflight_coast_open_loop_drift_required_recovery_seed_253303,m2523_coast_open_loop_drift_required_recovery_seed_253303,m2528_failure_surface_intervention_candidate_v0,dc72620e8cd608982ab1445dda034536fd1bb1a029eabd794cd3dcbf6b501dd0,reference_coast_open_loop,reference_context,reference_context,drift_required_recovery,253303,coast_open_loop,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253303,m2523_drift_required_recovery_seed_253303,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,True,,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,none,False,False,False,1.7968763066744473,1.7968763066744473,0.0,False,False,0,True,True,False,-0.6045067991630666,-0.6045067991630666,5.855703709074482,5.855703709074482,0.0,0.0,0.0,0.0,0.0,2.927851854537241,0.0,2.927851854537241,True,post_repair_source_only_behavior_measured,True,False,False,guarded source-only repair execution preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",runs/m1154_row15_promoted_unsafe_margin_projection_probe/checkpoints/alpha_0_05.pt,runs/m2532_engineering_controller_failure_surface_guarded_repair_execution/checkpoints/m2532_guarded_actor_head_repair.pt,True,True
m2532-engineering-controller-failure-surface-guarded-repair-execution-preflight_coast_open_loop_drift_required_recovery_seed_253304,m2523_coast_open_loop_drift_required_recovery_seed_253304,m2528_failure_surface_intervention_candidate_v0,dc72620e8cd608982ab1445dda034536fd1bb1a029eabd794cd3dcbf6b501dd0,reference_coast_open_loop,reference_context,reference_context,drift_required_recovery,253304,coast_open_loop,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253304,m2523_drift_required_recovery_seed_253304,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,True,,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,none,False,False,False,1.4140719982604018,1.4140719982604018,0.0,False,False,0,True,True,False,-1.5533256061343388,-1.5533256061343388,15.807114548723098,15.807114548723098,0.0,0.0,0.0,0.0,0.0,7.903557274361549,0.0,7.903557274361549,True,post_repair_source_only_behavior_measured,True,False,False,guarded source-only repair execution preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",runs/m1154_row15_promoted_unsafe_margin_projection_probe/checkpoints/alpha_0_05.pt,runs/m2532_engineering_controller_failure_surface_guarded_repair_execution/checkpoints/m2532_guarded_actor_head_repair.pt,True,True
m2532-engineering-controller-failure-surface-guarded-repair-execution-preflight_coast_open_loop_stable_aes_seed_252300,m2523_coast_open_loop_stable_aes_seed_252300,m2528_failure_surface_intervention_candidate_v0,dc72620e8cd608982ab1445dda034536fd1bb1a029eabd794cd3dcbf6b501dd0,reference_coast_open_loop,reference_context,reference_context,stable_aes,252300,coast_open_loop,hf0_four_wheel_stable_aes_fixture_fresh_seed_252300,m2523_stable_aes_seed_252300,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,True,,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,none,False,False,False,2.0196200263195054,2.0196200263195054,0.0,False,False,0,True,True,False,-1.0329833925553105,-1.0329833925553105,8.959751563921698,8.959751563921698,0.0,0.0,0.0,0.0,0.0,4.479875781960849,0.0,4.479875781960849,True,post_repair_source_only_behavior_measured,True,False,False,guarded source-only repair execution preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",runs/m1154_row15_promoted_unsafe_margin_projection_probe/checkpoints/alpha_0_05.pt,runs/m2532_engineering_controller_failure_surface_guarded_repair_execution/checkpoints/m2532_guarded_actor_head_repair.pt,True,True
m2532-engineering-controller-failure-surface-guarded-repair-execution-preflight_coast_open_loop_stable_aes_seed_252301,m2523_coast_open_loop_stable_aes_seed_252301,m2528_failure_surface_intervention_candidate_v0,dc72620e8cd608982ab1445dda034536fd1bb1a029eabd794cd3dcbf6b501dd0,reference_coast_open_loop,reference_context,reference_context,stable_aes,252301,coast_open_loop,hf0_four_wheel_stable_aes_fixture_fresh_seed_252301,m2523_stable_aes_seed_252301,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,True,,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,none,False,False,False,1.9084455143227674,1.9084455143227674,0.0,False,False,0,True,True,False,-0.7261272683885885,-0.7261272683885885,6.643027357866672,6.643027357866672,0.0,0.0,0.0,0.0,0.0,3.321513678933336,0.0,3.321513678933336,True,post_repair_source_only_behavior_measured,True,False,False,guarded source-only repair execution preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",runs/m1154_row15_promoted_unsafe_margin_projection_probe/checkpoints/alpha_0_05.pt,runs/m2532_engineering_controller_failure_surface_guarded_repair_execution/checkpoints/m2532_guarded_actor_head_repair.pt,True,True
m2532-engineering-controller-failure-surface-guarded-repair-execution-preflight_coast_open_loop_stable_aes_seed_252302,m2523_coast_open_loop_stable_aes_seed_252302,m2528_failure_surface_intervention_candidate_v0,dc72620e8cd608982ab1445dda034536fd1bb1a029eabd794cd3dcbf6b501dd0,reference_coast_open_loop,reference_context,reference_context,stable_aes,252302,coast_open_loop,hf0_four_wheel_stable_aes_fixture_fresh_seed_252302,m2523_stable_aes_seed_252302,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,True,,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,none,False,False,False,1.8303346994712548,1.8303346994712548,0.0,False,False,0,True,True,False,-1.5230051552898347,-1.5230051552898347,13.708387702280207,13.708387702280207,0.0,0.0,0.0,0.0,0.0,6.854193851140104,0.0,6.854193851140104,True,post_repair_source_only_behavior_measured,True,False,False,guarded source-only repair execution preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",runs/m1154_row15_promoted_unsafe_margin_projection_probe/checkpoints/alpha_0_05.pt,runs/m2532_engineering_controller_failure_surface_guarded_repair_execution/checkpoints/m2532_guarded_actor_head_repair.pt,True,True
m2532-engineering-controller-failure-surface-guarded-repair-execution-preflight_coast_open_loop_stable_aes_seed_252303,m2523_coast_open_loop_stable_aes_seed_252303,m2528_failure_surface_intervention_candidate_v0,dc72620e8cd608982ab1445dda034536fd1bb1a029eabd794cd3dcbf6b501dd0,reference_coast_open_loop,reference_context,reference_context,stable_aes,252303,coast_open_loop,hf0_four_wheel_stable_aes_fixture_fresh_seed_252303,m2523_stable_aes_seed_252303,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,True,,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,none,False,False,False,1.728127040731997,1.728127040731997,0.0,False,False,0,True,True,False,-1.627626408774979,-1.627626408774979,13.527798191776323,13.527798191776323,0.0,0.0,0.0,0.0,0.0,6.763899095888162,0.0,6.763899095888162,True,post_repair_source_only_behavior_measured,True,False,False,guarded source-only repair execution preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",runs/m1154_row15_promoted_unsafe_margin_projection_probe/checkpoints/alpha_0_05.pt,runs/m2532_engineering_controller_failure_surface_guarded_repair_execution/checkpoints/m2532_guarded_actor_head_repair.pt,True,True
m2532-engineering-controller-failure-surface-guarded-repair-execution-preflight_coast_open_loop_stable_aes_seed_252304,m2523_coast_open_loop_stable_aes_seed_252304,m2528_failure_surface_intervention_candidate_v0,dc72620e8cd608982ab1445dda034536fd1bb1a029eabd794cd3dcbf6b501dd0,reference_coast_open_loop,reference_context,reference_context,stable_aes,252304,coast_open_loop,hf0_four_wheel_stable_aes_fixture_fresh_seed_252304,m2523_stable_aes_seed_252304,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,True,,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,none,False,False,False,2.007525516622462,2.007525516622462,0.0,False,False,0,True,True,False,-1.5892689148772452,-1.5892689148772452,13.240977417270082,13.240977417270082,0.0,0.0,0.0,0.0,0.0,6.620488708635041,0.0,6.620488708635041,True,post_repair_source_only_behavior_measured,True,False,False,guarded source-only repair execution preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",runs/m1154_row15_promoted_unsafe_margin_projection_probe/checkpoints/alpha_0_05.pt,runs/m2532_engineering_controller_failure_surface_guarded_repair_execution/checkpoints/m2532_guarded_actor_head_repair.pt,True,True
