training_objective_row_id,source_curriculum_row_id,role_family,dynamics_axis,stress_family,training_seeds_requested,proof_seeds_requested,behavior_retention_seed_count,future_training_allowed,future_execution_allowed,actor_visible_label,mitigation_reference_context_only,ranking_admissible,obstacle_clearance_guard_required,road_margin_objective_allowed,yaw_rate_objective_allowed,final_speed_guard_required,throttle_brake_conflict_guard_required,action_delta_diagnostic_only,claim_boundary
m2791_objective_000,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_001,m2779_curriculum_previous_command_history_stress_drift_required_recovery_fresh_fault_delay_noise,drift_required_recovery,fresh_fault_delay_noise,previous_command_history_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_002,m2779_curriculum_recurrent_hidden_reset_stress_drift_required_recovery_fresh_fault_delay_noise,drift_required_recovery,fresh_fault_delay_noise,recurrent_hidden_reset_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_003,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_nominal_or_role_default,drift_required_recovery,fresh_nominal_or_role_default,held_actuator_history_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_004,m2779_curriculum_previous_command_history_stress_drift_required_recovery_fresh_nominal_or_role_default,drift_required_recovery,fresh_nominal_or_role_default,previous_command_history_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_005,m2779_curriculum_recurrent_hidden_reset_stress_drift_required_recovery_fresh_nominal_or_role_default,drift_required_recovery,fresh_nominal_or_role_default,recurrent_hidden_reset_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_006,m2779_curriculum_held_actuator_history_stress_stable_aes_fresh_fault_delay_noise,stable_aes,fresh_fault_delay_noise,held_actuator_history_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_007,m2779_curriculum_previous_command_history_stress_stable_aes_fresh_fault_delay_noise,stable_aes,fresh_fault_delay_noise,previous_command_history_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_008,m2779_curriculum_recurrent_hidden_reset_stress_stable_aes_fresh_fault_delay_noise,stable_aes,fresh_fault_delay_noise,recurrent_hidden_reset_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_009,m2779_curriculum_held_actuator_history_stress_stable_aes_fresh_nominal_or_role_default,stable_aes,fresh_nominal_or_role_default,held_actuator_history_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_010,m2779_curriculum_previous_command_history_stress_stable_aes_fresh_nominal_or_role_default,stable_aes,fresh_nominal_or_role_default,previous_command_history_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_011,m2779_curriculum_recurrent_hidden_reset_stress_stable_aes_fresh_nominal_or_role_default,stable_aes,fresh_nominal_or_role_default,recurrent_hidden_reset_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_012,m2779_curriculum_held_actuator_history_stress_stable_avoidable_fresh_fault_delay_noise,stable_avoidable,fresh_fault_delay_noise,held_actuator_history_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_013,m2779_curriculum_previous_command_history_stress_stable_avoidable_fresh_fault_delay_noise,stable_avoidable,fresh_fault_delay_noise,previous_command_history_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_014,m2779_curriculum_recurrent_hidden_reset_stress_stable_avoidable_fresh_fault_delay_noise,stable_avoidable,fresh_fault_delay_noise,recurrent_hidden_reset_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_015,m2779_curriculum_held_actuator_history_stress_stable_avoidable_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,held_actuator_history_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_016,m2779_curriculum_previous_command_history_stress_stable_avoidable_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,previous_command_history_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
m2791_objective_017,m2779_curriculum_recurrent_hidden_reset_stress_stable_avoidable_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,recurrent_hidden_reset_stress,3,2,4,True,True,False,False,False,True,True,True,True,True,True,Route A source-only belief-stress guardrailed multi-objective training/update preflight only
