distribution,env_config,seed,policy_label,checkpoint,ablation,run_dir,episodes,success_rate,termination_rate,min_clearance_margin_mean,min_clearance_margin_min,return_mean,collision_rate,obstacle_completed_rate,truncated_rate
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m399_base,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_15.pt,none,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/behavior_evals/behavior/seed9505_m399_base_none,80,0.8625,0.1375,1.834064900089151,-0.14728404350920332,65.96291066207293,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m964_direction_target_a0_15,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,none,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/behavior_evals/behavior/seed9505_m964_direction_target_a0_15_none,80,0.8625,0.1375,1.8341798305426678,-0.14684178670660808,65.95097745425979,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m964_direction_target_a0_15,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,reset_recurrent_state,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/behavior_evals/behavior/seed9505_m964_direction_target_a0_15_reset_recurrent_state,80,0.85,0.15,1.8330441060451896,-0.16913445904749702,64.0578685327257,0.125,0.85,0.85
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m964_direction_target_a0_15,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,zero_all_response,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/behavior_evals/behavior/seed9505_m964_direction_target_a0_15_zero_all_response,80,0.8,0.2,1.8517994556080724,-0.1445614982146326,61.10204736760869,0.125,0.8,0.8
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m399_base,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_15.pt,none,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/behavior_evals/behavior/seed9506_m399_base_none,80,0.8625,0.1375,1.8514211316093365,-0.14728404350920332,66.24090985662356,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m964_direction_target_a0_15,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,none,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/behavior_evals/behavior/seed9506_m964_direction_target_a0_15_none,80,0.8625,0.1375,1.8515292357989324,-0.14684178670660808,66.22893708657178,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m964_direction_target_a0_15,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,reset_recurrent_state,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/behavior_evals/behavior/seed9506_m964_direction_target_a0_15_reset_recurrent_state,80,0.85,0.15,1.8492790781087087,-0.16913445904749702,64.34809987182517,0.125,0.85,0.85
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m964_direction_target_a0_15,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,zero_all_response,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/behavior_evals/behavior/seed9506_m964_direction_target_a0_15_zero_all_response,80,0.8,0.2,1.8695770725618446,-0.1445614982146326,61.36604337914351,0.125,0.8,0.8
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103930,m399_base,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_15.pt,none,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/behavior_evals/behavior/seed103930_m399_base_none,80,0.8375,0.1625,1.752589866143604,-0.1309883210493188,66.87850046216026,0.1625,0.8375,0.8375
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103930,m964_direction_target_a0_15,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,none,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/behavior_evals/behavior/seed103930_m964_direction_target_a0_15_none,80,0.8375,0.1625,1.75284582956732,-0.13071183513121198,66.88460961039978,0.1625,0.8375,0.8375
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103930,m964_direction_target_a0_15,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,reset_recurrent_state,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/behavior_evals/behavior/seed103930_m964_direction_target_a0_15_reset_recurrent_state,80,0.8125,0.1875,1.7462815332324824,-0.20496184496725567,63.24744630366905,0.1875,0.8125,0.8125
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103930,m964_direction_target_a0_15,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,zero_all_response,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/behavior_evals/behavior/seed103930_m964_direction_target_a0_15_zero_all_response,80,0.8,0.2,1.7692695195355177,-0.1979798265395869,62.111321223663865,0.1875,0.8,0.8
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103931,m399_base,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_15.pt,none,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/behavior_evals/behavior/seed103931_m399_base_none,80,0.825,0.175,1.7192005793711989,-0.1309883210493188,65.9579412091784,0.175,0.825,0.825
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103931,m964_direction_target_a0_15,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,none,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/behavior_evals/behavior/seed103931_m964_direction_target_a0_15_none,80,0.825,0.175,1.719470531015724,-0.13071183513121198,65.95776427190967,0.175,0.825,0.825
