slice_kind,dominance_type,episode_count,success_count,collision_count,offtrack_outcome_count,success_rate,collision_rate,offtrack_outcome_rate,support_label,profile_name,panel_task_family,source_kind,proxy_template_family,generated_source_row,materialization_semantics,paper_validity_claim
outcome_by_profile,collision,96,5,90,1,0.052083333333333336,0.9375,0.010416666666666666,weak_support,L0_current_masked,,,,,,
outcome_by_profile,collision,96,6,90,0,0.0625,0.9375,0.0,weak_support,L1_one_step,,,,,,
outcome_by_profile,collision,96,2,71,23,0.020833333333333332,0.7395833333333334,0.23958333333333334,weak_support,L2_window_50,,,,,,
outcome_by_profile,collision,96,16,80,0,0.16666666666666666,0.8333333333333334,0.0,weak_support,L3_online_gru,,,,,,
outcome_by_profile,collision,96,12,84,0,0.125,0.875,0.0,weak_support,L3_reset_control_corrected,,,,,,
outcome_by_family,collision,120,5,108,7,0.041666666666666664,0.9,0.058333333333333334,weak_support,,T3_active_diagnostic_warmup,,,,,
outcome_by_family,collision,180,17,155,8,0.09444444444444444,0.8611111111111112,0.044444444444444446,weak_support,,T4_variable_diagnostic_delay,,,,,
outcome_by_family,collision,180,19,152,9,0.10555555555555556,0.8444444444444444,0.05,weak_support,,T5_terminal_boundary_near_constraint,,,,,
outcome_by_source_kind,collision,30,1,29,0,0.03333333333333333,0.9666666666666667,0.0,weak_support,,,actuator_delay_terminal_boundary,,,,
outcome_by_source_kind,collision,30,0,30,0,0.0,1.0,0.0,no_support,,,delayed_obstacle_reveal_response,,,,
outcome_by_source_kind,collision,30,1,29,0,0.03333333333333333,0.9666666666666667,0.0,weak_support,,,late_terminal_boundary_margin,,,,
outcome_by_source_kind,collision,30,0,30,0,0.0,1.0,0.0,no_support,,,long_delay_steer_lag_evidence,,,,
outcome_by_source_kind,collision,30,7,18,5,0.23333333333333334,0.6,0.16666666666666666,weak_support,,,low_grip_terminal_boundary,,,,
outcome_by_source_kind,collision,30,9,17,4,0.3,0.5666666666666667,0.13333333333333333,weak_support,,,medium_delay_yaw_evidence,,,,
outcome_by_source_kind,collision,30,1,29,0,0.03333333333333333,0.9666666666666667,0.0,weak_support,,,mixed_dynamics_terminal_boundary,,,,
outcome_by_source_kind,collision,30,9,17,4,0.3,0.5666666666666667,0.13333333333333333,weak_support,,,near_zero_clearance_margin,,,,
outcome_by_source_kind,collision,30,1,29,0,0.03333333333333333,0.9666666666666667,0.0,weak_support,,,short_delay_brake_evidence,,,,
outcome_by_source_kind,collision,30,5,21,4,0.16666666666666666,0.7,0.13333333333333333,weak_support,,,stale_evidence_boundary_check,,,,
outcome_by_source_kind,collision,30,0,30,0,0.0,1.0,0.0,no_support,,,tight_road_terminal_boundary,,,,
outcome_by_source_kind,collision,30,2,28,0,0.06666666666666667,0.9333333333333333,0.0,weak_support,,,variable_delay_mixed_authority,,,,
outcome_by_source_kind,collision,20,0,19,1,0.0,0.95,0.05,no_support,,,warmup_brake_authority_probe,,,,
outcome_by_source_kind,collision,20,1,19,0,0.05,0.95,0.0,weak_support,,,warmup_combined_brake_steer_probe,,,,
outcome_by_source_kind,collision,20,2,15,3,0.1,0.75,0.15,weak_support,,,warmup_steering_lag_probe,,,,
outcome_by_source_kind,collision,20,1,16,3,0.05,0.8,0.15,weak_support,,,warmup_terminal_recovery_probe,,,,
