task_source_id,panel_task_family,source_kind,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
m2063-osd-osd_v0_0144_t3,T3_active_diagnostic_warmup,warmup_brake_authority_probe,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.11188186546233303,10.213407492736746,37.4,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0145_t3,T3_active_diagnostic_warmup,warmup_yaw_authority_probe,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.1056823712470956,2.761497838355141,33.0,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0146_t3,T3_active_diagnostic_warmup,warmup_steering_lag_probe,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.19772387295867686,4.162315347321152,36.4,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0147_t3,T3_active_diagnostic_warmup,warmup_throttle_release_response,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.11426210748908265,-13.92262061157552,17.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0148_t3,T3_active_diagnostic_warmup,warmup_combined_brake_steer_probe,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.05216018838391654,10.112230070144163,42.8,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0149_t3,T3_active_diagnostic_warmup,warmup_terminal_recovery_probe,outcome_by_source_family_kind,weak_support,5,1,3,1,1,0.2,0.6,0.2,0.2,0.18723956398706304,28.36537221883696,50.8,1,L3_reset_control_corrected,1,m2063-osd-osd_v0_0149_t3,True,1,3,1,1,3,1
m2063-osd-osd_v0_0150_t3,T3_active_diagnostic_warmup,warmup_brake_authority_probe,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.08886001130778812,-0.6804193684818571,30.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0151_t3,T3_active_diagnostic_warmup,warmup_yaw_authority_probe,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.10523546114263108,-5.690289171938353,25.4,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0152_t3,T3_active_diagnostic_warmup,warmup_steering_lag_probe,outcome_by_source_family_kind,weak_support,5,2,2,1,2,0.4,0.4,0.2,0.4,0.31478877521250714,37.38617191191613,60.8,2,L3_online_gru;L3_reset_control_corrected,1,m2063-osd-osd_v0_0152_t3,True,2,2,1,2,1,2
m2063-osd-osd_v0_0153_t3,T3_active_diagnostic_warmup,warmup_throttle_release_response,outcome_by_source_family_kind,weak_support,5,1,4,0,0,0.2,0.8,0.0,0.0,-0.034446274751881625,-7.382005040056659,21.8,1,L2_window_50,1,m2063-osd-osd_v0_0153_t3,True,1,4,0,0,4,1
m2063-osd-osd_v0_0154_t3,T3_active_diagnostic_warmup,warmup_combined_brake_steer_probe,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.029328282873302625,2.6377255964261543,34.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0155_t3,T3_active_diagnostic_warmup,warmup_terminal_recovery_probe,outcome_by_source_family_kind,no_support,5,0,4,1,1,0.0,0.8,0.2,0.2,0.09967239364332019,9.935938909131021,40.8,0,,0,,True,0,4,1,1,4,0
m2063-osd-osd_v0_0156_t3,T3_active_diagnostic_warmup,warmup_brake_authority_probe,outcome_by_source_family_kind,no_support,5,0,4,1,1,0.0,0.8,0.2,0.2,-0.044530686245826255,10.439112267105417,49.2,0,,0,,True,0,4,1,1,4,0
m2063-osd-osd_v0_0157_t3,T3_active_diagnostic_warmup,warmup_yaw_authority_probe,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.11354490897730077,0.0011851255408267037,30.4,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0158_t3,T3_active_diagnostic_warmup,warmup_steering_lag_probe,outcome_by_source_family_kind,no_support,5,0,4,1,1,0.0,0.8,0.2,0.2,-0.008647010120616194,9.58376679103814,41.4,0,,0,,True,0,4,1,1,4,0
m2063-osd-osd_v0_0159_t3,T3_active_diagnostic_warmup,warmup_throttle_release_response,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.07644111559247432,-10.79654861869891,20.4,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0160_t3,T3_active_diagnostic_warmup,warmup_combined_brake_steer_probe,outcome_by_source_family_kind,weak_support,5,1,4,0,0,0.2,0.8,0.0,0.0,-0.013961348897346727,25.096666379605047,41.6,1,L3_online_gru,1,m2063-osd-osd_v0_0160_t3,True,1,4,0,0,4,1
m2063-osd-osd_v0_0161_t3,T3_active_diagnostic_warmup,warmup_terminal_recovery_probe,outcome_by_source_family_kind,no_support,5,0,4,1,1,0.0,0.8,0.2,0.2,0.5993241721789149,7.891445190489047,38.2,0,,0,,True,0,4,1,1,4,0
m2063-osd-osd_v0_0162_t3,T3_active_diagnostic_warmup,warmup_brake_authority_probe,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.07932055198726129,0.35991164432827744,30.8,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0163_t3,T3_active_diagnostic_warmup,warmup_yaw_authority_probe,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.11484296799012798,-7.515054928128632,23.2,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0164_t3,T3_active_diagnostic_warmup,warmup_steering_lag_probe,outcome_by_source_family_kind,no_support,5,0,4,1,1,0.0,0.8,0.2,0.2,0.05998642174726898,27.882937084126297,59.0,0,,0,,True,0,4,1,1,4,0
m2063-osd-osd_v0_0165_t3,T3_active_diagnostic_warmup,warmup_throttle_release_response,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.07236307976435782,-18.93164268349932,12.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0166_t3,T3_active_diagnostic_warmup,warmup_combined_brake_steer_probe,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.07888064748029149,-0.6642175294429222,31.0,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0167_t3,T3_active_diagnostic_warmup,warmup_terminal_recovery_probe,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.18927768811097195,6.0889339370802675,38.4,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0168_t4,T4_variable_diagnostic_delay,short_delay_brake_evidence,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.10739220033026778,1.666005351382303,32.0,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0169_t4,T4_variable_diagnostic_delay,medium_delay_yaw_evidence,outcome_by_source_family_kind,weak_support,5,1,4,0,0,0.2,0.8,0.0,0.0,0.043508833065047714,18.637708164891873,41.4,1,L3_online_gru,1,m2063-osd-osd_v0_0169_t4,True,1,4,0,0,4,1
m2063-osd-osd_v0_0170_t4,T4_variable_diagnostic_delay,long_delay_steer_lag_evidence,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.10905851651940998,-17.722655612342894,13.8,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0171_t4,T4_variable_diagnostic_delay,variable_delay_mixed_authority,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.08859995012350134,9.556230286819963,41.0,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0172_t4,T4_variable_diagnostic_delay,stale_evidence_boundary_check,outcome_by_source_family_kind,weak_support,5,2,1,2,2,0.4,0.2,0.4,0.4,1.2776614713620007,41.799550156533385,57.2,2,L3_online_gru;L3_reset_control_corrected,1,m2063-osd-osd_v0_0172_t4,True,2,1,2,2,1,2
m2063-osd-osd_v0_0173_t4,T4_variable_diagnostic_delay,delayed_obstacle_reveal_response,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.10871575326064238,-2.289116464971586,29.8,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0174_t4,T4_variable_diagnostic_delay,short_delay_brake_evidence,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.15504802786865457,-6.233306604829411,25.0,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0175_t4,T4_variable_diagnostic_delay,medium_delay_yaw_evidence,outcome_by_source_family_kind,weak_support,5,1,4,0,0,0.2,0.8,0.0,0.0,-0.0729281747402613,35.562330555017084,58.6,1,L3_online_gru,1,m2063-osd-osd_v0_0175_t4,True,1,4,0,0,4,1
m2063-osd-osd_v0_0176_t4,T4_variable_diagnostic_delay,long_delay_steer_lag_evidence,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.09321204996907775,-4.7279646317061825,24.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0177_t4,T4_variable_diagnostic_delay,variable_delay_mixed_authority,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.06505463348005099,2.3700875248910585,33.0,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0178_t4,T4_variable_diagnostic_delay,stale_evidence_boundary_check,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.19069564543030734,5.426269038994076,36.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0179_t4,T4_variable_diagnostic_delay,delayed_obstacle_reveal_response,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.08404056057562792,9.621454613843644,38.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0180_t4,T4_variable_diagnostic_delay,short_delay_brake_evidence,outcome_by_source_family_kind,weak_support,5,1,4,0,0,0.2,0.8,0.0,0.0,-0.09694611725223146,15.555782331647801,36.2,1,L3_online_gru,1,m2063-osd-osd_v0_0180_t4,True,1,4,0,0,4,1
m2063-osd-osd_v0_0181_t4,T4_variable_diagnostic_delay,medium_delay_yaw_evidence,outcome_by_source_family_kind,weak_support,5,2,2,1,1,0.4,0.4,0.2,0.2,0.7098774677314539,39.71666661021154,55.4,2,L1_one_step;L3_reset_control_corrected,1,m2063-osd-osd_v0_0181_t4,True,2,2,1,1,2,2
m2063-osd-osd_v0_0182_t4,T4_variable_diagnostic_delay,long_delay_steer_lag_evidence,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.05260912838012129,-11.564576559457482,19.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0183_t4,T4_variable_diagnostic_delay,variable_delay_mixed_authority,outcome_by_source_family_kind,weak_support,5,1,4,0,0,0.2,0.8,0.0,0.0,0.023245735482544695,23.928044194586004,42.4,1,L1_one_step,1,m2063-osd-osd_v0_0183_t4,True,1,4,0,0,4,1
m2063-osd-osd_v0_0184_t4,T4_variable_diagnostic_delay,stale_evidence_boundary_check,outcome_by_source_family_kind,weak_support,5,2,3,0,0,0.4,0.6,0.0,0.0,0.21955600802833683,40.43301730303541,52.0,2,L0_current_masked;L3_reset_control_corrected,1,m2063-osd-osd_v0_0184_t4,True,2,3,0,0,3,2
m2063-osd-osd_v0_0185_t4,T4_variable_diagnostic_delay,delayed_obstacle_reveal_response,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.1284598077205664,-2.9278367306277198,28.0,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0186_t4,T4_variable_diagnostic_delay,short_delay_brake_evidence,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.06220283059173717,-8.175944462362123,23.4,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0187_t4,T4_variable_diagnostic_delay,medium_delay_yaw_evidence,outcome_by_source_family_kind,weak_support,5,1,3,1,1,0.2,0.6,0.2,0.2,0.33564036169148953,28.736618892883,59.0,1,L3_online_gru,1,m2063-osd-osd_v0_0187_t4,True,1,3,1,1,3,1
m2063-osd-osd_v0_0188_t4,T4_variable_diagnostic_delay,long_delay_steer_lag_evidence,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.07263661317590908,-2.1287668330855434,26.8,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0189_t4,T4_variable_diagnostic_delay,variable_delay_mixed_authority,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.08713613004649576,1.9083935973142048,32.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0190_t4,T4_variable_diagnostic_delay,stale_evidence_boundary_check,outcome_by_source_family_kind,no_support,5,0,4,1,1,0.0,0.8,0.2,0.2,-0.0234973570419031,12.711327325976365,45.6,0,,0,,True,0,4,1,1,4,0
m2063-osd-osd_v0_0191_t4,T4_variable_diagnostic_delay,delayed_obstacle_reveal_response,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.10633418834563173,12.7504081713757,41.4,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0192_t4,T4_variable_diagnostic_delay,short_delay_brake_evidence,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.05539288428181708,0.7421796222792963,29.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0193_t4,T4_variable_diagnostic_delay,medium_delay_yaw_evidence,outcome_by_source_family_kind,weak_support,5,2,2,1,1,0.4,0.4,0.2,0.2,0.8525609528671108,43.35417959064351,59.4,2,L0_current_masked;L3_online_gru,1,m2063-osd-osd_v0_0193_t4,True,2,2,1,1,2,2
m2063-osd-osd_v0_0194_t4,T4_variable_diagnostic_delay,long_delay_steer_lag_evidence,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.10173630969207323,-19.963085545046916,11.4,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0195_t4,T4_variable_diagnostic_delay,variable_delay_mixed_authority,outcome_by_source_family_kind,weak_support,5,1,4,0,0,0.2,0.8,0.0,0.0,-0.05020713282680615,24.747911896534283,43.4,1,L3_reset_control_corrected,1,m2063-osd-osd_v0_0195_t4,True,1,4,0,0,4,1
m2063-osd-osd_v0_0196_t4,T4_variable_diagnostic_delay,stale_evidence_boundary_check,outcome_by_source_family_kind,weak_support,5,1,3,1,1,0.2,0.6,0.2,0.2,0.07018675547884068,22.40090538138138,52.8,1,L3_online_gru,1,m2063-osd-osd_v0_0196_t4,True,1,3,1,1,3,1
m2063-osd-osd_v0_0197_t4,T4_variable_diagnostic_delay,delayed_obstacle_reveal_response,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.0850197251031581,-3.0416775146596224,27.8,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0198_t4,T4_variable_diagnostic_delay,short_delay_brake_evidence,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.06525556672436883,-6.921027256579204,25.0,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0199_t4,T4_variable_diagnostic_delay,medium_delay_yaw_evidence,outcome_by_source_family_kind,weak_support,5,2,2,1,1,0.4,0.4,0.2,0.2,1.1247517879102182,49.71731772855328,63.6,2,L3_online_gru;L3_reset_control_corrected,1,m2063-osd-osd_v0_0199_t4,True,2,2,1,1,2,2
m2063-osd-osd_v0_0200_t4,T4_variable_diagnostic_delay,long_delay_steer_lag_evidence,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.09657392437087946,-6.304314189791955,24.0,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0201_t4,T4_variable_diagnostic_delay,variable_delay_mixed_authority,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.07426050829315037,1.7639721496355143,33.6,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0202_t4,T4_variable_diagnostic_delay,stale_evidence_boundary_check,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.15366742491075297,1.1102546618911877,33.0,0,,0,,True,0,5,0,0,5,0
m2063-osd-osd_v0_0203_t4,T4_variable_diagnostic_delay,delayed_obstacle_reveal_response,outcome_by_source_family_kind,no_support,5,0,5,0,0,0.0,1.0,0.0,0.0,-0.0874123000637577,10.89634146938522,40.4,0,,0,,True,0,5,0,0,5,0
