workload_id,task_source_id,panel_source_id,panel_task_family,source_kind,proxy_template_family,generated_source_row,paper_validity_claim,profile_name,outcome_bucket,termination_reason,min_clearance_margin,return,steps
m2063-osd-osd_v0_0149_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0149_t3,osd_v0_0149_t3,T3_active_diagnostic_warmup,warmup_terminal_recovery_probe,t4_staged_warmup_capability,true,false,L3_reset_control_corrected,success_obstacle_pass,,1.0285673957083112,92.2862334180309,66
m2063-osd-osd_v0_0152_t3::L3_online_gru,m2063-osd-osd_v0_0152_t3,osd_v0_0152_t3,T3_active_diagnostic_warmup,warmup_steering_lag_probe,t4_staged_warmup_capability,true,false,L3_online_gru,success_obstacle_pass,,0.38289897837770726,71.14883626775006,54
m2063-osd-osd_v0_0152_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0152_t3,osd_v0_0152_t3,T3_active_diagnostic_warmup,warmup_steering_lag_probe,t4_staged_warmup_capability,true,false,L3_reset_control_corrected,success_obstacle_pass,,0.18052173622071366,73.17859285544156,54
m2063-osd-osd_v0_0153_t3::L2_window_50,m2063-osd-osd_v0_0153_t3,osd_v0_0153_t3,T3_active_diagnostic_warmup,warmup_throttle_release_response,t4_staged_warmup_capability,true,false,L2_window_50,success_obstacle_pass,,0.14026167935337464,48.29105868976748,67
m2063-osd-osd_v0_0160_t3::L3_online_gru,m2063-osd-osd_v0_0160_t3,osd_v0_0160_t3,T3_active_diagnostic_warmup,warmup_combined_brake_steer_probe,t4_staged_warmup_capability,true,false,L3_online_gru,success_obstacle_pass,,0.2487951801102526,84.66698121495648,54
m2063-osd-osd_v0_0169_t4::L3_online_gru,m2063-osd-osd_v0_0169_t4,osd_v0_0169_t4,T4_variable_diagnostic_delay,medium_delay_yaw_evidence,t4_actuator_delay_response,true,false,L3_online_gru,success_obstacle_pass,,0.6760039972164562,89.40063717044691,73
m2063-osd-osd_v0_0172_t4::L3_online_gru,m2063-osd-osd_v0_0172_t4,osd_v0_0172_t4,T4_variable_diagnostic_delay,stale_evidence_boundary_check,t4_actuator_delay_response,true,false,L3_online_gru,success_obstacle_pass,,1.1313196593796508,81.08868516786868,61
m2063-osd-osd_v0_0172_t4::L3_reset_control_corrected,m2063-osd-osd_v0_0172_t4,osd_v0_0172_t4,T4_variable_diagnostic_delay,stale_evidence_boundary_check,t4_actuator_delay_response,true,false,L3_reset_control_corrected,success_obstacle_pass,,0.7406451712770539,83.63387796066245,67
m2063-osd-osd_v0_0175_t4::L3_online_gru,m2063-osd-osd_v0_0175_t4,osd_v0_0175_t4,T4_variable_diagnostic_delay,medium_delay_yaw_evidence,t4_actuator_delay_response,true,false,L3_online_gru,success_obstacle_pass,,0.201798922697479,87.82801811286684,80
m2063-osd-osd_v0_0180_t4::L3_online_gru,m2063-osd-osd_v0_0180_t4,osd_v0_0180_t4,T4_variable_diagnostic_delay,short_delay_brake_evidence,t4_actuator_delay_response,true,false,L3_online_gru,success_obstacle_pass,,0.0915516942709993,80.9908292727989,60
m2063-osd-osd_v0_0181_t4::L1_one_step,m2063-osd-osd_v0_0181_t4,osd_v0_0181_t4,T4_variable_diagnostic_delay,medium_delay_yaw_evidence,t4_actuator_delay_response,true,false,L1_one_step,success_obstacle_pass,,1.3737414875918201,80.21426716519483,70
m2063-osd-osd_v0_0181_t4::L3_reset_control_corrected,m2063-osd-osd_v0_0181_t4,osd_v0_0181_t4,T4_variable_diagnostic_delay,medium_delay_yaw_evidence,t4_actuator_delay_response,true,false,L3_reset_control_corrected,success_obstacle_pass,,0.251286113399922,77.18657428423663,64
m2063-osd-osd_v0_0183_t4::L1_one_step,m2063-osd-osd_v0_0183_t4,osd_v0_0183_t4,T4_variable_diagnostic_delay,variable_delay_mixed_authority,t4_actuator_delay_response,true,false,L1_one_step,success_obstacle_pass,,0.41301043159027184,78.1072733735428,61
m2063-osd-osd_v0_0184_t4::L0_current_masked,m2063-osd-osd_v0_0184_t4,osd_v0_0184_t4,T4_variable_diagnostic_delay,stale_evidence_boundary_check,t4_actuator_delay_response,true,false,L0_current_masked,success_obstacle_pass,,1.1979296318660033,70.37356806986514,52
m2063-osd-osd_v0_0184_t4::L3_reset_control_corrected,m2063-osd-osd_v0_0184_t4,osd_v0_0184_t4,T4_variable_diagnostic_delay,stale_evidence_boundary_check,t4_actuator_delay_response,true,false,L3_reset_control_corrected,success_obstacle_pass,,0.19300122585263146,94.89215482685783,74
