profile_name,episode_count,success_rate,collision_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite
L0_current_masked,80,0.1125,0.275,15.189543009779765,5.345950174083014,21.325,True
L1_one_step,80,0.1125,0.2625,15.065336650931851,6.230776600039876,21.7125,True
L2_window_100,80,0.0,0.275,16.478108108219438,-0.5521087238279233,18.4,True
L2_window_100_current_tiled,80,0.0,0.275,16.332365651565546,-0.6108242211265592,18.5125,True
L2_window_13,80,0.0,0.275,16.480552665801206,-0.5984653323545286,18.4,True
L2_window_13_current_tiled,80,0.0,0.2875,16.44076439644457,-0.29060157089158645,18.3625,True
L2_window_25,80,0.0,0.3,16.362957351444372,-0.650740946713561,18.55,True
L2_window_25_current_tiled,80,0.0,0.275,16.576335794687406,-0.32587329729860953,18.2,True
L2_window_50,80,0.0,0.275,16.452884616190893,-0.2803848724273467,18.45,True
L2_window_50_current_tiled,80,0.0,0.275,16.609849557128264,-0.3548267185261457,18.15,True
L3_online_gru,80,0.1375,0.275,15.153182762891186,8.737887029256367,20.95,True
L3_reset_control_corrected,80,0.1375,0.2625,15.116801162706574,8.71254444446079,21.05,True
