seed,policy,steps,terminated,truncated,mu,initial_mu,mass,mass_scale,inertia_scale,cg_shift,tire_stiffness_scale,brake_scale,drive_scale,steer_tau_scale,drive_tau_scale,friction_step_at,friction_step_applied,obstacle_enabled,obstacle_label,collision,obstacle_completed,min_obstacle_clearance,obstacle_collision_radius,min_clearance_margin,termination_reason,obstacle_passed_raw,completion_reason,outcome_bucket,return,mean_reward,lateral_rmse,lateral_peak,beta_abs_error_mean,beta_abs_peak,high_sideslip_fraction,speed_mean,action_rate_mean,plan_horizon,plan_action_rate_mean,plan_first_action_error_mean,dt,track_width,first_obstacle_pass_step,first_obstacle_pass_time_s,first_recovery_step,first_recovery_time_s,recovery_success,recovery_time_proxy,max_abs_beta,max_abs_yaw_rate,drift_used,controlled_drift_recovery_success,impact_speed_proxy,impact_beta_abs,impact_yaw_rate_abs,impact_severity_proxy,collision_mitigation_score,max_off_track_overshoot,time_to_first_off_track_s,off_track_severity_proxy,left_curve_steps,left_curve_lateral_rmse,left_curve_beta_abs_error_mean,left_curve_speed_mean,left_curve_reward_mean,right_curve_steps,right_curve_lateral_rmse,right_curve_beta_abs_error_mean,right_curve_speed_mean,right_curve_reward_mean,near_zero_steps,near_zero_lateral_rmse,near_zero_beta_abs_error_mean,near_zero_speed_mean,near_zero_reward_mean,workload_id,task_source_id,candidate_source_id,repair_candidate_id,repair_axis,repair_source_kind,selection_quota_name,source_role_semantics,parent_feasibility_tier_id,parent_surface_variant,normalized_surface_variant,source_split,base_geometry_source,representative_cell_rule,profile_name,profile_config_path,checkpoint_path,source_v1_bounded_panel_spec_id,source_scenario_spec_id,speed_ref,friction_step_enabled,obstacle_distance,obstacle_half_width,threshold_score,time_to_obstacle,time_after_friction_step,preflight_sampled_obstacle_label,eval_seed,success,task_quality_calibrated_measured_execution,environment_rollout_started,policy_action_executed,measured_rollout_started,training_started,replay_started,ppo_used,promoted,private_holdout_used,actor_input_contract_changed,profile_specific_tuning,controller_family_ranking_claim_made,paper_level_claim_made,level3_self_id_claim_made,sampled_obstacle_label
200900,checkpoint,19,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,41.28111214368115,1.5,39.78111214368115,off_track,False,off_track,off_track_noncollision_noncompletion,8.614558263919378,0.4533978033641778,3.251228262788336,6.27075603657557,0.15302472443845022,0.6254792271493477,0.47368421052631576,17.606685824017074,0.005642341915518045,1,nan,nan,0.05,6.25,nan,nan,nan,nan,False,nan,0.6254792271493477,0.8768191165368278,True,False,nan,nan,nan,nan,0.0,0.02075603657556968,0.9500000000000001,0.02075603657556968,19,3.251228262788336,0.15302472443845022,17.606685824017074,0.4533978033641778,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief::L0_current_masked,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,offtrack_anchor_relief,stable_aeb,tier_c_boundary_near_miss,,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L0_current_masked,runs/m1674_controller_family_one_seed_public_pilot/configs/L0_current_masked_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L0_current_masked/seed_167400/checkpoint.pt,,,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,200900,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
200901,checkpoint,21,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,True,True,aeb_feasible,False,False,39.66439753353031,1.5,38.16439753353031,off_track,False,off_track,off_track_noncollision_noncompletion,8.610671056575628,0.4100319550750299,3.136563909825092,6.412777462393112,0.23241153215573152,0.652787189886284,0.47619047619047616,17.547777458005196,0.0052171675488352776,1,nan,nan,0.05,6.25,nan,nan,nan,nan,False,nan,0.652787189886284,0.8593136116108337,True,False,nan,nan,nan,nan,0.0,0.16277746239311242,1.05,0.16277746239311242,21,3.136563909825092,0.23241153215573152,17.547777458005196,0.4100319550750299,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief::L1_one_step,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,offtrack_anchor_relief,stable_aeb,tier_c_boundary_near_miss,,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L1_one_step,runs/m1674_controller_family_one_seed_public_pilot/configs/L1_one_step_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L1_one_step/seed_167400/checkpoint.pt,,,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,200901,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
200902,checkpoint,18,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,41.73367310499299,1.5,40.23367310499299,off_track,False,off_track,off_track_noncollision_noncompletion,2.4559469927320037,0.13644149959622243,3.076303802400922,6.449287486213837,0.5309984566628058,0.13949624825421522,0.0,18.11348278075799,0.008997865952551365,1,nan,nan,0.05,6.25,nan,nan,nan,nan,False,nan,0.13949624825421522,0.8402402167508021,False,False,nan,nan,nan,nan,0.0,0.19928748621383718,0.9,0.19928748621383718,18,3.076303802400922,0.5309984566628058,18.11348278075799,0.13644149959622243,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief::L2_window_100,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,offtrack_anchor_relief,stable_aeb,tier_c_boundary_near_miss,,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_100,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_100_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_100/seed_167400/checkpoint.pt,,,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,200902,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
200903,checkpoint,18,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,41.66655818538647,1.5,40.16655818538647,off_track,False,off_track,off_track_noncollision_noncompletion,3.8980355006515643,0.2165575278139758,3.12115027868882,6.4441341741302764,0.45166368911967847,0.14278198628364472,0.0,18.168974295508058,0.013252396136522293,1,nan,nan,0.05,6.25,nan,nan,nan,nan,False,nan,0.14278198628364472,0.8317560613030264,False,False,nan,nan,nan,nan,0.0,0.19413417413027645,0.9,0.19413417413027645,18,3.12115027868882,0.45166368911967847,18.168974295508058,0.2165575278139758,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief::L2_window_100_current_tiled,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,offtrack_anchor_relief,stable_aeb,tier_c_boundary_near_miss,,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_100_current_tiled,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_100_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_100_current_tiled/seed_167400/checkpoint.pt,,,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,200903,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
200904,checkpoint,19,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,40.81530382889645,1.5,39.31530382889645,off_track,False,off_track,off_track_noncollision_noncompletion,1.5176100406616428,0.07987421266640225,3.341148474605784,6.834364080444029,0.521344211664854,0.16866384812059015,0.0,18.099461343265887,0.009701602160930634,1,nan,nan,0.05,6.25,nan,nan,nan,nan,False,nan,0.16866384812059015,0.8310364656401359,False,False,nan,nan,nan,nan,0.0,0.5843640804440291,0.9500000000000001,0.5843640804440291,19,3.341148474605784,0.521344211664854,18.099461343265887,0.07987421266640225,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief::L2_window_13,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,offtrack_anchor_relief,stable_aeb,tier_c_boundary_near_miss,,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_13,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_13_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_13/seed_167400/checkpoint.pt,,,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,200904,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
200905,checkpoint,18,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,41.66159517803522,1.5,40.16159517803522,off_track,False,off_track,off_track_noncollision_noncompletion,5.2076095079047295,0.28931163932804055,3.230018644341847,6.551308741094807,0.2834769983285022,0.1633172663291057,0.0,18.17343730549537,0.013117307797074318,1,nan,nan,0.05,6.25,nan,nan,nan,nan,False,nan,0.1633172663291057,0.8315652033170917,False,False,nan,nan,nan,nan,0.0,0.30130874109480743,0.9,0.30130874109480743,18,3.230018644341847,0.2834769983285022,18.17343730549537,0.28931163932804055,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief::L2_window_13_current_tiled,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,offtrack_anchor_relief,stable_aeb,tier_c_boundary_near_miss,,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_13_current_tiled,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_13_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_13_current_tiled/seed_167400/checkpoint.pt,,,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,200905,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
200906,checkpoint,18,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,41.72155539614522,1.5,40.22155539614522,off_track,False,off_track,off_track_noncollision_noncompletion,5.875044352020634,0.32639135289003524,3.129953764046337,6.336202598117499,0.2908850551203049,0.16459232410598523,0.0,18.09589883699029,0.009645752608776093,1,nan,nan,0.05,6.25,nan,nan,nan,nan,False,nan,0.16459232410598523,0.8305161657193649,False,False,nan,nan,nan,nan,0.0,0.08620259811749875,0.9,0.08620259811749875,18,3.129953764046337,0.2908850551203049,18.09589883699029,0.32639135289003524,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief::L2_window_25,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,offtrack_anchor_relief,stable_aeb,tier_c_boundary_near_miss,,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_25,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_25_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_25/seed_167400/checkpoint.pt,,,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,200906,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
200907,checkpoint,19,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,40.75016814661926,1.5,39.25016814661926,off_track,False,off_track,off_track_noncollision_noncompletion,2.4830634205058666,0.1306875484476772,3.404343123757347,6.87022368924703,0.4654036251238873,0.19444900325741982,0.0,18.171019000918882,0.012221042066812515,1,nan,nan,0.05,6.25,nan,nan,nan,nan,False,nan,0.19444900325741982,0.8313891814832446,False,False,nan,nan,nan,nan,0.0,0.6202236892470303,0.9500000000000001,0.6202236892470303,19,3.404343123757347,0.4654036251238873,18.171019000918882,0.1306875484476772,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief::L2_window_25_current_tiled,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,offtrack_anchor_relief,stable_aeb,tier_c_boundary_near_miss,,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_25_current_tiled,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_25_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_25_current_tiled/seed_167400/checkpoint.pt,,,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,200907,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
200908,checkpoint,22,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,True,True,aeb_feasible,False,False,38.43875730690581,1.5,36.93875730690581,off_track,False,off_track,off_track_noncollision_noncompletion,7.988386958386242,0.3631084981084655,3.2029057997272776,6.813111866034163,0.30794962449762725,0.3689326647827309,0.13636363636363635,17.93057116645338,0.005210208240896463,1,nan,nan,0.05,6.25,nan,nan,nan,nan,False,nan,0.3689326647827309,0.8304047095897589,True,False,nan,nan,nan,nan,0.0,0.5631118660341627,1.1,0.5631118660341627,22,3.2029057997272776,0.30794962449762725,17.93057116645338,0.3631084981084655,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief::L2_window_50,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,offtrack_anchor_relief,stable_aeb,tier_c_boundary_near_miss,,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_50,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_50_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50/seed_167400/checkpoint.pt,,,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,200908,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
200909,checkpoint,17,True,False,0.4,0.4,1450.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,False,True,aeb_feasible,False,False,42.58751970397429,1.5,41.08751970397429,off_track,False,off_track,off_track_noncollision_noncompletion,0.5810898544916427,0.03418175614656722,3.3078148776227665,6.463126399175259,0.6025959081470454,0.12080310088042102,0.0,18.17015111613088,0.012945996597409248,1,nan,nan,0.05,6.25,nan,nan,nan,nan,False,nan,0.12080310088042102,0.834114097132658,False,False,nan,nan,nan,nan,0.0,0.213126399175259,0.8500000000000001,0.213126399175259,17,3.3078148776227665,0.6025959081470454,18.17015111613088,0.03418175614656722,0,nan,nan,nan,nan,0,nan,nan,nan,nan,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief::L2_window_50_current_tiled,tqcos_exec_v0_0000_cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,offtrack_anchor_relief,stable_aeb,tier_c_boundary_near_miss,,post_friction_step,public_debug,m1950_calibrated_anchor_fallback::post_friction_step,stable_aeb_max_threshold_then_farther_distance,L2_window_50_current_tiled,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_50_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50_current_tiled/seed_167400/checkpoint.pt,,,18.0,True,58.0,0.6,3.753207407407408,3.2222222222222223,2.2222222222222223,aeb_feasible,200909,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,aeb_feasible
