seed_panel_id,role_family,seed_index,seed,base_fixture_id,fixture_id,surface_id,fixture_variant_digest,initial_state_digest,fault_scale_digest,road_digest,obstacle_digest,role_metadata_only,seed_metadata_only,hidden_diagnostics_metadata_only,actor_input_contract_changed,variant_reason,dynamics_axis_id,dynamics_axis_family,axis_index,source_only_fault_axis_applied,delay_noise_diagnostic_metadata_only
m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,stable_avoidable,0,264100,m2641_source_only_stable_avoidable_base,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,source_only_four_wheel_hf0,71f9f812cccef278,6d46ffc5e3655c11,0beefab59b50c924,7b25970f150a44a0,d0a11fd16c84877a,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_stable_avoidable_seed_264100_fresh_fault_delay_noise,stable_avoidable,0,264100,m2641_source_only_stable_avoidable_base,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_fault_delay_noise,source_only_four_wheel_hf0,ad24561d4f063e38,6d46ffc5e3655c11,31ae3344361105ee,7b25970f150a44a0,d0a11fd16c84877a,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
m2641_stable_avoidable_seed_264101_fresh_nominal_or_role_default,stable_avoidable,1,264101,m2641_source_only_stable_avoidable_base,m2641_source_only_stable_avoidable_base_fresh_seed_264101_axis_nominal,source_only_four_wheel_hf0,a1af04592325b6c3,3b65400061ddc049,344084e868740971,4ff048d662b97967,ba116a596028c6e4,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_stable_avoidable_seed_264101_fresh_fault_delay_noise,stable_avoidable,1,264101,m2641_source_only_stable_avoidable_base,m2641_source_only_stable_avoidable_base_fresh_seed_264101_axis_fault_delay_noise,source_only_four_wheel_hf0,6bb041061ab51705,3b65400061ddc049,95d2e0fa730427a2,4ff048d662b97967,ba116a596028c6e4,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
m2641_stable_avoidable_seed_264102_fresh_nominal_or_role_default,stable_avoidable,2,264102,m2641_source_only_stable_avoidable_base,m2641_source_only_stable_avoidable_base_fresh_seed_264102_axis_nominal,source_only_four_wheel_hf0,02ca33ba8652bbeb,46cf2b123a4b1bb4,c67bcae60563249b,47a045074331302e,3a0693714c352b26,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_stable_avoidable_seed_264102_fresh_fault_delay_noise,stable_avoidable,2,264102,m2641_source_only_stable_avoidable_base,m2641_source_only_stable_avoidable_base_fresh_seed_264102_axis_fault_delay_noise,source_only_four_wheel_hf0,fd1cde7e95512554,46cf2b123a4b1bb4,0a013cfbc88cc8af,47a045074331302e,3a0693714c352b26,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
m2641_stable_avoidable_seed_264103_fresh_nominal_or_role_default,stable_avoidable,3,264103,m2641_source_only_stable_avoidable_base,m2641_source_only_stable_avoidable_base_fresh_seed_264103_axis_nominal,source_only_four_wheel_hf0,5c4f7f3db96700ff,a0b054f504e53b89,8cad6f406fb10713,f98e56e0093402b4,b65c81a587207132,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_stable_avoidable_seed_264103_fresh_fault_delay_noise,stable_avoidable,3,264103,m2641_source_only_stable_avoidable_base,m2641_source_only_stable_avoidable_base_fresh_seed_264103_axis_fault_delay_noise,source_only_four_wheel_hf0,8cfbaa974d2079c8,a0b054f504e53b89,2fbc6af3ab887108,f98e56e0093402b4,b65c81a587207132,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
m2641_stable_aes_seed_265100_fresh_nominal_or_role_default,stable_aes,0,265100,hf0_four_wheel_stable_aes_fixture,hf0_four_wheel_stable_aes_fixture_fresh_seed_265100_axis_nominal,source_only_four_wheel_hf0,fcd8c9c527ee5c45,e4db6a3483f9c8b5,fc0b82c2ccde7f9f,98d72f15c1f7dbad,f5967cb63815b4c0,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_stable_aes_seed_265100_fresh_fault_delay_noise,stable_aes,0,265100,hf0_four_wheel_stable_aes_fixture,hf0_four_wheel_stable_aes_fixture_fresh_seed_265100_axis_fault_delay_noise,source_only_four_wheel_hf0,23e8ab4598527aa3,e4db6a3483f9c8b5,0b66f79eebe7113a,98d72f15c1f7dbad,f5967cb63815b4c0,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
m2641_stable_aes_seed_265101_fresh_nominal_or_role_default,stable_aes,1,265101,hf0_four_wheel_stable_aes_fixture,hf0_four_wheel_stable_aes_fixture_fresh_seed_265101_axis_nominal,source_only_four_wheel_hf0,defaf05e5eb9e6a3,6efe7f8f69e28d66,515b1d39b6d01897,db2b593f9bdbbcba,836c53c00d1a7b9d,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_stable_aes_seed_265101_fresh_fault_delay_noise,stable_aes,1,265101,hf0_four_wheel_stable_aes_fixture,hf0_four_wheel_stable_aes_fixture_fresh_seed_265101_axis_fault_delay_noise,source_only_four_wheel_hf0,21d836e366e38e43,6efe7f8f69e28d66,17e82826325117a8,db2b593f9bdbbcba,836c53c00d1a7b9d,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
m2641_stable_aes_seed_265102_fresh_nominal_or_role_default,stable_aes,2,265102,hf0_four_wheel_stable_aes_fixture,hf0_four_wheel_stable_aes_fixture_fresh_seed_265102_axis_nominal,source_only_four_wheel_hf0,4d465b40af9e91bf,b6fc0eeabfbbb556,b47e97fcb068841b,2fcf31bc61becbe7,857138986627fbae,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_stable_aes_seed_265102_fresh_fault_delay_noise,stable_aes,2,265102,hf0_four_wheel_stable_aes_fixture,hf0_four_wheel_stable_aes_fixture_fresh_seed_265102_axis_fault_delay_noise,source_only_four_wheel_hf0,b8ae47428e3ecf8e,b6fc0eeabfbbb556,f2681eb749a48c68,2fcf31bc61becbe7,857138986627fbae,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
m2641_stable_aes_seed_265103_fresh_nominal_or_role_default,stable_aes,3,265103,hf0_four_wheel_stable_aes_fixture,hf0_four_wheel_stable_aes_fixture_fresh_seed_265103_axis_nominal,source_only_four_wheel_hf0,753959d72fd6ac4a,33648f46fda845da,d357ce0e7d70991d,00c62e441f490651,0af489d5559dde16,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0,False,False
m2641_stable_aes_seed_265103_fresh_fault_delay_noise,stable_aes,3,265103,hf0_four_wheel_stable_aes_fixture,hf0_four_wheel_stable_aes_fixture_fresh_seed_265103_axis_fault_delay_noise,source_only_four_wheel_hf0,5a5662e4fa977c46,33648f46fda845da,3840e52c7ecb9968,00c62e441f490651,0af489d5559dde16,True,True,True,False,m2641 source-only fresh role seed and dynamics-axis perturbation,fresh_fault_delay_noise,fresh_fault_delay_noise,1,True,True
