seed_panel_id,seed_index,seed,base_fixture_id,fresh_seed_variant_digest,comparison_subject,comparison_subject_family,fixture_id,surface_id,role_family,step_index,observation_shape,action_shape,action_steer,action_throttle,action_brake,action_finite,action_within_bounds,action_saturated,backend_status,terminated_by_backend,truncated_by_backend,diagnostic_wheel_force_count,state_x,state_y,state_psi,state_vx,state_vy,state_speed,state_yaw_rate,physical_steer,physical_throttle,physical_brake,parameterized_fixture,reset_observation_digest,policy_action,diagnostic_only,dynamics_axis_id,dynamics_axis_family,axis_index
m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,0,264100,m2641_source_only_stable_avoidable_base,71f9f812cccef278,m1154_original_policy,policy_checkpoint,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,source_only_four_wheel_hf0,stable_avoidable,0,72,3,0.9710186719894409,-0.8026703000068665,-0.5563510656356812,True,True,False,running,False,False,4,0.4289345552260208,-0.11254596770907643,-0.011814242714175607,7.009672180243903,0.1258620415645164,7.01080204598533,0.10163757748047117,0.9710186719894409,0.09866484999656677,0.22182446718215942,True,3c7971d3957843f3,True,True,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0
m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,0,264100,m2641_source_only_stable_avoidable_base,71f9f812cccef278,m1154_original_policy,policy_checkpoint,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,source_only_four_wheel_hf0,stable_avoidable,1,72,3,0.9732509851455688,-0.7738952040672302,-0.482435017824173,True,True,False,running,False,False,4,0.5689653525361021,-0.11072901533779357,-0.00916392839599656,6.990832676124432,0.2033130374991704,6.993788508153949,0.16248726324592766,0.9732509851455688,0.11305239796638489,0.2587825059890747,True,3c7971d3957843f3,True,True,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0
m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,0,264100,m2641_source_only_stable_avoidable_base,71f9f812cccef278,m1154_original_policy,policy_checkpoint,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,source_only_four_wheel_hf0,stable_avoidable,2,72,3,0.9715905785560608,-0.7663406133651733,-0.46899694204330444,True,True,False,running,False,False,4,0.7085530579592254,-0.10696006438021413,-0.005349015521349559,6.964938249329374,0.27552792989069613,6.970385961847534,0.2184060449889213,0.9715905785560608,0.11682969331741333,0.2655015289783478,True,3c7971d3957843f3,True,True,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0
m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,0,264100,m2641_source_only_stable_avoidable_base,71f9f812cccef278,m1154_original_policy,policy_checkpoint,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,source_only_four_wheel_hf0,stable_avoidable,3,72,3,0.9687694907188416,-0.7599671483039856,-0.4607973098754883,True,True,False,running,False,False,4,0.8475493938535064,-0.10120216042066885,-0.00047089275517734654,6.933082060413331,0.341295783890436,6.941477484550861,0.26891512607885837,0.9687694907188416,0.1200164258480072,0.26960134506225586,True,3c7971d3957843f3,True,True,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0
m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,0,264100,m2641_source_only_stable_avoidable_base,71f9f812cccef278,m1154_original_policy,policy_checkpoint,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,source_only_four_wheel_hf0,stable_avoidable,4,72,3,0.9646894335746765,-0.7528160214424133,-0.45274415612220764,True,True,False,running,False,False,4,0.9858201872017114,-0.09345150634048904,0.0053635457087451155,6.895986986223831,0.4004713929918218,6.907605507755437,0.31411140754310707,0.9646894335746765,0.12359198927879333,0.2736279368400574,True,3c7971d3957843f3,True,True,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0
m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,0,264100,m2641_source_only_stable_avoidable_base,71f9f812cccef278,m1154_original_policy,policy_checkpoint,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,source_only_four_wheel_hf0,stable_avoidable,5,72,3,0.9583662152290344,-0.7440521717071533,-0.4439046382904053,True,True,False,running,False,False,4,1.1232410782763524,-0.08372411183561129,0.012049005350385934,6.854193362337514,0.45307220567369516,6.869151408424891,0.3540805628983764,0.9583662152290344,0.12797391414642334,0.27804768085479736,True,3c7971d3957843f3,True,True,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0
m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,0,264100,m2641_source_only_stable_avoidable_base,71f9f812cccef278,m1154_original_policy,policy_checkpoint,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,source_only_four_wheel_hf0,stable_avoidable,6,72,3,0.9485300779342651,-0.7328361868858337,-0.4348701536655426,True,True,False,running,False,False,4,1.2597057401359595,-0.07204595448197923,0.019487558704022002,6.809138015449096,0.4998711291835842,6.827461582405669,0.3894718981332379,0.9485300779342651,0.13358190655708313,0.2825649380683899,True,3c7971d3957843f3,True,True,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0
m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,0,264100,m2641_source_only_stable_avoidable_base,71f9f812cccef278,m1154_original_policy,policy_checkpoint,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,source_only_four_wheel_hf0,stable_avoidable,7,72,3,0.9357799887657166,-0.7237532138824463,-0.4329509437084198,True,True,False,running,False,False,4,1.395138899848709,-0.058437189512489975,0.02759883486678315,6.762613336479777,0.5422256356109006,6.784316308858822,0.4213885194300468,0.9357799887657166,0.13812339305877686,0.2835245132446289,True,3c7971d3957843f3,True,True,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0
m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,0,264100,m2641_source_only_stable_avoidable_base,71f9f812cccef278,m1154_original_policy,policy_checkpoint,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,source_only_four_wheel_hf0,stable_avoidable,8,72,3,0.9223013520240784,-0.7197006940841675,-0.4360041916370392,True,True,False,running,False,False,4,1.5294930713823933,-0.04290552002153271,0.036322092155879504,6.715730541955764,0.5812233245440994,6.740835056960788,0.4506955005027201,0.9223013520240784,0.14014965295791626,0.2819979190826416,True,3c7971d3957843f3,True,True,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0
m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,0,264100,m2641_source_only_stable_avoidable_base,71f9f812cccef278,m1154_original_policy,policy_checkpoint,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,source_only_four_wheel_hf0,stable_avoidable,9,72,3,0.9085572361946106,-0.7169408202171326,-0.4355681538581848,True,True,False,running,False,False,4,1.6627369057966477,-0.02544905977099204,0.04561131507769275,6.669128230823313,0.6176465170141026,6.697668144895218,0.478004413470946,0.9085572361946106,0.14152958989143372,0.2822159230709076,True,3c7971d3957843f3,True,True,fresh_nominal_or_role_default,fresh_nominal_or_role_default,0
