metric_name,metric_family,actor_visible,supported_row_count,missing_row_count,support_status,source_fields,claim_boundary
observation_shape,contract,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
action_shape,contract,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
actor_contract_id,contract,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
actor_input_leak_flags,contract,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
action_finite,contract,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
action_within_bounds,contract,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
episode_started,episode_status,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
episode_completed,episode_status,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
terminal_status,episode_status,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
step_count,episode_status,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
reset_status,episode_status,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
backend_status,episode_status,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
collision_event,avoidance_boundary,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
obstacle_passed_event,avoidance_boundary,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
road_departure_event,avoidance_boundary,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
minimum_obstacle_clearance_m,avoidance_boundary,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
minimum_road_margin_m,avoidance_boundary,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
final_road_margin_m,avoidance_boundary,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
maximum_abs_lateral_velocity,response_recovery,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
maximum_abs_yaw_rate,response_recovery,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
maximum_abs_lateral_position,response_recovery,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
final_abs_lateral_velocity,response_recovery,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
final_abs_yaw_rate,response_recovery,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
recovery_time_proxy_s,response_recovery,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
steering_saturation_fraction,actuator_smoothness,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
throttle_saturation_fraction,actuator_smoothness,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
brake_saturation_fraction,actuator_smoothness,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
command_delta_l1_mean,actuator_smoothness,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
simultaneous_throttle_brake_fraction,actuator_smoothness,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
collision_speed_proxy,mitigation,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
impact_angle_proxy,mitigation,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
severity_proxy,mitigation,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
mitigation_delta_against_reference,mitigation,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
evidence_layer,metadata_completeness,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
scenario_role,metadata_completeness,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
subject_id,metadata_completeness,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
fixture_id,metadata_completeness,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
seed,metadata_completeness,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
metric_completeness_flags,metadata_completeness,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
diagnostic_only_no_ranking_claim,metadata_completeness,False,160,0,supported_by_m2641_route_a_source_only_fresh_generalization_panel,measured_behavior_rows.csv,source-only M2641 diagnostics only; not ranking or verdict
