task_source_id,parent_task_source_id,repair_candidate_id,repair_axis,source_split,parent_resolution_method,parent_resolution_key,panel_source_id,panel_task_family,source_origin,source_kind,source_edge,window_tag,source_role_semantics,parent_feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label,materialization_semantics,proxy_template_family,generated_source_row,paper_validity_claim,contract_violation_count,history_length_is_positive,action_history_mode_full,include_privileged_params_false,wheel_observation_mode_none,obstacle_relative_velocity_mode_zero
m2048-repair-crsr_v0_0000_l2_offtrack_relief,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,crsr_v0_0000_l2_offtrack_relief,l2_offtrack_relief,public_debug,source_profile_offtrack_slice,L2_window_100:m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,T1_reactive_active_safety,m1983_outcome_support,anchor_neighborhood,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2026_source_coverage_repair,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,smoke_proxy,t5_near_boundary_warmup,False,False,0,True,True,True,True,True
m2048-repair-crsr_v0_0001_l2_offtrack_relief,m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,crsr_v0_0001_l2_offtrack_relief,l2_offtrack_relief,public_debug,source_profile_offtrack_slice,L2_window_100_current_tiled:m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,T1_reactive_active_safety,m1983_outcome_support,mitigation_isolation_check,unavoidable_mitigation|tier_d_handling_limit_drift_required|steady_surface|unavoidable,m2026_source_coverage_repair,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,unavoidable,smoke_proxy,t5_near_boundary_warmup,False,False,0,True,True,True,True,True
m2048-repair-crsr_v0_0002_l2_offtrack_relief,m2033-smoke-0002-m2026-t1-m1983_outcome_support-cosr_v0_0064_offtrack_boundary_relief_extension,crsr_v0_0002_l2_offtrack_relief,l2_offtrack_relief,public_debug,source_profile_offtrack_slice,L2_window_13:m2033-smoke-0002-m2026-t1-m1983_outcome_support-cosr_v0_0064_offtrack_boundary_relief_extension,m2026-t1-m1983_outcome_support-cosr_v0_0064_offtrack_boundary_relief_extension,T1_reactive_active_safety,m1983_outcome_support,offtrack_boundary_relief,stable_aes_only|tier_not_applicable_offtrack_boundary_relief|relief_surface_unspecified|aes_feasible,m2026_source_coverage_repair,stable_aes_only,tier_not_applicable_offtrack_boundary_relief,relief_surface_unspecified,aes_feasible,smoke_proxy,t5_boundary_axis_retarget,False,False,0,True,True,True,True,True
m2048-repair-crsr_v0_0003_l2_offtrack_relief,m2033-smoke-0003-m2020-active-safety-0000,crsr_v0_0003_l2_offtrack_relief,l2_offtrack_relief,public_debug,source_profile_offtrack_slice,L2_window_13_current_tiled:m2033-smoke-0003-m2020-active-safety-0000,m2020-active-safety-0000,T1_reactive_active_safety,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_c_boundary_near_miss|post_friction_step|drift_required,m2020_public_diagnostic,drift_required_recovery,tier_c_boundary_near_miss,post_friction_step,drift_required,smoke_proxy,t5_near_boundary_warmup,False,False,0,True,True,True,True,True
m2048-repair-crsr_v0_0004_l2_offtrack_relief,m2033-smoke-0004-m1680-spec-0003,crsr_v0_0004_l2_offtrack_relief,l2_offtrack_relief,public_debug,source_profile_offtrack_slice,L2_window_25:m2033-smoke-0004-m1680-spec-0003,m1680-spec-0003,T2_same_current_different_older_history,m1680_controller_family_task_source,actuator_delay_proxy,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,public_measured_intervention_candidate,T4,t4_actuator_delay_response,actuator_delay_step,smoke_proxy,t4_actuator_delay_response,False,False,0,True,True,True,True,True
m2048-repair-crsr_v0_0005_l2_offtrack_relief,m2033-smoke-0005-m1680-spec-0000,crsr_v0_0005_l2_offtrack_relief,l2_offtrack_relief,public_debug,source_profile_offtrack_slice,L2_window_25_current_tiled:m2033-smoke-0005-m1680-spec-0000,m1680-spec-0000,T2_same_current_different_older_history,m1680_controller_family_task_source,actuator_delay_proxy+capability_step_proxy,actuator_delay_step|capability_step_up,reveal_plus_4,clean_history_control_public_pairs,T4,capability_step_up,actuator_delay_step,smoke_proxy,t4_actuator_delay_response,False,False,0,True,True,True,True,True
m2048-repair-crsr_v0_0006_l2_offtrack_relief,m2033-smoke-0006-m1680-spec-0005,crsr_v0_0006_l2_offtrack_relief,l2_offtrack_relief,public_debug,source_profile_offtrack_slice,L2_window_50:m2033-smoke-0006-m1680-spec-0005,m1680-spec-0005,T2_same_current_different_older_history,m1680_controller_family_task_source,capability_step_proxy,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,public_measured_intervention_candidate,T4,t4_capability_step_temporal,capability_step_down,smoke_proxy,t4_staged_warmup_capability,False,False,0,True,True,True,True,True
m2048-repair-crsr_v0_0007_l2_offtrack_relief,m2033-smoke-0007-m1680-spec-0006,crsr_v0_0007_l2_offtrack_relief,l2_offtrack_relief,public_debug,source_profile_offtrack_slice,L2_window_50_current_tiled:m2033-smoke-0007-m1680-spec-0006,m1680-spec-0006,T2_same_current_different_older_history,m1680_controller_family_task_source,capability_step_proxy+warmup_proxy,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,public_measured_intervention_candidate,T4,t4_staged_warmup_capability,capability_step_up,smoke_proxy,t4_staged_warmup_capability,False,False,0,True,True,True,True,True
m2048-repair-crsr_v0_0008_l2_offtrack_relief,m2033-smoke-0008-m2029-t2-same_current_brake_authority_older_history_proxy-00,crsr_v0_0008_l2_offtrack_relief,l2_offtrack_relief,public_debug,source_profile_offtrack_slice,L2_window_100:m2033-smoke-0008-m2029-t2-same_current_brake_authority_older_history_proxy-00,m2029-t2-same_current_brake_authority_older_history_proxy-00,T2_same_current_different_older_history,m2029_t2_t3_source_generation_preflight,same_current_brake_authority_older_history_proxy,same_current|same_current_brake_authority_older_history_proxy|k0p25|older1p5,m2029_same_current_k0p25_older1p5,same_current_different_older_history,T2_generated,same_current_brake_authority_older_history_proxy,same_current_different_older_history,smoke_proxy,t4_staged_warmup_capability,False,False,0,True,True,True,True,True
m2048-repair-crsr_v0_0009_l2_offtrack_relief,m2033-smoke-0009-m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-00,crsr_v0_0009_l2_offtrack_relief,l2_offtrack_relief,public_debug,source_profile_offtrack_slice,L2_window_100_current_tiled:m2033-smoke-0009-m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-00,m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-00,T2_same_current_different_older_history,m2029_t2_t3_source_generation_preflight,same_current_drive_brake_asymmetry_older_history_proxy,same_current|same_current_drive_brake_asymmetry_older_history_proxy|k0p25|older1p5,m2029_same_current_k0p25_older1p5,same_current_different_older_history,T2_generated,same_current_drive_brake_asymmetry_older_history_proxy,same_current_different_older_history,smoke_proxy,t4_staged_warmup_capability,False,False,0,True,True,True,True,True
